   36
  2  1 -9.646E+00 -4.612E-01 -5.261E-02  0.000E+00
  3  1 -1.003E+01 -1.075E+00  5.844E-02  0.000E+00
  3  2 -9.474E+00 -6.093E-01  3.297E-02  0.000E+00
  4  1 -1.035E+01 -1.518E+00  9.124E-02  0.000E+00
  4  2 -9.885E+00 -1.079E+00  4.224E-02  0.000E+00
  4  3 -9.486E+00 -5.439E-01 -2.167E-02  0.000E+00
  5  1 -1.067E+01 -1.974E+00  1.217E-01  0.000E+00
  5  2 -1.019E+01 -1.524E+00  3.869E-02  0.000E+00
  5  3 -9.883E+00 -1.037E+00 -3.507E-02  0.000E+00
  5  4 -9.509E+00 -5.065E-01 -9.827E-02  0.000E+00
  6  1 -1.024E+01 -3.881E+00  8.158E-01  0.000E+00
  6  2 -9.841E+00 -3.323E+00  6.705E-01  0.000E+00
  6  3 -9.597E+00 -2.674E+00  4.923E-01  0.000E+00
  6  4 -9.369E+00 -2.077E+00  3.632E-01  0.000E+00
  6  5 -9.046E+00 -1.464E+00  2.706E-01  0.000E+00
  7  1 -1.125E+01 -3.059E+00  2.665E-01  0.000E+00
  7  2 -1.078E+01 -2.579E+00  1.409E-01  0.000E+00
  7  3 -1.047E+01 -2.075E+00  1.647E-02  0.000E+00
  7  4 -1.019E+01 -1.552E+00 -1.111E-01  0.000E+00
  7  5 -9.957E+00 -9.637E-01 -2.442E-01  0.000E+00
  7  6 -9.616E+00 -3.877E-01 -3.154E-01  0.000E+00
  8  1 -1.127E+01 -4.222E+00  6.455E-01  0.000E+00
  8  2 -1.075E+01 -3.833E+00  5.491E-01  0.000E+00
  8  3 -1.042E+01 -3.349E+00  4.208E-01  0.000E+00
  8  4 -1.013E+01 -2.868E+00  2.983E-01  0.000E+00
  8  5 -9.842E+00 -2.378E+00  1.845E-01  0.000E+00
  8  6 -9.640E+00 -1.696E+00 -3.064E-04  0.000E+00
  8  7 -9.317E+00 -1.058E+00 -9.959E-02  0.000E+00
  9  1 -1.080E+01 -6.166E+00  1.309E+00  0.000E+00
  9  2 -1.037E+01 -5.661E+00  1.167E+00  0.000E+00
  9  3 -1.016E+01 -4.988E+00  9.608E-01  0.000E+00
  9  4 -1.003E+01 -4.252E+00  7.343E-01  0.000E+00
  9  5 -9.919E+00 -3.500E+00  5.074E-01  0.000E+00
  9  6 -9.785E+00 -2.776E+00  3.074E-01  0.000E+00
  9  7 -9.642E+00 -1.958E+00  6.913E-02  0.000E+00
  9  8 -9.332E+00 -1.226E+00 -7.935E-02  0.000E+00

