-----------------------------------------------------
name band level PQR   lambda      f           gamma
A-X   5     3     Q   1392.683    7.248E-3    1.000E9
A-X   5     3     R   1392.453    5.178E-3    1.000E9
A-X   5     4     P   1392.982    2.415E-3    1.000E9
A-X   5     4     Q   1392.751    7.248E-3    1.000E9
A-X   5     4     R   1392.463    4.833E-3    1.000E9
A-X   5     5     P   1393.124    2.635E-3    1.000E9
A-X   5     5     Q   1392.835    7.247E-3    1.000E9
A-X   5     5     R   1392.489    4.613E-3    1.000E9
A-X   5     6     P   1393.283    2.787E-3    1.000E9
A-X   5     6     Q   1392.937    7.247E-3    1.000E9
A-X   5     6     R   1392.533    4.461E-3    1.000E9
A-X   6     0     R   1367.623    7.945E-3    1.000E9
A-X   6     1     Q   1367.696    3.972E-3    1.000E9
A-X   6     1     R   1367.586    3.969E-3    1.000E9
A-X   6     2     P   1367.839    7.944E-4    1.000E9
A-X   6     2     Q   1367.730    3.968E-3    1.000E9
A-X   6     2     R   1367.566    3.169E-3    1.000E9
A-X   6     3     P   1367.946    1.134E-3    1.000E9
A-X   6     3     Q   1367.782    3.960E-3    1.000E9
A-X   6     3     R   1367.564    2.819E-3    1.000E9
A-X   6     4     P   1368.070    1.320E-3    1.000E9
A-X   6     4     Q   1367.852    3.945E-3    1.000E9
A-X   6     4     R   1367.580    2.610E-3    1.000E9
A-X   6     5     P   1368.212    1.435E-3    1.000E9
A-X   6     5     Q   1367.940    3.913E-3    1.000E9
A-X   6     5     R   1367.616    2.427E-3    1.000E9
A-X   6     6     P   1368.371    1.505E-3    1.000E9
A-X   6     6     Q   1368.047    3.811E-3    1.000E9
A-X   6     6     R   1367.675    1.929E-3    1.000E9
A-X   7     0     R   1344.186    4.140E-3    1.000E9
A-X   7     1     Q   1344.255    2.070E-3    1.000E9
A-X   7     1     R   1344.151    2.070E-3    1.000E9
A-X   7     2     P   1344.394    4.140E-4    1.000E9
A-X   7     2     Q   1344.290    2.070E-3    1.000E9
A-X   7     2     R   1344.134    1.656E-3    1.000E9
A-X   7     3     P   1344.498    5.913E-4    1.000E9
A-X   7     3     Q   1344.342    2.070E-3    1.000E9
A-X   7     3     R   1344.133    1.479E-3    1.000E9
A-X   7     4     P   1344.621    6.898E-4    1.000E9
A-X   7     4     Q   1344.413    2.070E-3    1.000E9
A-X   7     4     R   1344.153    1.380E-3    1.000E9
A-X   7     5     P   1344.759    7.524E-4    1.000E9
A-X   7     5     Q   1344.499    2.070E-3    1.000E9
A-X   7     5     R   1344.188    1.317E-3    1.000E9
A-X   7     6     P   1344.917    7.958E-4    1.000E9
A-X   7     6     Q   1344.604    2.069E-3    1.000E9
A-X   7     6     R   1344.240    1.274E-3    1.000E9
A-X   8     0     R   1322.150    2.004E-3    1.000E9
A-X   8     1     Q   1322.217    1.002E-3    1.000E9
A-X   8     1     R   1322.119    1.002E-3    1.000E9
A-X   8     2     P   1322.351    2.004E-4    1.000E9
A-X   8     2     Q   1322.253    1.003E-3    1.000E9
A-X   8     2     R   1322.105    8.024E-4    1.000E9
A-X   8     3     P   1322.455    2.862E-4    1.000E9
A-X   8     3     Q   1322.306    1.004E-3    1.000E9
A-X   8     3     R   1322.108    7.164E-4    1.000E9
A-X   8     4     P   1322.575    3.342E-4    1.000E9
A-X   8     4     Q   1322.377    1.004E-3    1.000E9
A-X   8     4     R   1322.130    6.687E-4    1.000E9
A-X   8     5     P   1322.714    3.646E-4    1.000E9
A-X   8     5     Q   1322.467    1.004E-3    1.000E9
A-X   8     5     R   1322.169    6.389E-4    1.000E9
A-X   8     6     P   1322.870    3.855E-4    1.000E9
A-X   8     6     Q   1322.573    1.005E-3    1.000E9
A-X   8     6     R   1322.227    6.178E-4    1.000E9
A-X   9     0     R   1301.403    9.500E-4    1.000E9
A-X   9     1     Q   1301.468    4.750E-4    1.000E9
A-X   9     1     R   1301.374    4.750E-4    1.000E9
A-X   9     2     P   1301.598    9.499E-5    1.000E9
A-X   9     2     Q   1301.505    4.750E-4    1.000E9
A-X   9     2     R   1301.364    3.800E-4    1.000E9
A-X   9     3     P   1301.700    1.357E-4    1.000E9
A-X   9     3     Q   1301.559    4.750E-4    1.000E9
A-X   9     3     R   1301.370    3.393E-4    1.000E9
A-X   9     4     P   1301.820    1.583E-4    1.000E9
A-X   9     4     Q   1301.631    4.749E-4    1.000E9
A-X   9     4     R   1301.396    3.167E-4    1.000E9
A-X   9     5     P   1301.957    1.727E-4    1.000E9
A-X   9     5     Q   1301.722    4.749E-4    1.000E9
A-X   9     5     R   1301.438    3.023E-4    1.000E9
A-X   9     6     P   1302.113    1.826E-4    1.000E9
A-X   9     6     Q   1301.829    4.749E-4    1.000E9
A-X   9     6     R   1301.500    2.923E-4    1.000E9
A-X   10    0     R   1281.866    4.096E-4    1.000E9
A-X   10    1     Q   1281.929    2.048E-4    1.000E9
A-X   10    1     R   1281.838    2.048E-4    1.000E9
A-X   10    2     P   1282.055    4.095E-5    1.000E9
A-X   10    2     Q   1281.964    2.048E-4    1.000E9
A-X   10    2     R   1281.831    1.637E-4    1.000E9
A-X   10    3     P   1282.154    5.850E-5    1.000E9
A-X   10    3     Q   1282.020    2.046E-4    1.000E9
A-X   10    3     R   1281.840    1.461E-4    1.000E9
A-X   10    4     P   1282.273    6.818E-5    1.000E9
A-X   10    4     Q   1282.093    2.046E-4    1.000E9
A-X   10    4     R   1281.868    1.364E-4    1.000E9
A-X   10    5     P   1282.409    7.437E-5    1.000E9
A-X   10    5     Q   1282.184    2.045E-4    1.000E9
A-X   10    5     R   1281.914    1.302E-4    1.000E9
A-X   10    6     P   1282.563    7.865E-5    1.000E9
A-X   10    6     Q   1282.294    2.045E-4    1.000E9
A-X   10    6     R   1281.979    1.259E-4    1.000E9
