 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)4s ^4^P_1/2_            965.041     965.041  4  2 3.86E-03 -1.812 A   FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)4s ^4^P_3/2_            964.626     964.626  4  4 7.90E-03 -1.500 A   FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)4s ^4^P_5/2_            963.990     963.990  4  6 1.24E-02 -1.304 A   FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)3d ^2^F_5/2_                        954.104  4  6 4.00E-03 -1.796 B+  FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)3d ^4^P_5/2_            953.970     953.970  4  6 3.31E-02 -0.879 B   FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)3d ^4^P_3/2_            953.655     953.655  4  4 2.47E-02 -1.005 B   FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)3d ^4^P_1/2_            953.415     953.415  4  2 1.29E-02 -1.286 B   FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)3d ^4^D_3/2_                        952.415  4  4 1.97E-03 -2.103 B   FFT04
 7 N I    2s^2^2p^3^ ^4^S^o^_3/2_      2s^2^2p^2^(^3^P)3d ^4^D_5/2_                        952.303  4  6 2.29E-03 -2.039 B   FFT04
 7 N II   2s^2^2p^2^ ^3^P_0_           2s2p^3^ ^3^D^o^_1_                     1083.990    1083.990  1  3 1.11E-01 -0.956 A   FFT04
 7 N II   2s^2^2p^2^ ^3^P_0_           2s2p^3^ ^3^P^o^_1_                      915.612     915.612  1  3 1.59E-01 -0.798 A   FFT04
 7 N III  2s^2^2p ^2^P^o^_1/2_         2s2p^2^ ^2^D_3/2_                       989.790     989.799  2  4 1.23E-01 -0.609 B   FFT04
 7 N V    1s^2^2s ^2^S_1/2_            1s^2^2p ^2^P^o^_1/2_                   1242.804    1242.804  2  2 7.77E-02 -0.809 A   PSS88
 7 N V    1s^2^2s ^2^S_1/2_            1s^2^2p ^2^P^o^_3/2_                   1238.821    1238.821  2  4 1.56E-01 -0.505 A   PSS88
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)3s ^3^S^o^_1_          1302.168    1302.168  5  3 4.80E-02 -0.620     FFT04
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)4s ^3^S^o^_1_          1039.230    1039.230  5  3 9.07E-03 -1.343     FFT04
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)3d ^3^D^o^_2_          1025.762    1025.763  5  5 2.91E-03 -1.837     FFT04
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)3d ^3^D^o^_3_          1025.762    1025.762  5  7 1.63E-02 -1.088     FFT04
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^2^D)3s ^3^D^o^_3_           988.773     988.773  5  7 4.64E-02 -0.635 B   HBG91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^2^D)3s ^3^D^o^_2_                       988.655  5  5 8.46E-03 -1.374 B   HBG91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)5s ^3^S^o^_1_           976.448     976.448  5  3 3.31E-03 -1.781 C+  BZ91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)4d ^3^D^o^_3_           971.738     971.738  5  7 1.16E-02 -1.237 C+  HBG91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)4d ^3^D^o^_2_           971.738     971.738  5  5 2.07E-03 -1.986 C+  HBG91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)6s ^3^S^o^_1_                       950.885  5  3 1.58E-03 -2.103 C   BZ91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)5d ^3^D^o^_3_           948.686     948.686  5  7 5.31E-03 -1.576 C+  BZ91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)6d ^3^D^o^_3_                       936.629  5  7 3.06E-03 -1.816 C+  BZ91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)7d ^3^D^o^_3_                       929.517  5  7 1.92E-03 -2.017 C   BZ91
 8 O I    2s^2^2p^4^ ^3^P_2_           2s^2^2p^3^(^4^S)8d ^3^D^o^_3_                       924.950  5  7 1.30E-03 -2.188 C   BZ91
 8 O VI   1s^2^2s ^2^S_1/2_            1s^2^2p ^2^P^o^_1/2_                               1037.613  2  2 6.60E-02 -0.879 A   PSS88
 8 O VI   1s^2^2s ^2^S_1/2_            1s^2^2p ^2^P^o^_3/2_                               1031.912  2  4 1.33E-01 -0.576 A   PSS88
11 Na I   2p^6^3s ^2^S_1/2_            2p^6^3p ^2^P^o^_1/2_                   5897.558147 5897.558  2  2 3.24E-01 -0.188 AA  FFT06
11 Na I   2p^6^3s ^2^S_1/2_            2p^6^3p ^2^P^o^_3/2_                   5891.583264 5891.583  2  4 6.50E-01  0.114 AA  FFT06
11 Na I   2p^6^3s ^2^S_1/2_            2p^6^4p ^2^P^o^_1/2_                   3303.930    3303.930  2  2 4.32E-03 -2.063 B+  FFT06
11 Na I   2p^6^3s ^2^S_1/2_            2p^6^4p ^2^P^o^_3/2_                   3303.320    3303.319  2  4 8.80E-03 -1.754 A   FFT06
11 Na I   2p^6^3s ^2^S_1/2_            2p^6^5p ^2^P^o^_3/2_                   2853.649    2853.649  2  4 1.28E-03 -2.592 B+  FF02
12 Mg I   2p^6^3s^2^ ^1^S_0_           2p^6^3s3p ^1^P^o^_1_                   2852.965    2852.964  1  3 1.71E+00  0.233 A   FFT06
12 Mg I   2p^6^3s^2^ ^1^S_0_           2p^6^3s4p ^1^P^o^_1_                   2026.477    2026.477  1  3 1.13E-01 -0.947 B+  FFT06
12 Mg I   2p^6^3s^2^ ^1^S_0_           2p^6^3s5p ^1^P^o^_1_                   1827.934    1827.935  1  3 2.60E-02 -1.585 B   ZBG09
