lambda,Aki,fik,Acc,Ei,Ek,Type,
1109.715,6.0e+07,1.1e-02,D+,8391.9554,98505.022,,
1110.005,3.6e+07,7.e-03,D,8680.4706,98770.295,,
1111.092,5.e+06,1.3e-03,D,384.7872,90386.533,,
1111.122,1.1e+07,2.7e-03,D,8391.9554,98391.320,,
1111.553,4.0e+07,1.5e-02,D,13904.8604,103869.046,,
1112.046,2.0e+07,4.5e-03,D+,0.0000,89924.150,,
1112.207,2.1e+07,5.e-03,D,13474.4474,103385.785,,
1112.938,2.2e+07,4.1e-03,D,2430.1369,92282.470,,
1113.281,2.8e+07,8.e-03,D,8680.4706,98505.022,,
1113.471,3.4e+07,4.2e-03,D,2837.9807,92647.591,,
1113.944,4.1e+07,8.e-03,D,13904.8604,103676.286,,
1115.132,9.e+06,1.8e-03,D,20830.5534,110506.577,,
1117.412,9.e+06,1.7e-03,D,2837.9807,92329.905,,
1117.910,4.4e+07,4.1e-03,D,13673.2045,103125.717,,
1118.042,5.e+06,1.1e-03,D,20805.7632,110247.006,,
1118.113,1.9e+07,3.5e-03,D,2837.9807,92274.123,,
1119.370,5.e+07,4.6e-03,D,3117.4877,92453.365,,
1120.559,2.9e+07,5.e-03,D,3117.4877,92358.625,,
1121.967,1.9e+08,2.9e-02,D+,0.0000,89128.569,,
1122.838,1.8e+08,2.6e-02,D+,384.7872,89444.455,,
1124.120,1.1e+08,1.4e-02,D+,667.6829,89625.951,,
1124.758,1.3e+07,1.9e-03,D,1872.5998,90780.623,,
1125.442,1.0e+08,1.6e-02,D+,0.0000,88853.535,,
1126.417,1.3e+08,2.5e-02,D+,667.6829,89444.455,,
1126.589,1.7e+08,3.3e-02,D+,862.6118,89625.951,,
1126.837,6.3e+07,1.2e-02,D+,384.7872,89128.569,,
1126.952,5.5e+07,8.e-03,D+,384.7872,89119.452,,
1127.099,6.e+06,1.1e-03,D,0.0000,88723.398,,
1127.148,5.e+07,1.3e-02,E,20830.5534,109550.081,,
1127.474,1.5e+07,4.3e-03,D,21812.0454,110506.577,,
1127.859,2.8e+07,3.5e-03,D,667.6829,89331.199,,
1128.041,1.4e+08,5.4e-02,D+,977.0498,89625.951,,
1128.153,1.9e+07,2.7e-03,D,2430.1369,91070.566,,
1128.898,6.3e+07,1.8e-02,D+,862.6118,89444.455,,
1129.303,3.7e+07,7.e-03,E,21430.3564,109980.635,,
1129.621,3.6e+07,5.4e-03,D+,1872.5998,90397.873,,
1129.765,8.e+06,1.5e-03,D,1872.5998,90386.533,,
1130.351,9.e+06,1.8e-03,D,384.7872,88853.535,,
1130.351,1.2e+07,2.4e-03,D,862.6118,89331.199,,
1130.442,3.1e+07,8.e-03,D+,667.6829,89128.569,,
1130.560,1.4e+07,2.7e-03,D,667.6829,89119.452,,
1130.871,8.e+06,1.3e-03,D,1872.5998,90300.628,,
1131.595,1.6e+07,2.1e-03,D,2837.9807,91208.892,,
1132.000,4.5e+06,1.0e-03,D,1872.5998,90211.613,,
1132.000,7.e+06,1.7e-03,D,384.7872,88723.398,,
1132.437,5.e+07,7.e-03,E,21711.8963,110016.915,,
1133.400,2.6e+07,6.3e-03,D+,384.7872,88614.523,,
1133.662,3.1e+07,4.7e-03,D+,0.0000,88209.461,,
1133.662,2.9e+07,4.2e-03,D,2430.1369,90638.823,,
1135.303,4.6e+07,4.4e-03,D,3117.4877,91199.776,,
