lambda,Aki,fik,Acc,Ei,Ek,Type,
1877.7158,7.e+06,3.1e-03,E,54273.656,107529.849,,
1877.7859,9.e+06,6.e-03,E,54275.649,107529.849,,
1878.05387,9.e+07,5.e-02,E,54283.236,107529.849,,
1878.3882,3.5e+06,1.8e-03,D,16369.4098,69606.567,,
1880.0501,3.1e+07,1.6e-02,D+,21307.999,74498.093,,
1880.9725,4.5e+07,2.9e-02,D+,20805.7632,73969.761,,
1881.2030,5.e+07,2.7e-02,E,57411.086,110568.558,,
1881.3797,3.5e+07,1.9e-02,E,57493.333,110645.805,,
1884.1181,7.e+07,6.e-02,E,57493.333,110568.558,,
1884.3998,2.8e+07,3.0e-02,E,57578.490,110645.805,,
1884.7294,1.0e+08,7.e-02,E,57411.086,110469.101,,
1884.862,9.e+05,2.4e-04,E,25787.5816,78841.872,,
1885.9876,5.e+07,2.9e-02,E,54275.649,107298.265,,
1886.2576,8.e+06,3.4e-03,E,54283.236,107298.265,,
1886.3197,3.8e+06,3.1e-03,D,57493.333,110506.577,,
1888.73442,1.42e+08,7.6e-02,C+,20805.7632,73751.276,,
1889.8752,1.7e+07,9.e-03,E,57493.333,110406.879,,
1891.0865,2.1e+07,1.1e-02,E,57411.086,110290.739,,
1892.9223,9.e+06,1.0e-02,D,57578.490,110406.879,,
1894.0186,1.0e+07,6.6e-03,D+,20805.7632,73603.537,,
1894.0319,2.6e+07,2.1e-02,E,57493.333,110290.739,,
1895.5500,2.1e+06,1.1e-03,D,54283.236,107038.375,,
1895.6846,1.3e+07,6.0e-03,D+,20340.2461,73091.630,,
1896.0120,2.8e+07,1.5e-02,E,54275.649,107017.932,,
1896.3187,3.3e+07,2.4e-02,E,57411.086,110144.841,,
1898.5370,4.1e+07,1.5e-02,D+,20516.9534,73189.114,,
1903.019,4.5e+06,1.6e-03,D,31811.814,84359.779,,
1903.284,5.3e+06,2.9e-03,D+,30764.4737,83305.229,,
1904.7900,3.5e+07,2.6e-02,D+,20516.9534,73016.184,,
1905.7409,2.6e+07,2.8e-02,D+,49100.956,101573.977,,
1907.7426,7.e+06,7.e-03,D,54063.358,106481.329,,
1910.6731,1.7e+07,7.4e-03,D+,20805.7632,73143.346,,
1911.564,5.e+04,6.e-05,E,26932.7348,79245.926,,
1911.649,8.e+04,9.e-05,E,26932.7348,79243.462,,
1911.997,1.2e+07,7.e-03,D,49100.956,101402.37,,
1912.563,1.6e+06,9.e-04,D,20805.7632,73091.630,,
1915.7257,2.1e+07,1.7e-02,D+,49506.922,101706.498,,
1917.3203,5.0e+06,2.8e-03,D+,15844.6485,68000.785,,
1918.0986,8.e+06,6.2e-03,D+,20516.9534,72651.914,,
1920.610,6.e+06,3.0e-03,D,49506.922,101573.977,,
1920.9681,4.1e+07,2.3e-02,E,54063.358,106120.45,,
1921.4035,2.9e+07,1.1e-02,E,57411.086,109456.381,,
1921.7565,1.8e+07,5.e-03,D,57493.333,109529.028,,
1924.445,2.6e+06,1.4e-03,D,57493.333,109456.381,,
1925.98463,5.2e+07,2.9e-02,D+,20340.2461,72261.742,,
1926.443,3.1e+06,1.7e-03,E,26932.7348,78841.872,,
1926.9509,5.6e+07,1.6e-02,D+,49506.922,101402.37,,
1929.1949,2.8e+06,2.1e-03,D,20516.9534,72352.046,,
1932.4822,3.0e+07,2.5e-02,D+,21307.999,73054.913,,
1935.2961,8.e+06,5.6e-03,D+,15844.6485,67516.328,,
1936.8063,6.8e+06,4.8e-03,D+,16369.4098,68000.785,,
1938.7719,2.7e+07,1.5e-02,E,54902.286,106481.329,,
1940.752,2.8e+06,1.1e-03,D,20516.9534,72043.060,,
1941.9856,4.0e+07,2.3e-02,D+,50212.836,101706.498,,
1945.66010,3.0e+07,1.7e-02,E,57411.086,108807.527,,
1946.9972,3.3e+07,1.3e-02,D+,50212.836,101573.977,,
1948.3835,1.4e+07,8.e-03,D+,20805.7632,72130.375,,
1948.7783,1.2e+07,1.0e-02,E,57493.333,108807.527,,
1952.4318,3.5e+07,1.0e-02,E,54902.286,106120.45,,
1955.6412,2.0e+06,1.1e-03,D,54273.656,105407.78,,
1962.27911,1.5e+07,6.e-03,E,57411.086,108372.239,,
1966.213,5.1e+07,4.0e-02,D+,48039.109,98898.591,,
1968.0427,1.8e+06,1.4e-03,D,13474.4474,64286.354,,
1968.74642,2.4e+07,2.8e-02,E,57578.490,108372.239,,
1970.3325,1.6e+07,1.2e-02,D+,54275.649,105028.537,,
1970.665,9.e+05,5.e-04,D,15844.6485,66589.042,,
1972.4426,4.2e+06,2.4e-03,D,57493.333,108191.894,,
1974.1591,1.4e+07,1.1e-02,D+,54283.236,104937.71,,
1975.5472,3.2e+06,2.2e-03,D+,15844.6485,66463.542,,
1978.5111,1.4e+07,1.0e-02,D+,54273.656,104816.702,,
1983.034,2.9e+06,1.3e-03,D,27314.9183,77742.736,,
1983.0675,1.3e+07,9.e-03,D+,54232.201,104659.146,,
1983.942,1.3e+06,8.e-04,D,33466.4943,83871.208,,
1986.4176,3.1e+07,1.8e-02,D+,25787.5816,76129.465,,
1990.5960,8.e+06,3.7e-03,E,60270.351,110506.577,,
1990.854,1.3e+06,1.0e-03,D,36252.931,86482.560,,
1991.254,9.e+05,7.e-04,D,16369.4098,66589.042,,
1992.0815,8.e+06,4.5e-03,E,60270.351,110469.101,,
1995.423,2.2e+06,2.7e-03,D,22409.8178,72524.561,,
1999.052,3.6e+06,2.8e-03,D,60445.279,110469.101,,
1999.4114,1.7e+07,8.e-03,D+,22637.1950,72651.914,,
1999.4599,5.4e+06,3.2e-03,D+,22637.1950,72650.698,,
2001.02540,9.5e+07,4.8e-02,C+,20340.2461,70314.624,,
2001.5528,6.e+06,1.8e-03,D,57493.333,107454.552,,
2003.8395,3.9e+07,2.3e-02,D+,54063.358,103967.555,,
2004.5591,5.e+06,1.5e-03,D,13673.2045,63559.498,,
2004.9709,2.6e+07,1.5e-02,E,57578.490,107454.552,,
2005.0328,4.0e+06,2.4e-03,D,60270.351,110144.841,,
2007.6621,2.0e+07,9.e-03,D+,22810.3459,72619.499,,
2007.8331,4.2e+06,3.8e-03,D,57493.333,107298.265,,
2008.0910,8.e+06,4.7e-03,D+,13474.4474,63272.981,,
2008.3578,1.6e+07,1.0e-02,D+,13673.2045,63465.134,,
2010.640,8.e+05,6.e-04,D,15844.6485,65580.065,,
2011.34679,8.e+07,4.0e-02,D+,20805.7632,70523.694,,
2011.6024,2.4e+06,1.5e-03,D,15844.6485,65556.271,,
2012.315,1.5e+06,1.2e-03,D,54275.649,103969.814,,
2012.881,2.3e+06,1.4e-03,D,22939.3512,72619.499,,
2013.9108,2.7e+07,1.7e-02,D+,13904.8604,63559.498,,
2014.3136,2.7e+07,1.6e-02,D+,26932.7348,76577.436,,
2015.0205,1.4e+07,1.1e-02,E,57411.086,107038.375,,
2015.8508,4.5e+06,2.7e-03,D,57411.086,107017.932,,
2016.13804,2.3e+07,2.1e-02,D+,13673.2045,63272.981,,
2016.5025,1.3e+06,1.0e-03,D,54283.236,103874.040,,
2016.7302,1.9e+07,8.e-03,D+,22939.3512,72524.561,,
2017.7450,1.5e+07,1.8e-02,D+,13904.8604,63465.134,,
2018.5020,6.1e+06,3.7e-03,D+,22810.3459,72352.046,,
2019.1989,9.e+06,8.e-03,E,57493.333,107017.932,,
2019.42876,2.6e+07,1.9e-02,D+,15844.6485,65363.607,,
2020.476,3.1e+06,1.9e-03,D,23031.2829,72524.561,,
2021.40272,1.83e+07,1.49e-02,C+,13474.4474,62945.045,,
2023.774,1.1e+06,9.e-04,D,22939.3512,72352.046,,
2024.3571,1.7e+07,5.e-03,D,23031.2829,72429.675,,
2028.4297,6.6e+06,4.1e-03,D+,22939.3512,72238.564,,
2029.2310,2.3e+06,1.4e-03,D,60270.351,109550.081,,
2029.8369,6.0e+06,3.0e-03,D+,15844.6485,65109.691,,
2032.6548,1.1e+07,1.3e-02,D+,26932.7348,76129.465,,
2033.06341,2.7e+07,2.1e-02,D+,16369.4098,65556.271,,
2033.279,1.1e+07,3.4e-03,D,23031.2829,72212.989,,
2034.404,1.8e+06,8.e-04,D,22810.3459,71964.750,,
2034.7322,2.0e+06,1.5e-03,D,54273.656,103420.207,,
2034.8092,1.5e+07,9.e-03,D,60384.368,109529.028,,
2035.0961,6.e+06,3.7e-03,D,23031.2829,72169.004,,
2035.2718,1.6e+06,1.0e-03,D,20516.9534,69650.481,,
2036.5071,3.2e+06,1.3e-03,D,22939.3512,72043.060,,
2036.7026,3.1e+06,2.9e-03,D,57493.333,106592.294,,
2037.09104,3.2e+07,2.6e-02,D+,20516.9534,69606.567,,
2037.1591,1.5e+07,5.e-03,D,60441.042,109529.028,,
2038.1028,4.0e+07,1.3e-02,D+,54902.286,103967.555,,
2040.1774,4.4e+06,2.7e-03,D,60441.042,109456.381,,
2040.327,3.1e+06,1.9e-03,D,23031.2829,72043.060,,
2040.3540,7.e+06,2.7e-03,D,60445.279,109456.381,,
2041.34554,4.6e+07,2.9e-02,D+,15844.6485,64831.951,,
2044.4384,1.5e+07,9.e-03,D+,18360.6399,67273.833,,
2044.7785,4.3e+06,2.7e-03,D,57493.333,106398.405,,
2046.3183,4.0e+06,2.5e-03,D,57411.086,106279.329,,
2047.8600,2.4e+07,1.5e-02,D+,49506.922,98338.357,,
2048.3718,5.6e+06,5.3e-03,D+,25787.5816,74606.864,,
2049.1469,4.8e+06,2.4e-03,D+,20805.7632,69606.567,,
2049.7077,2.7e+06,2.0e-03,D+,54232.201,103019.688,,
2051.69083,3.7e+07,2.3e-02,D+,16369.4098,65109.691,,
2052.944,3.0e+06,1.9e-03,D,25787.5816,74498.093,,
2055.92572,3.1e+07,3.0e-02,D+,18360.6399,67000.530,,
2057.415,3.6e+06,3.4e-03,D,47674.728,96279.234,,
2057.9909,2.8e+06,2.4e-03,C+,13474.4474,62065.528,,
2060.27668,1.6e+07,8.e-03,E,60270.351,108807.527,,
2063.4039,1.0e+07,6.7e-03,D+,54870.541,103334.14,,
2064.33707,1.9e+07,1.0e-02,D+,15844.6485,64286.354,,
2066.417,1.1e+06,1.0e-03,D,50142.811,98536.011,,
2066.6682,2.3e+07,2.9e-02,D+,18886.773,67273.833,,
2067.7293,2.1e+06,1.3e-03,D,60445.279,108807.527,,
2068.329,5.3e+06,3.4e-03,D+,50187.822,98536.011,,
2068.57406,4.1e+07,4.0e-02,D+,21307.999,69650.481,,
2068.6599,1.7e+07,1.3e-02,E,58666.199,107006.684,,
2068.979,3.7e+06,3.6e-03,D,38214.503,86547.427,,
2069.604,3.5e+06,3.0e-03,D,38164.220,86482.560,,
2070.6221,1.3e+07,9.e-03,D+,27620.4033,75915.080,,
2070.9951,1.5e+07,1.0e-02,D+,27314.9183,75600.900,,
2071.2736,9.e+06,6.0e-03,D+,54904.241,103183.69,,
2072.4518,3.8e+06,2.4e-03,D,18360.6399,66612.659,,
2072.629,4.3e+06,2.8e-03,D+,62322.445,110570.312,,
2073.246,1.1e+07,6.9e-03,D+,36126.412,84359.779,,
2073.7955,2.4e+06,3.1e-03,D,13904.8604,62125.604,,
2074.186,9.e+06,5.8e-03,D+,50142.811,98354.656,,
2074.537,4.9e+06,3.1e-03,D+,50187.822,98391.320,,
2074.8502,2.3e+06,1.2e-03,E,15844.6485,64040.891,,
2075.7759,2.3e+06,1.5e-03,D,25428.7893,73603.537,,
2076.3396,5.4e+06,5.2e-03,D+,18360.6399,66522.310,,
2077.8980,2.6e+07,1.1e-02,D+,50212.836,98338.357,,
2078.8231,2.8e+06,1.8e-03,C+,15844.6485,63948.803,,
2080.1538,1.1e+06,1.0e-03,D,60445.279,108518.643,,
2080.90571,1.9e+07,9.e-03,D+,16369.4098,64425.405,,
2082.563,2.0e+06,1.6e-03,D,58631.623,106649.452,,
2084.021,6.4e+06,3.1e-03,D+,44915.057,92899.306,,
2085.6257,2.1e+06,1.7e-03,D,60270.351,108217.596,,
2085.684,1.1e+06,7.e-04,D,25805.3270,73751.276,,
2086.529,2.0e+06,1.0e-03,D,30764.4737,78690.860,,
2086.5851,2.3e+07,1.5e-02,D+,62083.118,110008.310,,
2088.20552,1.4e+08,4.5e-02,D+,18360.6399,66248.647,,
2090.4768,1.0e+07,6.3e-03,D+,62065.528,109901.523,,
2092.195,8.e+05,6.e-04,D,26170.1810,73966.843,,
2092.3081,1.0e+06,9.e-04,D,60445.279,108239.375,,
2092.6776,1.8e+07,1.4e-02,D+,60989.444,108775.110,,
2093.2677,2.4e+07,2.0e-02,D+,61156.827,108929.031,,
2093.7548,1.7e+06,1.3e-03,D,60887.606,108648.712,,
2094.2904,2.1e+07,1.1e-02,D+,30388.5451,78137.404,,
2095.2990,5.e+06,7.e-03,D,18886.773,66612.659,,
2095.6455,3.1e+06,1.5e-03,D,16369.4098,64087.408,,
2097.0584,1.0e+07,8.e-03,D+,62322.445,110008.310,,
2097.620,9.e+06,7.5e-03,D+,44929.532,92602.711,,
2097.6894,1.07e+06,7.1e-04,C,16369.4098,64040.891,,
2097.8579,3.8e+06,3.4e-03,D,61041.734,108709.424,,
2098.0710,2.7e+06,1.5e-03,D,25428.7893,73091.630,,
2098.2157,5.e+06,3.5e-03,D,13673.2045,61332.753,,
2099.9211,6.4e+06,5.3e-03,D+,60956.781,108577.597,,
2100.094,9.e+05,7.e-04,D,26352.7671,73969.761,,
2100.157,6.2e+06,4.1e-03,D+,36252.931,83868.450,,
2100.8324,1.5e+07,1.2e-02,D+,62083.118,109683.303,,
2101.3637,5.7e+06,3.8e-03,D+,60989.444,108577.597,,
2101.6937,9.e+06,6.9e-03,D+,60807.239,108387.934,,
2101.7642,5.4e+07,3.6e-02,D+,62322.445,109901.523,,
2101.8871,1.3e+07,1.0e-02,D+,60887.606,108463.918,,
2102.9341,9.e+06,5.8e-03,D+,61156.827,108709.424,,
2103.1300,1.0e+07,5.2e-03,D+,60989.444,108537.623,,
2103.3992,5.1e+07,3.4e-02,D+,62083.118,109625.216,,
2104.7020,6.e+06,2.1e-03,D,59663.440,107176.093,,
2104.733,3.8e+06,3.2e-03,D+,44915.057,92426.967,,
2104.9075,1.4e+07,1.1e-02,D+,60625.446,108133.473,,
2105.0896,1.0e+07,5.4e-03,D+,60887.606,108391.507,,
2105.2520,1.7e+07,1.3e-02,D+,60837.560,108337.798,,
2105.9010,5.1e+06,2.5e-03,D+,61156.827,108642.450,,
2106.366,1.9e+06,1.2e-03,D,61974.931,109449.894,,
2107.1641,1.2e+07,5.9e-03,D+,61156.827,108613.977,,
2108.2211,1.3e+07,9.e-03,D+,26170.1810,73603.537,,
2108.416,2.7e+06,1.2e-03,D,44929.532,92358.625,,
2109.7716,1.9e+07,1.3e-02,D+,26352.7671,73751.276,,
2109.7716,9.e+05,7.e-04,D,60989.444,108387.934,,
2110.1442,5.8e+06,3.3e-03,D+,62293.177,109683.303,,
2110.9781,3.0e+07,3.0e-02,D+,47674.728,95046.177,,
2111.4029,5.9e+07,3.9e-02,D+,18886.773,66248.647,,
2111.805,1.3e+06,1.2e-03,D,44929.532,92282.470,,
2112.1995,1.1e+07,6.5e-03,D+,60837.560,108181.564,,
2114.3463,5.2e+06,3.5e-03,D+,60837.560,108133.473,,
2114.528,4.0e+06,2.0e-03,D,27314.9183,74606.864,,
2114.757,1.0e+07,4.3e-03,D+,44929.532,92216.391,,
2116.109,5.3e+06,4.4e-03,D+,44915.057,92171.690,,
2117.66114,1.9e+07,1.1e-02,D+,25428.7893,72650.698,,
2118.158,1.1e+06,6.e-04,D,25805.3270,73016.184,,
2118.8676,3.5e+06,2.3e-03,D+,20805.7632,68000.785,,
2119.1861,5.3e+06,3.6e-03,D+,61587.205,108775.110,,
2119.7182,4.2e+06,2.8e-03,D+,20340.2461,67516.328,,
2123.1254,4.8e+05,2.6e-04,D+,15844.6485,62945.045,,
2124.7576,2.4e+07,1.1e-02,D+,61041.734,108105.938,,
2124.8786,1.2e+06,9.e-04,D,61587.205,108648.712,,
2125.8396,2.4e+07,2.2e-02,D+,48039.109,95079.342,,
2126.5289,8.e+06,4.4e-03,D+,61512.630,108537.623,,
2127.0921,2.6e+07,1.2e-02,D+,61093.406,108105.938,,
2127.681,1.4e+06,1.0e-03,D,26055.4120,73054.913,,
2128.1018,4.5e+06,3.0e-03,D+,61347.566,108337.798,,
2128.6440,1.9e+07,1.0e-02,D+,30764.4737,77742.736,,
2129.6311,4.3e+06,2.9e-03,D+,62945.045,109901.523,,
2130.5462,3.7e+06,2.5e-03,D+,61527.610,108463.918,,
2130.9290,3.9e+06,2.6e-03,D,13474.4474,60402.333,,
2131.2219,1.4e+07,8.e-03,D+,26170.1810,73091.630,,
2133.2101,6.e+06,2.8e-03,D,27620.4033,74498.093,,
2133.2552,1.2e+07,1.0e-02,D+,61587.205,108463.918,,
2133.8580,4.3e+06,3.7e-03,D+,62065.528,108929.031,,
2134.6267,2.0e+06,1.1e-03,D,25805.3270,72651.914,,
2134.6826,3.4e+06,2.3e-03,D+,25805.3270,72650.698,,
2135.249,9.e+05,6.e-04,D,25428.7893,72261.742,,
2136.2875,1.5e+07,1.2e-02,D+,61527.610,108337.798,,
2136.5555,1.1e+07,6.6e-03,D+,61587.205,108391.507,,
2136.7201,6.2e+06,4.3e-03,D+,61587.205,108387.934,,
2137.1828,1.6e+07,9.e-03,D+,26352.7671,73143.346,,
2138.7223,3.2e+06,1.5e-03,D,20516.9534,67273.833,,
2138.7445,3.2e+06,2.2e-03,D+,62293.177,109049.611,,
2140.0603,3.2e+06,2.2e-03,D+,62662.252,109389.879,,
2140.9640,1.7e+07,8.e-03,D+,62151.554,108859.487,,
2141.3269,6.e+06,2.8e-03,D,48039.109,94739.136,,
2142.1248,2.8e+07,1.0e-02,D+,62244.515,108927.126,,
2142.460,5.e+06,2.4e-03,D,31811.814,78487.144,,
2142.6909,9.e+05,7.e-04,D,25981.6451,72651.914,,
2142.9982,3.8e+06,1.7e-03,D,60402.333,107065.951,,
2143.1025,1.5e+07,1.0e-02,D+,48039.109,94700.415,,
2143.4412,1.2e+07,7.0e-03,D+,61527.610,108181.564,,
2143.7790,7.2e+06,4.0e-03,D+,62158.126,108804.711,,
2145.6196,6.1e+06,5.2e-03,D+,62322.445,108929.031,,
2145.6525,6.4e+06,4.4e-03,D+,61527.610,108133.473,,
2146.9871,6.1e+06,3.1e-03,D+,62065.528,108642.450,,
2147.0447,7.1e+05,4.9e-04,C+,16369.4098,62945.045,,
2148.2992,1.0e+07,5.4e-03,D+,62065.528,108613.977,,
2148.37928,2.2e+07,1.2e-02,D+,25805.3270,72352.046,,
2150.0403,1.4e+07,6.5e-03,D+,62151.554,108662.300,,
2150.9606,7.2e+06,5.0e-03,D+,62151.554,108642.450,,
2151.0509,3.0e+06,3.1e-03,D,49506.922,95995.817,,
2151.29767,3.2e+07,2.2e-02,D+,20516.9534,67000.530,,
2151.4391,4.7e+06,2.7e-03,D+,26170.1810,72650.698,,
2152.1830,2.2e+06,1.5e-03,D,60402.333,106866.770,,
2153.0449,2.2e+07,8.e-03,D+,18360.6399,64806.494,,
2154.1152,1.8e+07,6.3e-03,D+,62244.515,108667.282,,
2154.3469,2.9e+06,2.0e-03,D,62244.515,108662.300,,
2155.2679,2.6e+06,2.7e-03,D,62244.515,108642.450,,
2155.4336,2.9e+06,2.0e-03,D,60402.333,106796.679,,
2155.8189,3.5e+06,3.2e-03,D,62151.554,108537.623,,
2156.3880,1.4e+07,6.5e-03,D+,64087.408,110461.272,,
2156.5480,3.9e+06,2.7e-03,D+,25981.6451,72352.046,,
2158.6170,2.4e+06,2.1e-03,D,62065.528,108391.507,,
2158.6386,8.e+06,4.2e-03,D+,64286.354,110611.830,,
2158.8040,1.9e+06,1.0e-03,D,60270.351,106592.294,,
2159.8735,1.4e+07,8.e-03,D+,60625.446,106924.441,,
2160.6582,1.2e+06,6.e-04,D,62083.118,108365.344,,
2161.4716,6.e+05,3.6e-04,D,21251.5833,67516.328,,
2161.83889,2.8e+07,1.5e-02,D+,25981.6451,72238.564,,
2162.70110,2.5e+07,1.8e-02,D+,15844.6485,62083.118,,
2163.106,1.1e+06,9.e-04,D,62158.126,108387.934,,
2164.1641,3.0e+07,1.7e-02,D+,62158.126,108365.344,,
2165.01796,1.1e+07,5.4e-03,D+,13474.4474,59663.440,,
2165.1391,1.5e+07,1.1e-02,D+,64425.405,110611.830,,
2165.2909,4.3e+06,3.0e-03,D,26055.4120,72238.564,,
2167.072,6.e+06,4.4e-03,D,38214.503,84359.779,,
2167.39285,3.1e+07,2.2e-02,D+,31999.049,78137.404,,
2168.1026,2.2e+06,1.5e-03,D,20340.2461,66463.542,,
2168.5581,3.1e+07,1.5e-02,D+,26055.4120,72169.004,,
2169.35082,2.1e+07,1.2e-02,D+,60625.446,106722.187,,
2169.5200,9.e+06,4.8e-03,D+,60807.239,106900.373,,
2169.5940,3.6e+06,2.6e-03,D+,26170.1810,72261.742,,
2169.8571,1.7e+06,1.2e-03,D,21430.3564,67516.328,,
2170.8565,1.2e+06,1.3e-03,D,18360.6399,64425.405,,
2171.0689,6.8e+06,3.8e-03,D+,50157.475,96217.720,,
2171.525,9.e+05,6.e-04,D,38660.0537,84710.749,,
2171.888,9.e+05,7.e-04,D,62322.445,108365.344,,
2172.2192,1.1e+08,5.2e-02,D+,64425.405,110461.272,,
2172.7234,4.5e+06,3.2e-03,D+,38660.0537,84685.245,,
2172.8044,4.2e+06,3.6e-03,D+,62158.126,108181.564,,
2173.6589,6.8e+06,4.8e-03,D+,20516.9534,66522.310,,
2173.6841,3.6e+06,3.4e-03,D+,50212.836,96217.720,,
2174.500,3.2e+06,1.5e-03,D,26055.4120,72043.060,,
2174.8433,7.e+06,5.e-03,D,62125.604,108105.938,,
2175.5288,1.8e+07,1.3e-02,D+,21307.999,67273.833,,
2175.8056,9.e+06,4.9e-03,D+,60807.239,106767.226,,
2176.13481,2.0e+07,1.5e-02,D+,16369.4098,62322.445,,
2176.5809,6.7e+06,4.8e-03,D+,60956.781,106900.373,,
2177.0011,9.e+05,7.e-04,D,21581.6151,67516.328,,
2177.1826,2.7e+07,1.9e-02,D+,31811.814,77742.736,,
2177.7138,1.9e+07,1.3e-02,D+,18886.773,64806.494,,
2177.9400,8.e+06,5.6e-03,D+,60807.239,106722.187,,
2178.1752,1.3e+07,7.1e-03,D+,60956.781,106866.770,,
2180.5202,5.8e+06,4.1e-03,D+,64040.891,109901.523,,
2180.5647,1.1e+07,8.e-03,D+,62945.045,108804.711,,
2181.5065,1.5e+06,8.e-04,D,60956.781,106796.679,,
2182.2135,6.0e+06,4.3e-03,D+,61041.734,106866.770,,
2182.9084,6.2e+06,4.4e-03,D+,60956.781,106767.226,,
2183.0437,8.6e+06,4.94e-03,C,38458.9934,84266.594,,
2183.1721,8.e+06,3.8e-03,D+,61041.734,106846.649,,
2184.3880,9.e+07,4.7e-02,D+,64286.354,110065.766,,
2184.5176,8.e+06,7.5e-03,D+,27314.9183,73091.630,,
2184.6770,1.5e+06,1.1e-03,D,61093.406,106866.770,,
2185.6374,9.e+06,4.5e-03,D+,61093.406,106846.649,,
2187.451,6.e+06,2.7e-03,D,50142.811,95858.270,,
2187.5268,1.2e+06,1.1e-03,D,16369.4098,62083.118,,
2187.7078,2.3e+06,1.2e-03,D,61156.827,106866.770,,
2187.983,1.7e+07,1.2e-02,D+,38164.220,83868.450,,
2188.1222,9.e+06,6.4e-03,D+,27314.9183,73016.184,,
2188.3694,2.9e+06,2.06e-03,B,16369.4098,62065.528,,
2188.5416,3.0e+06,3.3e-03,D,21307.999,67000.530,,
2189.7180,1.97e+06,1.41e-03,C,15844.6485,61512.630,,
2191.0677,2.4e+06,1.3e-03,D,61156.827,106796.679,,
2192.66807,7.54e+07,5.43e-02,C+,38660.0537,84266.594,,
2193.6340,4.2e+06,2.0e-03,D,63272.981,108859.487,,
2194.647,3.7e+06,1.8e-03,D,38858.9696,84424.422,,
2197.9837,1.1e+07,5.8e-03,D+,54904.241,100400.48,,
2199.34916,8.e+07,5.7e-02,D+,38858.9696,84326.967,,
2199.5462,1.0e+07,1.1e-02,D+,61332.753,106796.679,,
2200.9690,1.5e+07,1.1e-02,D+,27620.4033,73054.913,,
2201.5386,4.1e+06,1.5e-03,D,59663.440,105086.265,,
2201.6587,6.1e+06,4.5e-03,D+,62945.045,108365.344,,
2201.8640,1.7e+07,8.e-03,D+,62689.874,108105.938,,
2202.0998,5.1e+07,3.7e-02,D+,39013.2160,84424.422,,
2202.27335,7.77e+07,7.53e-02,C+,38858.9696,84266.594,,
2202.8501,1.2e+06,1.1e-03,D,27620.4033,73016.184,,
2204.1248,7.0e+06,5.1e-03,D+,63272.981,108642.450,,
2204.2994,1.0e+07,5.3e-03,D+,64286.354,109652.241,,
2205.6123,1.9e+06,1.7e-03,D,64286.354,109625.216,,
2205.7030,1.6e+06,1.2e-03,D,27314.9183,72651.914,,
2206.76971,2.07e+08,3.0e-01,C+,39109.3161,84424.422,,
2206.83577,1.84e+08,2.01e-01,C+,39013.2160,84326.967,,
2207.2783,6.e+06,4.5e-03,D,21307.999,66612.659,,
2208.5212,5.e+06,2.5e-03,D,62151.554,107430.742,,
2209.09418,1.59e+08,1.17e-01,C+,38458.9934,83726.416,,
2209.2308,1.9e+06,1.8e-03,D,63272.981,108537.623,,
2209.6410,8.e+06,6.1e-03,D+,62151.554,107407.818,,
2209.72074,1.27e+08,7.46e-02,C+,38458.9934,83713.583,,
2210.4423,1.6e+06,1.2e-03,D,20340.2461,65580.065,,
2210.8382,9.e+06,1.0e-02,D+,64834.069,110065.766,,
2211.6899,1.1e+06,1.2e-03,D,21307.999,66522.310,,
2211.7842,6.6e+06,3.9e-03,D+,30388.5451,75600.900,,
2211.8041,2.8e+06,1.7e-03,D+,21251.5833,66463.542,,
2212.4688,7.6e+06,6.9e-03,D+,61726.069,106924.441,,
2212.5259,7.1e+06,5.2e-03,D+,63465.134,108662.300,,
2212.897,2.2e+06,1.2e-03,D,33501.2957,78690.860,,
2213.0637,2.1e+07,1.6e-02,D+,62244.515,107430.742,,
2213.5009,3.5e+06,3.8e-03,D,63465.134,108642.450,,
2213.5475,3.9e+06,2.9e-03,D+,64831.951,110008.310,,
2213.6467,7.2e+06,5.3e-03,D+,61726.069,106900.373,,
2214.34270,3.3e+07,2.4e-02,D+,21251.5833,66411.712,,
2214.4118,4.6e+06,2.8e-03,D+,21430.3564,66589.042,,
2214.72670,2.00e+08,1.11e-01,C+,38660.0537,83812.352,,
2214.8092,1.2e+07,6.6e-03,D+,30764.4737,75915.080,,
2215.0947,1.0e+06,7.e-04,D,15844.6485,60989.444,,
2215.76517,2.4e+08,1.20e-01,C+,38858.9696,83990.106,,
2216.39045,3.0e+08,1.10e-01,C+,39013.2160,84131.624,,
2217.7512,4.1e+06,2.4e-03,D+,21581.6151,66672.336,,
2218.0143,5.0e+06,2.7e-03,D+,62322.445,107407.818,,
2218.7419,8.e+06,4.3e-03,D+,61726.069,106796.679,,
2218.94991,1.57e+08,1.45e-01,C+,38660.0537,83726.416,,
2219.1720,9.e+05,8.e-04,D,60956.781,106018.682,,
2219.5814,1.7e+06,1.3e-03,D,38660.0537,83713.583,,
2219.8470,1.1e+06,1.0e-03,D,62171.624,107219.778,,
2220.1915,5.8e+06,4.3e-03,D+,61726.069,106767.226,,
2220.3896,3.3e+06,2.5e-03,D+,27314.9183,72352.046,,
2220.58469,2.4e+07,1.8e-02,D+,21430.3564,66463.542,,
2221.06922,4.2e+07,3.1e-02,D+,20340.2461,65363.607,,
2221.1212,1.6e+08,1.2e-01,D+,39109.3161,84131.624,,
2221.211,4.1e+06,4.6e-03,D,47674.728,92695.398,,
2221.85571,2.5e+07,1.8e-02,D+,21581.6151,66589.042,,
