-----------------------------------------------------
level LW  band  PorR  lambda      f         gamma     sensivity    comment
  2   L   1     R   1093.52696  0.00200   1.000E9   0.02573
  2   L   2     P   1081.94838  0.00200   1.000E9   0.02573
  2   L   3     P   1069.32076  0.00200   1.000E9   0.02573
  2   L   3     R   1067.84752  0.00200   1.000E9   0.02573
  2   L   4     P   1057.27058  0.00200   1.000E9   0.02573
  2   L   4     R   1055.87950  0.00200   1.000E9   0.02573
  2   L   5     P   1045.76264  0.00200   1.000E9   0.02573
  2   L   5     R   1044.44653  0.00200   1.000E9   0.02573
  2   L   6     P   1034.76669  0.00200   1.000E9   0.02573
  2   L   6     R   1033.51929  0.00200   1.000E9   0.02573
  2   L   7     P   1024.25462  0.00200   1.000E9   0.02573
  2   L   7     R   1023.07083  0.00200   1.000E9   0.02573 
  2   L   8     P   1014.20145  0.00200   1.000E9   0.02573
  2   L   8     R   1013.07728  0.00200   1.000E9   0.02573
  2   L   9     P   1004.58215  0.00200   1.000E9   0.02573
  2   L   9     R   1003.51037  0.00200   1.000E9   0.02573
  2   W   0     P   1010.00728  0.00200   1.000E9   0.02573
  2   W   0     R   1007.65326  0.00200   1.000E9   0.02573
  2   W   0     Q   1009.08028  0.00200   1.000E9   0.02573
