nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
9.653847,3.197e-05,403.723,104,88,ElecStateLabel=X;v12=1;J=6;K=5;rovibSym=E2,ElecStateLabel=X;v12=1;J=5;K=5;rovibSym=E2,5,569
9.653892,5.839e-05,305.905,104,88,ElecStateLabel=X;v12=1;J=6;K=4;rovibSym=E2,ElecStateLabel=X;v12=1;J=5;K=4;rovibSym=E2,5,569
9.65402,9.326e-05,231.727,104,88,ElecStateLabel=X;v12=1;J=6;K=2;rovibSym=A-,ElecStateLabel=X;v12=1;J=5;K=2;rovibSym=A-,5,569
9.654129,3.216e-05,322.395,104,88,ElecStateLabel=X;v12=1;J=6;K=5;rovibSym=E1,ElecStateLabel=X;v12=1;J=5;K=5;rovibSym=E1,5,569
9.654266,0.0001022,226.723,104,88,ElecStateLabel=X;v12=1;J=6;K=1;rovibSym=E1,ElecStateLabel=X;v12=1;J=5;K=1;rovibSym=E1,5,569
9.654286,5.848e-05,358.5,104,88,ElecStateLabel=X;v12=1;J=6;K=4;rovibSym=A+,ElecStateLabel=X;v12=1;J=5;K=4;rovibSym=A+,5,569
9.654286,5.848e-05,358.5,104,88,ElecStateLabel=X;v12=1;J=6;K=4;rovibSym=A-,ElecStateLabel=X;v12=1;J=5;K=4;rovibSym=A-,5,569
9.654317,7.887e-05,299.45,104,88,ElecStateLabel=X;v12=1;J=6;K=3;rovibSym=A+,ElecStateLabel=X;v12=1;J=5;K=3;rovibSym=A+,5,569
9.654317,7.887e-05,299.45,104,88,ElecStateLabel=X;v12=1;J=6;K=3;rovibSym=A-,ElecStateLabel=X;v12=1;J=5;K=3;rovibSym=A-,5,569
9.654337,0.0001053,233.051,104,88,ElecStateLabel=X;v12=1;J=6;K=0;rovibSym=E1,ElecStateLabel=X;v12=1;J=5;K=0;rovibSym=E1,5,569
9.654797,9.376e-05,302.08,104,88,ElecStateLabel=X;v12=1;J=6;K=2;rovibSym=E1,ElecStateLabel=X;v12=1;J=5;K=2;rovibSym=E1,5,569
9.654879,3.908e-05,493.971,344,360,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=21;K=6;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=5;rovibSym=E2,5,569
9.655867,0.0001022,311.452,104,88,ElecStateLabel=X;v12=1;J=6;K=1;rovibSym=E2,ElecStateLabel=X;v12=1;J=5;K=1;rovibSym=E2,5,569
9.657051,0.0001053,318.595,104,88,ElecStateLabel=X;v12=1;J=6;K=0;rovibSym=A+,ElecStateLabel=X;v12=1;J=5;K=0;rovibSym=A+,5,569
9.663701,0.0001028,250.228,104,88,ElecStateLabel=X;v12=1;J=6;K=1;rovibSym=A-,ElecStateLabel=X;v12=1;J=5;K=1;rovibSym=A-,5,569
9.667031,2.137e-09,599.49,424,424,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=26;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=26;K=3;rovibSym=E1,5,569
9.67134,0.0001057,33.316,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=0;rovibSym=E1,5,569
9.675688,0.000103,28.073,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=1;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=E2,5,569
9.67705,0.000106,24.199,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=0;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=0;rovibSym=A+,5,569
9.677289,3.226e-05,110.394,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=5;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=5;rovibSym=E2,5,569
9.677992,3.225e-05,118.775,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=5;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=5;rovibSym=E1,5,569
9.678198,3.243e-05,120.043,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=5;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=5;rovibSym=A+,5,569
9.678198,3.243e-05,120.043,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=5;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=5;rovibSym=A-,5,569
9.678741,5.882e-05,80.041,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=4;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=4;rovibSym=A-,5,569
9.678741,5.882e-05,80.041,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=4;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=4;rovibSym=A+,5,569
9.678777,5.868e-05,85.296,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=4;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=4;rovibSym=E2,5,569
9.67947,5.909e-05,90.923,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=4;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=4;rovibSym=E1,5,569
9.679519,9.482e-05,50.411,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=2;rovibSym=A-,5,569
9.67968,7.927e-05,58.813,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=3;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=3;rovibSym=A+,5,569
9.679714,7.927e-05,58.813,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=3;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=3;rovibSym=A-,5,569
9.680354,7.99e-05,67.787,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=3;rovibSym=E2,5,569
9.680472,7.958e-05,57.362,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=3;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=3;rovibSym=E1,5,569
9.681657,0.0001058,38.833,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=E1,5,569
9.68217,9.49e-05,50.413,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=2;rovibSym=A+,5,569
9.683612,9.45e-05,42.206,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=2;rovibSym=E2,5,569
9.683621,9.331e-05,39.665,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=2;rovibSym=E1,5,569
9.703109,1.207e-05,696.043,360,376,ElecStateLabel=X;v12=1;J=22;K=5;rovibSym=E1,ElecStateLabel=X;v12=1;J=23;K=4;rovibSym=E1,5,569
9.707791,7.689e-05,846.375,424,408,ElecStateLabel=X;v12=1;J=26;K=5;rovibSym=A+,ElecStateLabel=X;v12=1;J=25;K=6;rovibSym=A+,5,569
9.7078,7.689e-05,846.375,424,408,ElecStateLabel=X;v12=1;J=26;K=5;rovibSym=A-,ElecStateLabel=X;v12=1;J=25;K=6;rovibSym=A-,5,569
9.714742,5.994e-05,195.504,248,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=2;rovibSym=A-,5,569
9.725175,5.859e-08,202.075,248,248,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=0;rovibSym=E1,5,569
9.737008,3.303e-05,371.536,280,296,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=6;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=5;rovibSym=A+,5,569
9.737008,3.303e-05,371.536,280,296,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=6;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=5;rovibSym=A-,5,569
9.757332,6.954e-05,281.316,168,152,ElecStateLabel=X;v12=1;J=10;K=1;rovibSym=E1,ElecStateLabel=X;v12=1;J=9;K=0;rovibSym=E1,5,569
9.762517,0.0001059,34.516,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=A-,5,569
9.77632,2.375e-09,309.545,296,312,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=1;rovibSym=E2,5,569
9.776553,1.149e-09,557.541,408,408,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=3;rovibSym=E1,5,569
9.788912,2.861e-05,26.101,56,72,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=2;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=1;rovibSym=A+,5,569
9.801815,3.96e-05,638.512,312,296,ElecStateLabel=X;v12=1;J=19;K=6;rovibSym=E2,ElecStateLabel=X;v12=1;J=18;K=7;rovibSym=E2,5,569
9.827073,2.974e-08,24.31,72,56,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=1;rovibSym=E1,5,569
9.865548,4.382e-05,252.591,280,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=3;rovibSym=E1,5,569
9.874649,1.232e-09,517.205,392,392,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=24;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=24;K=3;rovibSym=E1,5,569
9.876308,0.0001094,349.707,184,200,ElecStateLabel=X;v12=1;J=11;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=12;K=3;rovibSym=E2,5,569
9.878623,2.242e-05,446.373,232,248,ElecStateLabel=X;v12=1;J=14;K=1;rovibSym=E2,ElecStateLabel=X;v12=1;J=15;K=2;rovibSym=E2,5,569
9.922832,2.817e-08,393.516,200,184,ElecStateLabel=X;v12=1;J=12;K=2;rovibSym=E1,ElecStateLabel=X;v12=1;J=11;K=1;rovibSym=E2,5,569
9.925504,4.493e-05,280.389,280,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=4;rovibSym=E2,5,569
9.934239,2.006e-05,79.785,104,120,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=4;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=3;rovibSym=A-,5,569
9.934368,2.006e-05,79.785,104,120,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=4;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=3;rovibSym=A+,5,569
9.960525,6.383e-08,227.711,264,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=0;rovibSym=E1,5,569
9.961892,6.593e-10,478.482,376,376,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=23;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=23;K=3;rovibSym=E1,5,569
9.987044,9.796e-09,529.528,408,408,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=0;rovibSym=E1,5,569
10.018417,2.452e-08,140.478,216,200,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=1;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=1;rovibSym=E1,5,569
10.032388,0.0001327,498.56,264,280,ElecStateLabel=X;v12=1;J=16;K=3;rovibSym=E1,ElecStateLabel=X;v12=1;J=17;K=4;rovibSym=E1,5,569
10.038911,7.046e-10,441.371,360,360,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=3;rovibSym=E1,5,569
10.047112,1.303e-06,441.371,376,360,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=23;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=3;rovibSym=E1,5,569
10.055725,5.624e-14,325.815,136,152,ElecStateLabel=X;v12=1;J=8;K=2;rovibSym=E1,ElecStateLabel=X;v12=1;J=9;K=2;rovibSym=E2,5,569
10.085974,4.659e-05,8.717,56,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=1;rovibSym=E2,5,569
10.101338,2.703e-05,173.184,168,184,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=5;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=4;rovibSym=E1,5,569
10.104095,0.000153,115.633,200,184,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=0;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=1;rovibSym=A+,5,569
10.106381,3.01e-10,405.874,344,344,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=21;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=21;K=3;rovibSym=E1,5,569
10.11923,0.0003211,1.614,24,24,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=1;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=1;K=0;rovibSym=A+,5,569
10.145879,2.096e-08,124.544,200,184,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=2;rovibSym=E2,5,569
10.147298,0.0003231,4.84,40,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=0;rovibSym=A+,5,569
10.164998,1.606e-10,371.99,328,328,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=20;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=20;K=3;rovibSym=E1,5,569
10.1895,0.0003262,9.681,56,56,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=0;rovibSym=A+,5,569
10.215469,8.568e-11,339.72,312,312,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=3;rovibSym=E1,5,569
10.216783,5.213e-05,273.089,296,280,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=1;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=2;rovibSym=A+,5,569
10.230862,9.25e-05,472.319,296,280,ElecStateLabel=X;v12=1;J=18;K=2;rovibSym=A-,ElecStateLabel=X;v12=1;J=17;K=1;rovibSym=A-,5,569
10.238444,6.825e-08,254.93,280,280,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=0;rovibSym=E1,5,569
10.245953,0.0003305,16.134,72,72,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=0;rovibSym=A+,5,569
10.258505,6.403e-11,309.063,296,296,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=3;rovibSym=E1,5,569
10.289352,3.375e-05,519.251,312,328,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=8;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=20;K=7;rovibSym=E2,5,569
10.294805,3.909e-11,280.02,280,280,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=3;rovibSym=E1,5,569
10.303345,5.132e-05,458.539,360,344,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=4;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=21;K=5;rovibSym=E2,5,569
10.316817,0.0003357,24.199,88,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=0;rovibSym=A+,5,569
10.316832,7.867e-08,121.997,168,184,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=2;rovibSym=E1,5,569
10.325051,2.091e-11,252.591,264,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=3;rovibSym=E1,5,569
10.333902,2.724e-05,842.218,424,424,ElecStateLabel=X;v12=1;J=26;K=3;rovibSym=E1,ElecStateLabel=X;v12=1;J=26;K=2;rovibSym=E1,5,569
10.3422,2.617e-05,220.368,184,200,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=6;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=5;rovibSym=E1,5,569
10.346925,8.794e-05,13.963,56,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=0;rovibSym=E1,5,569
10.349908,1.009e-11,226.775,248,248,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=3;rovibSym=E1,5,569
10.366186,2.042e-08,570.943,424,424,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=26;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=26;K=0;rovibSym=E1,5,569
10.370008,4.822e-12,202.572,232,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=3;rovibSym=E1,5,569
10.373117,6.174e-09,63.188,136,120,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=2;rovibSym=E2,5,569
10.385958,2.601e-12,179.984,216,216,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=3;rovibSym=E1,5,569
10.398328,1.128e-12,159.009,200,200,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=3;rovibSym=E1,5,569
10.398749,8.545e-09,417.225,264,248,ElecStateLabel=X;v12=1;J=16;K=0;rovibSym=E1,ElecStateLabel=X;v12=1;J=15;K=3;rovibSym=E2,5,569
10.402284,0.0003421,33.876,104,104,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=0;rovibSym=A+,5,569
10.407653,4.61e-13,139.647,184,184,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=3;rovibSym=E1,5,569
10.414432,1.686e-13,121.899,168,168,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=3;rovibSym=E1,5,569
10.415451,0.0001495,231.727,72,88,ElecStateLabel=X;v12=1;J=4;K=1;rovibSym=A+,ElecStateLabel=X;v12=1;J=5;K=2;rovibSym=A+,5,569
10.416677,7.875e-12,649.437,360,344,ElecStateLabel=X;v12=1;J=22;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=21;K=2;rovibSym=E1,5,569
10.419122,7.465e-14,105.765,152,152,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=3;rovibSym=E1,5,569
10.422144,2.087e-14,91.244,136,136,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=3;rovibSym=E1,5,569
10.447342,0.0001506,231.727,72,88,ElecStateLabel=X;v12=1;J=4;K=1;rovibSym=A-,ElecStateLabel=X;v12=1;J=5;K=2;rovibSym=A-,5,569
10.448924,3.17e-07,280.02,296,280,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=3;rovibSym=E1,5,569
10.460465,4.704e-05,49.349,120,104,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E1,5,569
10.462729,1.596e-08,38.833,72,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=3;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=E1,5,569
10.470036,1.468e-09,724.73,392,408,ElecStateLabel=X;v12=1;J=24;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=25;K=1;rovibSym=E1,5,569
10.47388,8.674e-06,436.392,232,216,ElecStateLabel=X;v12=1;J=14;K=2;rovibSym=E1,ElecStateLabel=X;v12=1;J=13;K=3;rovibSym=E1,5,569
10.48562,7.798e-05,87.239,168,152,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=1;rovibSym=E1,5,569
10.502584,0.0003496,45.164,120,120,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=0;rovibSym=A+,5,569
10.516169,0.0001182,38.833,104,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=E1,5,569
10.530982,5.456e-05,607.577,408,392,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=5;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=24;K=6;rovibSym=E1,5,569
10.537302,4.631e-05,461.148,216,232,ElecStateLabel=X;v12=1;J=13;K=6;rovibSym=A+,ElecStateLabel=X;v12=1;J=14;K=5;rovibSym=A+,5,569
10.537302,4.631e-05,461.148,216,232,ElecStateLabel=X;v12=1;J=13;K=6;rovibSym=A-,ElecStateLabel=X;v12=1;J=14;K=5;rovibSym=A-,5,569
10.56222,7.188e-08,283.731,296,296,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=0;rovibSym=E1,5,569
10.570113,2.936e-05,800.461,408,408,ElecStateLabel=X;v12=1;J=25;K=3;rovibSym=E1,ElecStateLabel=X;v12=1;J=25;K=2;rovibSym=E1,5,569
10.57672,8.243e-13,169.407,216,200,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=3;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=3;rovibSym=E2,5,569
10.577421,2.404e-05,133.685,136,152,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=5;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=4;rovibSym=E2,5,569
10.609751,2.722e-10,31.596,88,72,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=2;rovibSym=E1,5,569
10.617977,0.0003584,58.062,136,136,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=0;rovibSym=A+,5,569
10.651044,1.701e-06,162.366,232,216,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=1;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=2;rovibSym=E1,5,569
10.669318,2.786e-09,580.207,328,344,ElecStateLabel=X;v12=1;J=20;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=21;K=0;rovibSym=E1,5,569
10.688581,0.0001083,471.833,296,280,ElecStateLabel=X;v12=1;J=18;K=2;rovibSym=A+,ElecStateLabel=X;v12=1;J=17;K=1;rovibSym=A+,5,569
