nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
2.278431,5.651e-07,13.963,24,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=1;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=0;rovibSym=E1,5,569
2.284989,7.601e-07,597.708,296,312,ElecStateLabel=X;v12=1;J=18;K=6;rovibSym=A-,ElecStateLabel=X;v12=1;J=19;K=5;rovibSym=A-,5,569
2.284989,7.601e-07,597.708,296,312,ElecStateLabel=X;v12=1;J=18;K=6;rovibSym=A+,ElecStateLabel=X;v12=1;J=19;K=5;rovibSym=A+,5,569
2.286739,4.388e-07,341.235,264,280,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=6;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=5;rovibSym=E1,5,569
2.291022,1.077e-11,753.368,280,280,ElecStateLabel=X;v12=1;J=17;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=12;rovibSym=E1,5,569
2.300195,5.449e-14,22.841,56,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=2;rovibSym=E2,5,569
2.303427,4.919e-07,305.48,280,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=4;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=5;rovibSym=E2,5,569
2.307447,1.073e-06,351.663,216,200,ElecStateLabel=X;v12=1;J=13;K=2;rovibSym=A-,ElecStateLabel=X;v12=1;J=12;K=1;rovibSym=A-,5,569
2.321593,7.603e-08,348.029,152,136,ElecStateLabel=X;v12=1;J=9;K=2;rovibSym=E1,ElecStateLabel=X;v12=1;J=8;K=3;rovibSym=E1,5,569
2.321835,1.259e-06,296.074,152,168,ElecStateLabel=X;v12=1;J=9;K=1;rovibSym=A+,ElecStateLabel=X;v12=1;J=10;K=2;rovibSym=A+,5,569
2.33757,3.638e-12,726.014,264,264,ElecStateLabel=X;v12=1;J=16;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=12;rovibSym=E1,5,569
2.339599,1.149e-08,252.591,280,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=3;rovibSym=E1,5,569
2.360603,4.902e-10,686.392,296,296,ElecStateLabel=X;v12=1;J=18;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=18;K=6;rovibSym=E1,5,569
2.371392,1.817e-11,312.721,184,168,ElecStateLabel=X;v12=1;J=11;K=0;rovibSym=E1,ElecStateLabel=X;v12=1;J=10;K=3;rovibSym=E2,5,569
2.376991,8.417e-11,51.889,120,104,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E2,5,569
2.382411,2.734e-12,700.266,248,248,ElecStateLabel=X;v12=1;J=15;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=12;rovibSym=E1,5,569
