obs_wl_vac(A)|Aki(s^-1)|Acc|Ei(cm-1)|Ek(cm-1)|conf_i|term_i|J_i|conf_k|term_k|J_k|Type|
1612.552|5.e+06|D|44753.8179|106767.226|3d6.(5D).4p|z 4F*|7/2|3d6.(3F2).4d|4F|7/2||
1612.80624|6.6e+07|D+|1872.5998|63876.325|3d7|a 4F|9/2|3d6.(3F2).4p|y 4G*|11/2||
1613.362|9.e+06|D+|41968.0698|103950.602|3d6.(5D).4p|z 6F*|11/2|3d6.(5D).5d|6F|9/2||
1613.362|2.6e+06|D|44784.7859|106767.226|3d6.(5D).4p|z 4D*|5/2|3d6.(3F2).4d|4F|7/2||
1613.7226|3.2e+07|D+|41968.0698|103936.602|3d6.(5D).4p|z 6F*|11/2|3d6.(5D).5d|6F|11/2||
1613.946|1.5e+07|D|31368.453|93328.553|3d6.(3D).4s|b 4D|1/2|3d6.(3F1).4p|u 4F*|3/2||
1617.1871|6.8e+06|D+|42114.8380|103950.602|3d6.(5D).4p|z 6F*|9/2|3d6.(5D).5d|6F|9/2||
1618.46769|8.e+06|D|45079.9019|106866.770|3d6.(5D).4p|z 4F*|5/2|3d6.(3F2).4d|4F|5/2||
1618.46769|5.53e+07|A|384.7872|62171.624|3d6.(5D).4s|a 6D|7/2|3d5.(6S).4s.4p.(3P*)|y 6P*|7/2||
1618.960|5.e+06|D|42658.2444|104426.460|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).5d|6F|5/2||
1618.960|2.3e+06|D|16369.4098|78137.404|3d7|a 2G|7/2|3d6.(1D2).4p|v 2F*|7/2||
1619.3436|2.4e+07|D+|42658.2444|104411.671|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).5d|6D|9/2||
1620.1500|1.7e+07|D+|42658.2444|104380.941|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).5d|6F|7/2||
1621.071|4.4e+06|D|45079.9019|106767.226|3d6.(5D).4p|z 4F*|5/2|3d6.(3F2).4d|4F|7/2||
1621.251|1.1e+06|D|384.7872|62065.528|3d6.(5D).4s|a 6D|7/2|3d6.(3F2).4p|y 4F*|7/2||
1621.68503|1.32e+08|A|384.7872|62049.042|3d6.(5D).4s|a 6D|7/2|3d5.(6S).4s.4p.(3P*)|y 6P*|5/2||
1622.318|8.e+06|D|45206.4704|106846.649|3d6.(5D).4p|z 4D*|1/2|3d6.(5D).5d|4F|3/2||
1622.4635|2.6e+07|D+|43238.6066|104873.232|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).5d|4D|7/2||
1623.0929|2.0e+07|C+|2430.1369|64040.891|3d7|a 4F|7/2|3d6.(3F2).4p|y 4G*|7/2||
1623.646|9.e+06|D|43238.6066|104828.163|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).5d|6D|5/2||
1623.985|6.e+06|D|45289.8248|106866.770|3d6.(5D).4p|z 4F*|3/2|3d6.(3F2).4d|4F|5/2||
1624.5158|1.4e+07|D|45289.8248|106846.649|3d6.(5D).4p|z 4F*|3/2|3d6.(5D).5d|4F|3/2||
1625.52294|4.0e+07|C+|2430.1369|63948.803|3d7|a 4F|7/2|3d6.(3F2).4p|y 4G*|9/2||
1625.9120|1.02e+07|C+|667.6829|62171.624|3d6.(5D).4s|a 6D|5/2|3d5.(6S).4s.4p.(3P*)|y 6P*|7/2||
1626.8935|1.3e+07|D+|43238.6066|104705.411|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).5d|6D|7/2||
1627.0224|1.6e+07|D+|42658.2444|104120.244|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).5d|6P|5/2||
1628.877|1.3e+07|D|43238.6066|104630.429|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).5d|6F|3/2||
1629.15914|8.66e+07|A|667.6829|62049.042|3d6.(5D).4s|a 6D|5/2|3d5.(6S).4s.4p.(3P*)|y 6P*|5/2||
1629.3715|5.9e+07|D+|16369.4098|77742.736|3d7|a 2G|7/2|3d6.(1D2).4p|v 2F*|5/2||
1630.1898|1.6e+07|D+|42658.2444|104000.810|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).5d|6P|7/2||
1631.12855|6.93e+07|A|667.6829|61974.931|3d6.(5D).4s|a 6D|5/2|3d5.(6S).4s.4p.(3P*)|y 6P*|3/2||
1631.5249|8.e+06|D+|42658.2444|103950.602|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).5d|6F|9/2||
1632.6692|1.9e+07|D+|2837.9807|64087.408|3d7|a 4F|5/2|3d6.(3F2).4p|y 4G*|5/2||
1632.8646|3.1e+07|D+|43620.9842|104863.080|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).5d|6P|3/2||
1633.594|7.e+06|D|31387.9788|92602.711|3d6.(3D).4s|b 4D|5/2|3d6.(3F1).4p|u 2G*|7/2||
1633.9093|3.9e+07|C+|2837.9807|64040.891|3d7|a 4F|5/2|3d6.(3F2).4p|y 4G*|7/2||
1634.34925|3.21e+07|A|862.6118|62049.042|3d6.(5D).4s|a 6D|3/2|3d5.(6S).4s.4p.(3P*)|y 6P*|5/2||
1635.40028|2.3e+08|D+|7955.3186|69102.427|3d6.(5D).4s|a 4D|7/2|3d5.(6S).4s.4p.(3P*)|x 4P*|5/2||
1636.33123|9.63e+07|A|862.6118|61974.931|3d6.(5D).4s|a 6D|3/2|3d5.(6S).4s.4p.(3P*)|y 6P*|3/2||
1637.39973|3.6e+07|C+|1872.5998|62945.045|3d7|a 4F|9/2|3d6.(3F2).4p|x 4D*|7/2||
1639.40120|6.85e+07|B+|977.0498|61974.931|3d6.(5D).4s|a 6D|1/2|3d5.(6S).4s.4p.(3P*)|y 6P*|3/2||
1639.497|7.e+06|D|31364.4554|92358.625|3d6.(3D).4s|b 4D|3/2|3d5.(4G).4s.4p.(3P*)|v 4F*|3/2||
1639.606|1.8e+07|D+|31368.453|92358.625|3d6.(3D).4s|b 4D|1/2|3d5.(4G).4s.4p.(3P*)|v 4F*|3/2||
1640.1530|5.9e+07|D+|3117.4877|64087.408|3d7|a 4F|3/2|3d6.(3F2).4p|y 4G*|5/2||
1640.271|1.8e+07|D+|31364.4554|92329.905|3d6.(3D).4s|b 4D|3/2|3d5.(4G).4s.4p.(3P*)|v 4F*|5/2||
1640.855|3.2e+07|D+|31483.1979|92426.967|3d6.(3D).4s|b 4D|7/2|3d5.(4G).4s.4p.(3P*)|v 4F*|9/2||
1640.904|5.e+06|D|31387.9788|92329.905|3d6.(3D).4s|b 4D|5/2|3d5.(4G).4s.4p.(3P*)|v 4F*|5/2||
1641.76298|1.8e+08|D+|8391.9554|69302.086|3d6.(5D).4s|a 4D|5/2|3d5.(6S).4s.4p.(3P*)|x 4P*|3/2||
1642.185|3.4e+07|D+|31387.9788|92282.470|3d6.(3D).4s|b 4D|5/2|3d5.(4G).4s.4p.(3P*)|v 4F*|7/2||
1642.432|3.0e+07|D+|18360.6399|79245.926|3d7|a 2P|3/2|3d5.(6S).4s.4p.(1P*)|x 6P*|3/2||
1642.497|4.4e+07|D+|18360.6399|79243.462|3d7|a 2P|3/2|3d6.(1D2).4p|w 2P*|3/2||
1643.439|8.e+06|D|31368.453|92216.391|3d6.(3D).4s|b 4D|1/2|3d6.(3P1).4p|u 2D*|3/2||
1643.57877|4.4e+07|D+|2430.1369|63272.981|3d7|a 4F|7/2|3d6.(3F2).4p|x 4D*|5/2||
1644.756|5.e+06|D|31483.1979|92282.470|3d6.(3D).4s|b 4D|7/2|3d5.(4G).4s.4p.(3P*)|v 4F*|7/2||
1645.698|6.8e+06|D+|44446.9051|105211.079|3d6.(5D).4p|z 4D*|7/2|3d6.(5D).5d|4G|9/2||
1646.1848|1.4e+08|D+|8680.4706|69427.014|3d6.(5D).4s|a 4D|3/2|3d5.(6S).4s.4p.(3P*)|x 4P*|1/2||
1647.1626|5.0e+07|D+|8391.9554|69102.427|3d6.(5D).4s|a 4D|5/2|3d5.(6S).4s.4p.(3P*)|x 4P*|5/2||
1647.538|9.e+07|D+|31999.049|92695.398|3d7|b 2F|7/2|3d6.(3P1).4p|u 2D*|5/2||
1647.5620|9.e+06|D+|44753.8179|105449.557|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).5d|4G|7/2||
1647.757|1.6e+07|D+|31483.1979|92171.690|3d6.(3D).4s|b 4D|7/2|3d6.(3F1).4p|u 2G*|9/2||
1647.878|9.e+06|D+|44232.5398|104916.552|3d6.(5D).4p|z 4F*|9/2|3d6.(3F2).4d|4F|9/2||
1648.395|6.e+06|D|44784.7859|105449.557|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).5d|4G|7/2||
1649.064|3.3e+06|D|44232.5398|104873.232|3d6.(5D).4p|z 4F*|9/2|3d6.(5D).5d|4D|7/2||
1649.32414|8.e+07|D+|44232.5398|104863.432|3d6.(5D).4p|z 4F*|9/2|3d6.(5D).5d|4G|11/2||
1649.4261|5.1e+07|D+|2837.9807|63465.134|3d7|a 4F|5/2|3d6.(3F2).4p|x 4D*|3/2||
1649.5768|9.e+07|D+|8680.4706|69302.086|3d6.(5D).4s|a 4D|3/2|3d5.(6S).4s.4p.(3P*)|x 4P*|3/2||
1650.527|4.3e+06|D|45044.1916|105630.764|3d6.(5D).4p|z 4D*|3/2|3d6.(5D).5d|4G|5/2||
1650.7035|1.4e+08|D+|8846.7837|69427.014|3d6.(5D).4s|a 4D|1/2|3d5.(6S).4s.4p.(3P*)|x 4P*|1/2||
1651.5038|1.2e+07|D+|45079.9019|105630.764|3d6.(5D).4p|z 4F*|5/2|3d6.(5D).5d|4G|5/2||
1651.613|4.0e+06|D|44446.9051|104993.879|3d6.(5D).4p|z 4D*|7/2|3d6.(3F2).4d|4D|7/2||
1651.613|3.5e+07|D+|31811.814|92358.625|3d7|b 2F|5/2|3d5.(4G).4s.4p.(3P*)|v 4F*|3/2||
1653.403|5.5e+07|D+|18360.6399|78841.872|3d7|a 2P|3/2|3d6.(1D2).4p|w 2P*|1/2||
1653.796|1.1e+07|D+|44753.8179|105220.610|3d6.(5D).4p|z 4F*|7/2|3d6.(3H).4d|4F|7/2||
1654.06100|8.e+07|D+|44753.8179|105211.079|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).5d|4G|9/2||
1654.1133|1.4e+07|D|8846.7837|69302.086|3d6.(5D).4s|a 4D|1/2|3d5.(6S).4s.4p.(3P*)|x 4P*|3/2||
1654.261|1.9e+06|D|1872.5998|62322.445|3d7|a 4F|9/2|3d6.(3H).4p|z 2G*|7/2||
1654.4785|7.1e+07|D+|3117.4877|63559.498|3d7|a 4F|3/2|3d6.(3F2).4p|x 4D*|1/2||
1654.9079|1.0e+07|D+|44446.9051|104873.232|3d6.(5D).4p|z 4D*|7/2|3d6.(5D).5d|4D|7/2||
1655.025|5.e+06|D|8680.4706|69102.427|3d6.(5D).4s|a 4D|3/2|3d5.(6S).4s.4p.(3P*)|x 4P*|5/2||
1655.502|1.2e+08|D+|31811.814|92216.391|3d7|b 2F|5/2|3d6.(3P1).4p|u 2D*|3/2||
1655.593|5.e+06|D|44753.8179|105155.093|3d6.(5D).4p|z 4F*|7/2|3d6.(3F2).4d|4G|9/2||
1656.144|3.1e+06|D|44446.9051|104828.163|3d6.(5D).4p|z 4D*|7/2|3d6.(5D).5d|6D|5/2||
1656.346|6.e+06|D|44753.8179|105127.773|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).5d|4D|5/2||
1656.46140|9.e+07|D+|45079.9019|105449.557|3d6.(5D).4p|z 4F*|5/2|3d6.(5D).5d|4G|7/2||
1656.7056|2.6e+07|D+|44232.5398|104593.292|3d6.(5D).4p|z 4F*|9/2|3d6.(5D).5d|6G|11/2||
1656.748|6.4e+06|D+|18886.773|79245.926|3d7|a 2P|1/2|3d5.(6S).4s.4p.(1P*)|x 6P*|3/2||
1656.817|1.0e+07|D+|18886.773|79243.462|3d7|a 2P|1/2|3d6.(1D2).4p|w 2P*|3/2||
1657.188|1.1e+07|D+|44784.7859|105127.773|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).5d|4D|5/2||
1657.24959|9.e+07|D+|45289.8248|105630.764|3d6.(5D).4p|z 4F*|3/2|3d6.(5D).5d|4G|5/2||
1657.537|4.0e+06|D|31999.049|92329.905|3d7|b 2F|7/2|3d5.(4G).4s.4p.(3P*)|v 4F*|5/2||
1657.537|5.5e+07|D+|18360.6399|78690.860|3d7|a 2P|3/2|3d6.(1D2).4p|w 2D*|5/2||
1658.590|2.3e+07|D+|44446.9051|104739.057|3d6.(5D).4p|z 4D*|7/2|3d6.(3F2).4d|4P|5/2||
1658.7727|2.0e+07|D+|1872.5998|62158.126|3d7|a 4F|9/2|3d6.(3F2).4p|y 4F*|9/2||
1658.928|3.0e+06|D|42114.8380|102394.764|3d6.(5D).4p|z 6F*|9/2|3d6.(5D).6s|4D|7/2||
1659.3267|3.6e+07|D+|42401.3198|102666.741|3d6.(5D).4p|z 6F*|3/2|3d6.(5D).6s|6D|1/2||
1659.48286|8.e+07|D+|2430.1369|62689.874|3d7|a 4F|7/2|3d6.(3P2).4p|y 4D*|5/2||
1660.3889|4.0e+07|D+|42439.8511|102666.741|3d6.(5D).4p|z 6F*|1/2|3d6.(5D).6s|6D|1/2||
1660.8852|4.2e+07|D+|42334.8444|102543.689|3d6.(5D).4p|z 6F*|5/2|3d6.(5D).6s|6D|3/2||
1661.323|1.0e+06|D|1872.5998|62065.528|3d7|a 4F|9/2|3d6.(3F2).4p|y 4F*|7/2||
1661.510|1.6e+07|D+|45044.1916|105230.291|3d6.(5D).4p|z 4D*|3/2|3d6.(5D).5d|4D|3/2||
1662.293|2.4e+06|D|42237.0575|102394.764|3d6.(5D).4p|z 6F*|7/2|3d6.(5D).6s|4D|7/2||
1662.427|5.8e+07|D+|36126.412|96279.234|3d6.(3D).4s|b 2D|3/2|3d5.(4G).4s.4p.(3P*)|t 2F*|5/2||
1662.7210|2.8e+07|D+|42401.3198|102543.689|3d6.(5D).4p|z 6F*|3/2|3d6.(5D).6s|6D|3/2||
1663.2231|6.7e+07|D+|2837.9807|62962.215|3d7|a 4F|5/2|3d6.(3P2).4p|y 4D*|3/2||
1663.356|4.4e+06|D|44753.8179|104873.232|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).5d|4D|7/2||
1663.492|5.e+06|D|44753.8179|104868.522|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).5d|6G|9/2||
1663.697|1.0e+06|E|2837.9807|62945.045|3d7|a 4F|5/2|3d6.(3F2).4p|x 4D*|7/2||
1663.792|4.5e+06|D|42439.8511|102543.689|3d6.(5D).4p|z 6F*|1/2|3d6.(5D).6s|6D|3/2||
1663.792|6.2e+07|D+|36252.931|96356.551|3d6.(3D).4s|b 2D|5/2|3d5.(4G).4s.4p.(3P*)|t 2F*|7/2||
1663.9358|1.8e+07|D+|46967.4751|107065.951|3d6.(5D).4p|z 4P*|5/2|3d6.(5D).5d|4P|3/2||
1663.9745|4.7e+07|D+|42237.0575|102334.140|3d6.(5D).4p|z 6F*|7/2|3d6.(5D).6s|6D|5/2||
1664.217|2.9e+06|D|44784.7859|104873.232|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).5d|4D|7/2||
1664.354|6.e+06|D|45044.1916|105127.773|3d6.(5D).4p|z 4D*|3/2|3d6.(5D).5d|4D|5/2||
1665.337|4.1e+06|D|45079.9019|105127.773|3d6.(5D).4p|z 4F*|5/2|3d6.(5D).5d|4D|5/2||
1665.497|4.3e+07|D+|45044.1916|105086.265|3d6.(5D).4p|z 4D*|3/2|3d6.(3F2).4d|4P|1/2||
1665.935|4.2e+06|D|36252.931|96279.234|3d6.(3D).4s|b 2D|5/2|3d5.(4G).4s.4p.(3P*)|t 2F*|5/2||
1666.6868|2.0e+07|D+|42334.8444|102334.140|3d6.(5D).4p|z 6F*|5/2|3d6.(5D).6s|6D|5/2||
1667.914|9.e+07|D+|18886.773|78841.872|3d7|a 2P|1/2|3d6.(1D2).4p|w 2P*|1/2||
1668.883|5.e+06|D|44784.7859|104705.411|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).5d|6D|7/2||
1668.99985|5.3e+07|D+|42114.8380|102030.965|3d6.(5D).4p|z 6F*|9/2|3d6.(5D).6s|6D|7/2||
1669.4692|9.e+06|D|46967.4751|106866.770|3d6.(5D).4p|z 4P*|5/2|3d6.(3F2).4d|4F|5/2||
1669.662|2.4e+06|D|2430.1369|62322.445|3d7|a 4F|7/2|3d6.(3H).4p|z 2G*|7/2||
1670.74697|1.1e+08|D+|1872.5998|61726.069|3d7|a 4F|9/2|3d6.(3P2).4p|y 4D*|7/2||
1670.7912|9.e+06|D|2837.9807|62689.874|3d7|a 4F|5/2|3d6.(3P2).4p|y 4D*|5/2||
1670.9908|1.4e+07|D|3117.4877|62962.215|3d7|a 4F|3/2|3d6.(3P2).4p|y 4D*|3/2||
1671.4250|3.1e+07|D+|46967.4751|106796.679|3d6.(5D).4p|z 4P*|5/2|3d6.(5D).5d|4P|5/2||
1672.4108|1.3e+07|D+|42237.0575|102030.965|3d6.(5D).4p|z 6F*|7/2|3d6.(5D).6s|6D|7/2||
1672.6246|4.9e+07|D+|47389.809|107176.093|3d6.(5D).4p|z 4P*|3/2|3d6.(5D).5d|4P|1/2||
1673.4652|2.00e+08|C+|15844.6485|75600.900|3d7|a 2G|9/2|3d6.(3D).4p|w 2F*|7/2||
1674.021|3.2e+06|D|42658.2444|102394.764|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).6s|4D|7/2||
1674.18784|6.0e+07|D+|41968.0698|101698.519|3d6.(5D).4p|z 6F*|11/2|3d6.(5D).6s|6D|9/2||
1674.2573|1.1e+07|D+|2430.1369|62158.126|3d7|a 4F|7/2|3d6.(3F2).4p|y 4F*|9/2||
1674.7169|9.e+07|D+|3117.4877|62829.071|3d7|a 4F|3/2|3d6.(3P2).4p|y 4D*|1/2||
1676.135|1.0e+07|D+|44446.9051|104107.939|3d6.(5D).4p|z 4D*|7/2|3d6.(3P2).4d|4F|7/2||
1676.8556|6.8e+06|C+|2430.1369|62065.528|3d7|a 4F|7/2|3d6.(3F2).4p|y 4F*|7/2||
1677.837|5.2e+07|D+|18886.773|78487.144|3d7|a 2P|1/2|3d6.(1D2).4p|w 2D*|3/2||
1678.3132|5.e+06|D|42114.8380|101698.519|3d6.(5D).4p|z 6F*|9/2|3d6.(5D).6s|6D|9/2||
1679.260|1.1e+07|D|47626.110|107176.093|3d6.(5D).4p|z 4P*|1/2|3d6.(5D).5d|4P|1/2||
1679.3832|1.9e+08|D+|16369.4098|75915.080|3d7|a 2G|7/2|3d6.(3D).4p|w 2F*|5/2||
1679.4951|1.0e+07|D+|13474.4474|73016.184|3d7|a 4P|5/2|3d6.(1G2).4p|x 2F*|7/2||
1681.1118|6.e+06|D|2837.9807|62322.445|3d7|a 4F|5/2|3d6.(3H).4p|z 2G*|7/2||
1681.317|2.6e+06|D|47389.809|106866.770|3d6.(5D).4p|z 4P*|3/2|3d6.(3F2).4d|4F|5/2||
1682.066|1.0e+07|D+|44232.5398|103683.078|3d6.(5D).4p|z 4F*|9/2|3d6.(5D).5d|4F|9/2||
1682.3732|3.0e+07|D+|47626.110|107065.951|3d6.(5D).4p|z 4P*|1/2|3d6.(5D).5d|4P|3/2||
1683.3078|1.7e+07|D+|47389.809|106796.679|3d6.(5D).4p|z 4P*|3/2|3d6.(5D).5d|4P|5/2||
1684.008|8.e+06|D|18360.6399|77742.736|3d7|a 2P|3/2|3d6.(1D2).4p|v 2F*|5/2||
1684.454|2.4e+07|D+|45206.4704|104572.924|3d6.(5D).4p|z 4D*|1/2|3d6.(3P2).4d|4F|3/2||
1685.6816|1.5e+07|D+|44784.7859|104107.939|3d6.(5D).4p|z 4D*|5/2|3d6.(3P2).4d|4F|7/2||
1685.9546|2.1e+07|D+|2837.9807|62151.554|3d7|a 4F|5/2|3d6.(3F2).4p|y 4F*|5/2||
1686.4565|1.5e+07|D+|2430.1369|61726.069|3d7|a 4F|7/2|3d6.(3P2).4p|y 4D*|7/2||
1686.6925|1.5e+07|D|2837.9807|62125.604|3d7|a 4F|5/2|3d6.(3P2).4p|z 2D*|3/2||
1688.1585|2.6e+07|D+|44446.9051|103683.078|3d6.(5D).4p|z 4D*|7/2|3d6.(5D).5d|4F|9/2||
1688.289|7.e+06|D|16369.4098|75600.900|3d7|a 2G|7/2|3d6.(3D).4p|w 2F*|7/2||
1688.4027|2.5e+06|C|2837.9807|62065.528|3d7|a 4F|5/2|3d6.(3F2).4p|y 4F*|7/2||
1689.8317|2.0e+07|D+|13474.4474|72651.914|3d7|a 4P|5/2|3d6.(3D).4p|w 4D*|7/2||
1690.7583|2.9e+07|D+|13474.4474|72619.499|3d7|a 4P|5/2|3d6.(3D).4p|w 4D*|5/2||
1691.2737|2.6e+07|D+|3117.4877|62244.515|3d7|a 4F|3/2|3d6.(3F2).4p|y 4F*|3/2||
1692.1753|1.3e+07|D+|43238.6066|102334.140|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).6s|6D|5/2||
1693.4778|2.0e+07|D+|13474.4474|72524.561|3d7|a 4P|5/2|3d6.(3D).4p|w 4D*|3/2||
1693.6014|2.8e+07|D|43620.9842|102666.741|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).6s|6D|1/2||
1693.7590|2.0e+07|D+|42658.2444|101698.519|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).6s|6D|9/2||
1693.9372|8.e+06|D|3117.4877|62151.554|3d7|a 4F|3/2|3d6.(3F2).4p|y 4F*|5/2||
1696.4584|9.e+06|D|13673.2045|72619.499|3d7|a 4P|3/2|3d6.(3D).4p|w 4D*|5/2||
1696.7951|1.7e+07|D+|1872.5998|60807.239|3d7|a 4F|9/2|3d6.(3H).4p|z 4G*|9/2||
1697.1382|1.5e+07|D+|43620.9842|102543.689|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).6s|6D|3/2||
1698.438|4.6e+06|D|13474.4474|72352.046|3d7|a 4P|5/2|3d6.(3D).4p|w 4F*|7/2||
1699.1960|3.2e+07|D+|13673.2045|72524.561|3d7|a 4P|3/2|3d6.(3D).4p|w 4D*|3/2||
1699.915|2.9e+06|D|36252.931|95079.342|3d6.(3D).4s|b 2D|5/2|3d6.(3F1).4p|2F*|7/2||
1700.9022|1.0e+07|D+|43238.6066|102030.965|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).6s|6D|7/2||
1701.9409|7.0e+07|D+|13673.2045|72429.675|3d7|a 4P|3/2|3d6.(3D).4p|w 4D*|1/2||
1702.04519|1.0e+08|D+|1872.5998|60625.446|3d7|a 4F|9/2|3d6.(3H).4p|z 4G*|11/2||
1702.736|1.8e+07|D+|20516.9534|79245.926|3d7|a 2D2|5/2|3d5.(6S).4s.4p.(1P*)|x 6P*|3/2||
1702.806|2.8e+07|D+|20516.9534|79243.462|3d7|a 2D2|5/2|3d6.(1D2).4p|w 2P*|3/2||
1703.042|1.1e+07|D+|44446.9051|103165.320|3d6.(5D).4p|z 4D*|7/2|3d6.(3P2).4d|4F|9/2||
1703.078|9.e+06|D|50075.921|108793.109|3d6.(3F1).4s|c 4F|3/2|3d5.(2F1).4s.4p.(3P*)|4D*|1/2||
1703.1965|5.e+06|D|43620.9842|102334.140|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).6s|6D|5/2||
1703.733|6.e+06|D|13474.4474|72169.004|3d7|a 4P|5/2|3d6.(3D).4p|w 4F*|3/2||
1704.642|9.e+06|D|2430.1369|61093.406|3d7|a 4F|7/2|3d6.(3P2).4p|z 2D*|5/2||
1704.853|5.e+06|D|44446.9051|103102.849|3d6.(5D).4p|z 4D*|7/2|3d6.(3P2).4d|4D|7/2||
1705.443|3.7e+06|D|50142.811|108778.889|3d6.(3F1).4s|c 4F|5/2|3d5.(2F1).4s.4p.(3P*)|4F*|3/2||
1707.3993|3.9e+07|D+|13474.4474|72043.060|3d7|a 4P|5/2|3d6.(3D).4p|w 4P*|3/2||
1707.670|2.0e+06|D|2430.1369|60989.444|3d7|a 4F|7/2|3d6.(3H).4p|z 4H*|9/2||
1708.2390|4.5e+07|D+|13673.2045|72212.989|3d7|a 4P|3/2|3d6.(3D).4p|w 4P*|1/2||
1708.6238|2.0e+07|D+|2430.1369|60956.781|3d7|a 4F|7/2|3d6.(3H).4p|z 4G*|7/2||
1709.5543|9.e+06|D|2837.9807|61332.753|3d7|a 4F|5/2|3d6.(3P2).4p|y 4P*|3/2||
1709.6852|8.e+07|D+|13474.4474|71964.750|3d7|a 4P|5/2|3d6.(3D).4p|w 4P*|5/2||
1711.995|2.0e+06|D|44753.8179|103165.320|3d6.(5D).4p|z 4F*|7/2|3d6.(3P2).4d|4F|9/2||
1713.00041|7.1e+07|D+|2430.1369|60807.239|3d7|a 4F|7/2|3d6.(3H).4p|z 4G*|9/2||
1713.746|2.5e+06|D|50187.822|108539.473|3d6.(3F1).4s|c 4F|7/2|3d5.(2F1).4s.4p.(3P*)|4F*|5/2||
1715.0272|4.5e+07|D+|13904.8604|72212.989|3d7|a 4P|1/2|3d6.(3D).4p|w 4P*|1/2||
1715.5152|5.1e+07|D+|13673.2045|71964.750|3d7|a 4P|3/2|3d6.(3D).4p|w 4P*|5/2||
1716.5781|3.1e+06|D|2837.9807|61093.406|3d7|a 4F|5/2|3d6.(3P2).4p|z 2D*|5/2||
1716.7714|5.e+06|D|44753.8179|103002.660|3d6.(5D).4p|z 4F*|7/2|3d6.(3P2).4d|4D|5/2||
1718.1030|1.4e+07|D+|2837.9807|61041.734|3d7|a 4F|5/2|3d6.(3H).4p|z 4G*|5/2||
1718.980|2.6e+07|D+|20516.9534|78690.860|3d7|a 2D2|5/2|3d6.(1D2).4p|w 2D*|5/2||
1719.3290|5.1e+07|D+|44232.5398|102394.764|3d6.(5D).4p|z 4F*|9/2|3d6.(5D).6s|4D|7/2||
1720.0396|6.0e+07|D+|13904.8604|72043.060|3d7|a 4P|1/2|3d6.(3D).4p|w 4P*|3/2||
1720.427|1.4e+06|D|15844.6485|73969.761|3d7|a 2G|9/2|3d6.(1I).4p|y 2I*|11/2||
1720.61363|5.9e+07|D+|2837.9807|60956.781|3d7|a 4F|5/2|3d6.(3H).4p|z 4G*|7/2||
1721.9347|2.1e+07|D+|45044.1916|103118.421|3d6.(5D).4p|z 4D*|3/2|3d6.(5D).6s|4D|3/2||
1722.3776|1.8e+07|D|45206.4704|103265.738|3d6.(5D).4p|z 4D*|1/2|3d6.(5D).6s|4D|1/2||
1722.430|3.5e+06|D|7955.3186|66012.775|3d6.(5D).4s|a 4D|7/2|3d6.(3G).4p|x 4F*|9/2||
1722.6963|5.1e+07|D+|44753.8179|102802.353|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).6s|4D|5/2||
1722.9935|6.1e+07|D+|45079.9019|103118.421|3d6.(5D).4p|z 4F*|5/2|3d6.(5D).6s|4D|3/2||
1723.6166|2.5e+07|D+|44784.7859|102802.353|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).6s|4D|5/2||
1724.572|3.9e+06|D|8391.9554|66377.315|3d6.(5D).4s|a 4D|5/2|3d6.(3G).4p|x 4F*|7/2||
1724.8539|2.5e+07|D+|3117.4877|61093.406|3d7|a 4F|3/2|3d6.(3P2).4p|z 2D*|5/2||
1724.8539|7.5e+07|D+|45289.8248|103265.738|3d6.(5D).4p|z 4F*|3/2|3d6.(5D).6s|4D|1/2||
1724.9652|1.0e+07|D+|2430.1369|60402.333|3d7|a 4F|7/2|3d6.(3P2).4p|y 4P*|5/2||
1725.025|1.3e+07|D|20516.9534|78487.144|3d7|a 2D2|5/2|3d6.(1D2).4p|w 2D*|3/2||
