30  7  6  5220.7  5073.1 4.93E+00 8.89E-01 4.95E+00 1.14E+00
32  6 10  4815.2  6810.1 2.67E+01 1.43E+01 2.64E+01 4.11E+00
17  6  7  7156.3  7453.5 3.17E+00 2.60E-01 3.18E+00 3.25E-02
36  3  4  4414.4  4452.7 1.59E+00 2.06E-01 1.58E+00 1.16E-02
36  1  3  4288.   4414.4 1.96E+00 1.90E-01 1.97E+00 1.01E-02
37  6  7  4244.7  4346.6 4.51E+00 1.83E+00 4.40E+00 3.62E-01
26  3  5  4728.7  4798.9 7.05E+00 3.92E-01 6.93E+00 1.98E+00
25  8 11  5557.   8038.8 4.34E+00 2.09E+00 4.21E+00 2.88E-01
11  3  6 12942.6 15334.7 1.02E+00 6.94E-02 1.00E+00 2.26E-01
45 11  8  5283.8  4084.7 3.37E+00 3.51E+00 3.74E+00 1.47E+00
32  6  7  4815.2  4948.  7.40E+00 9.22E-01 7.57E+00 1.30E+00
30  8  7  5334.3  5220.7 2.48E+00 6.91E-01 2.40E+00 1.19E-01
14  6  7  8618.   9051.4 4.47E+00 1.19E+00 4.27E+00 1.12E+00
11  3  2 12942.6 12485.4 5.99E+00 1.83E-01 6.41E+00 3.27E+00
25  7 11  5433.8  8038.8 2.41E+01 1.62E+01 2.17E+01 1.51E+00
36  1  4  4288.   4452.7 3.16E+00 3.20E-01 3.11E+00 2.15E-02
11  6  2 15334.7 12485.4 5.88E+00 1.80E-01 6.38E+00 3.04E+00
10  6  7 16435.4 18093.9 4.67E+00 1.28E-01 4.90E+00 1.36E+00
36  1  2  4288.   4359.9 1.41E+00 2.32E-01 1.37E+00 5.70E-03
31  9  8  5377.2  5299.8 3.35E+00 2.45E+00 2.90E+00 8.61E-01
10  1  6 12566.8 16435.4 1.19E+00 1.23E-02 1.25E+00 2.97E-01
30  8  6  5334.3  5073.1 1.26E+01 2.09E+00 1.19E+01 2.75E+00
31  9  8  5377.2  5297.5 2.72E+00 1.38E-01 2.90E+00 8.61E-01
10  2  7 13205.5 18093.9 1.78E+00 1.30E-01 1.68E+00 4.54E-01
27  9  8  5182.6  5108.5 1.41E+00 7.91E-02 1.36E+00 2.11E-01
31  8  8  5297.5  5299.8 1.23E+00 9.09E-01 1.00E+00 2.88E-01
11  4  2 13277.7 12485.4 4.09E+00 1.99E-01 3.61E+00 1.85E+00
25  8 10  5557.   7765.5 1.61E+00 7.52E-01 1.40E+00 2.44E-01
29  7  6  5262.3  5112.2 3.38E+00 3.01E-01 3.24E+00 3.89E-01
32  7 10  4948.   6810.1 4.00E+00 1.54E+00 3.48E+00 5.95E-01
19  8  7  6441.3  6276.4 7.47E+00 3.66E+00 9.89E+00 6.11E+00
36  2  4  4359.9  4452.7 2.10E+00 4.63E-01 2.26E+00 1.51E-02
33  2  6  4458.5  4775.3 2.29E+00 7.81E-01 2.00E+00 3.04E-01
15  3  8  7687.6  9226.1 8.79E-01 7.85E-01 1.21E+00 5.24E-01
10  1  7 12566.8 18093.9 5.53E+00 1.28E-01 6.12E+00 1.65E+00
35  8 12  4951.4  6967.3 9.46E+00 4.10E+00 1.11E+01 1.84E+00
16  8  5  9033.   7733.9 3.17E+00 1.48E+00 3.99E+00 1.58E+00
12  9  5 17971.  12977.7 9.63E-01 3.39E-01 1.17E+00 3.99E-01
33  7  6  4906.   4775.3 1.61E+00 1.02E-01 1.71E+00 2.28E-01
34  8  2  4974.   4433.  2.38E+00 9.02E-01 2.79E+00 4.24E-01
10  6  2 16435.4 13205.5 2.61E+00 2.93E-02 2.91E+00 6.96E-01
25  2 11  4890.3  8038.8 7.58E+01 5.23E+01 5.13E+01 8.47E+00
39  8  9  4320.1  4373.  1.93E+00 1.41E-01 2.00E+00 5.29E-02
46 12  9  5279.   4080.4 3.67E+00 3.79E+00 1.72E+00 7.45E-01
25  2 10  4890.3  7765.5 2.84E+01 1.99E+01 1.71E+01 3.93E+00
18  8  6  7389.1  6896.9 8.15E+00 1.01E+00 7.56E+00 2.56E-01
25  7 10  5433.8  7765.5 9.97E+00 4.69E+00 7.22E+00 1.26E+00
