 2  1 259811.19 1.00E+00 0.00E+00
 3  2 353394.19 1.00E+00 5.30E-07
 4  3 513004.66 1.00E+00 5.55E-07
 5  4 873582.19 1.00E+00 0.00E+00
 6  1  53388.07 9.06E-01 9.25E-03
 6  2  67196.05 9.40E-02 9.25E-03
 7  1  41139.4  4.07E-03 2.39E-03
 7  2  48879.09 6.49E-03 4.80E-03
 7  3  56724.89 1.22E-03 8.58E-04
 7  6 179313.66 9.88E-01 8.01E-03
 8  2  40752.64 3.75E-03 2.60E-03
 8  3  46064.72 5.29E-03 4.13E-03
 8  4  50610.47 1.29E-03 9.93E-04
 8  7 245119.56 9.90E-01 7.72E-03
 9  3  40808.9  4.00E-03 3.05E-03
 9  4  44336.8  5.83E-03 4.67E-03
 9  5  46707.33 1.44E-03 1.15E-03
 9  8 357670.16 9.89E-01 8.87E-03
10  1  12566.8  3.49E-01 5.85E-02
10  2  13205.54 1.03E-01 1.70E-02
10  3  13718.16 6.15E-02 1.13E-02
10  6  16435.49 3.90E-01 6.60E-02
10  7  18093.94 8.64E-02 1.83E-02
10  8  19536.03 9.50E-03 2.22E-03
11  2  12485.43 3.18E-02 1.21E-02
11  3  12942.69 1.66E-01 3.56E-02
11  4  13277.77 9.48E-02 2.10E-02
11  6  15334.71 2.08E-01 1.85E-02
11  7  16768.76 1.67E-01 1.75E-02
11  8  18000.16 1.22E-01 3.20E-02
11  9  18954.05 1.99E-02 3.91E-03
11 10 228959.73 1.90E-01 1.87E-02
12  3  12476.66 4.39E-03 1.41E-03
12  4  12787.76 2.31E-01 4.74E-02
12  5  12977.73 9.96E-02 2.06E-02
12  7  15994.72 3.08E-01 2.94E-02
12  8  17111.28 8.73E-02 8.94E-03
12  9  17971.03 1.58E-01 4.53E-02
12 11 346506.78 1.11E-01 1.18E-02
13  4  12521.38 6.55E-02 1.67E-02
13  5  12703.47 3.35E-01 8.27E-02
13  8  16637.66 3.72E-01 3.60E-02
13  9  17449.35 1.95E-01 6.30E-02
13 12 601108.44 3.21E-02 1.10E-01
14  2   7637.54 8.42E-02 1.07E-01
14  3   7806.25 1.73E-03 1.41E-03
14  4   7926.9  6.36E-03 8.62E-03
14  6   8616.95 6.36E-01 9.62E-02
