4536.80284 1.00000
4536.80430 1.00000
4536.80575 1.00000
4536.80721 1.00000
4536.80867 1.00000
4536.81013 1.00000
4536.81159 1.00000
4536.81305 1.00000
4536.81450 1.00000
4536.81596 1.00000
4536.81742 1.00000
4536.81888 1.00000
4536.82034 1.00000
4536.82180 1.00000
4536.82325 1.00000
4536.82471 1.00000
4536.82617 0.99999
4536.82763 0.99999
4536.82909 0.99999
4536.83055 0.99998
4536.83200 0.99998
4536.83346 0.99997
4536.83492 0.99996
4536.83638 0.99995
4536.83784 0.99993
4536.83930 0.99992
4536.84075 0.99990
4536.84221 0.99987
4536.84367 0.99984
4536.84513 0.99981
4536.84659 0.99978
4536.84805 0.99974
4536.84950 0.99969
4536.85096 0.99965
4536.85242 0.99960
4536.85388 0.99954
4536.85534 0.99949
4536.85680 0.99944
4536.85825 0.99939
4536.85971 0.99934
4536.86117 0.99930
4536.86263 0.99926
4536.86409 0.99922
4536.86555 0.99920
4536.86700 0.99918
4536.86846 0.99917
4536.86992 0.99918
4536.87138 0.99919
4536.87284 0.99920
4536.87430 0.99923
4536.87575 0.99926
4536.87721 0.99930
4536.87867 0.99935
4536.88013 0.99940
4536.88159 0.99945
4536.88305 0.99950
4536.88450 0.99955
4536.88596 0.99961
4536.88742 0.99965
4536.88888 0.99970
4536.89034 0.99974
4536.89180 0.99978
4536.89325 0.99982
4536.89471 0.99985
4536.89617 0.99988
4536.89763 0.99990
4536.89909 0.99992
4536.90055 0.99993
4536.90200 0.99994
4536.90346 0.99995
4536.90492 0.99996
4536.90638 0.99996
4536.90784 0.99996
4536.90930 0.99996
4536.91076 0.99995
4536.91221 0.99994
4536.91367 0.99992
4536.91513 0.99991
4536.91659 0.99988
4536.91805 0.99986
4536.91951 0.99983
4536.92096 0.99979
4536.92242 0.99975
4536.92388 0.99970
4536.92534 0.99965
4536.92680 0.99959
4536.92826 0.99953
4536.92971 0.99946
4536.93117 0.99940
4536.93263 0.99933
4536.93409 0.99926
4536.93555 0.99920
4536.93701 0.99914
4536.93846 0.99908
4536.93992 0.99903
4536.94138 0.99899
4536.94284 0.99896
4536.94430 0.99894
4536.94576 0.99893
4536.94721 0.99893
4536.94867 0.99894
4536.95013 0.99896
4536.95159 0.99899
4536.95305 0.99904
4536.95451 0.99909
4536.95596 0.99914
4536.95742 0.99920
4536.95888 0.99927
4536.96034 0.99934
4536.96180 0.99940
4536.96326 0.99947
4536.96471 0.99953
4536.96617 0.99960
4536.96763 0.99965
4536.96909 0.99970
4536.97055 0.99975
4536.97201 0.99979
4536.97346 0.99983
4536.97492 0.99986
4536.97638 0.99989
4536.97784 0.99991
4536.97930 0.99993
4536.98076 0.99995
4536.98221 0.99996
4536.98367 0.99997
4536.98513 0.99998
4536.98659 0.99998
4536.98805 0.99999
4536.98951 0.99999
4536.99096 0.99999
4536.99242 1.00000
4536.99388 1.00000
4536.99534 1.00000
4536.99680 1.00000
4536.99826 1.00000
4536.99971 1.00000
4537.00117 1.00000
4537.00263 1.00000
4537.00409 1.00000
4537.00555 1.00000
4537.00701 1.00000
4537.00846 1.00000
4537.00992 1.00000
4537.01138 1.00000
4537.01284 1.00000
4537.01430 1.00000
4537.01576 1.00000
4537.01721 1.00000
4537.01867 1.00000
4537.02013 1.00000
4537.02159 1.00000
4537.02305 1.00000
4537.02451 1.00000
4537.02596 1.00000
4537.02742 1.00000
4537.02888 1.00000
4537.03034 1.00000
4537.03180 1.00000
4537.03326 1.00000
4537.03471 1.00000
4537.03617 1.00000
4537.03763 1.00000
4537.03909 1.00000
4537.04055 1.00000
4537.04201 1.00000
4537.04346 1.00000
4537.04492 1.00000
4537.04638 1.00000
4537.04784 1.00000
4537.04930 1.00000
4537.05076 1.00000
4537.05221 1.00000
4537.05367 1.00000
4537.05513 1.00000
4537.05659 1.00000
4537.05805 1.00000
4537.05951 1.00000
4537.06096 1.00000
4537.06242 1.00000
4537.06388 1.00000
4537.06534 1.00000
4537.06680 1.00000
4537.06826 1.00000
4537.06971 1.00000
4537.07117 1.00000
4537.07263 1.00000
4537.07409 1.00000
4537.07555 1.00000
4537.07701 1.00000
4537.07846 1.00000
4537.07992 1.00000
4537.08138 1.00000
4537.08284 1.00000
4537.08430 1.00000
4537.08576 1.00000
4537.08721 1.00000
4537.08867 1.00000
4537.09013 1.00000
4537.09159 1.00000
4537.09305 1.00000
4537.09451 1.00000
4537.09597 1.00000
4537.09742 1.00000
4537.09888 1.00000
4537.10034 1.00000
4537.10180 1.00000
4537.10326 1.00000
4537.10472 1.00000
4537.10617 1.00000
4537.10763 1.00000
4537.10909 1.00000
4537.11055 1.00000
4537.11201 1.00000
4537.11347 1.00000
4537.11492 1.00000
4537.11638 1.00000
4537.11784 0.99999
4537.11930 0.99999
4537.12076 0.99999
4537.12222 0.99998
4537.12367 0.99998
4537.12513 0.99997
4537.12659 0.99996
4537.12805 0.99995
4537.12951 0.99993
4537.13097 0.99992
4537.13242 0.99990
4537.13388 0.99987
4537.13534 0.99984
4537.13680 0.99981
4537.13826 0.99977
4537.13972 0.99973
4537.14117 0.99969
4537.14263 0.99964
4537.14409 0.99959
4537.14555 0.99954
4537.14701 0.99949
4537.14847 0.99944
4537.14992 0.99938
4537.15138 0.99934
4537.15284 0.99929
4537.15430 0.99925
4537.15576 0.99922
4537.15722 0.99920
4537.15867 0.99918
4537.16013 0.99917
4537.16159 0.99918
4537.16305 0.99919
4537.16451 0.99921
4537.16597 0.99923
4537.16742 0.99927
4537.16888 0.99931
4537.17034 0.99935
4537.17180 0.99940
4537.17326 0.99945
4537.17472 0.99951
4537.17617 0.99956
4537.17763 0.99961
4537.17909 0.99966
4537.18055 0.99970
4537.18201 0.99975
4537.18347 0.99979
4537.18492 0.99982
4537.18638 0.99985
4537.18784 0.99988
4537.18930 0.99990
4537.19076 0.99992
4537.19222 0.99994
4537.19367 0.99995
4537.19513 0.99996
4537.19659 0.99997
4537.19805 0.99998
4537.19951 0.99998
4537.20097 0.99999
4537.20242 0.99999
4537.20388 0.99999
4537.20534 1.00000
4537.20680 1.00000
4537.20826 1.00000
4537.20972 1.00000
4537.21117 1.00000
4537.21263 1.00000
4537.21409 1.00000
4537.21555 1.00000
4537.21701 1.00000
4537.21847 1.00000
4537.21992 1.00000
4537.22138 1.00000
4537.24034 1.00000
4537.24180 1.00000
4537.24326 1.00000
4537.24472 1.00000
4537.24617 1.00000
4537.24763 1.00000
4537.24909 1.00000
4537.25055 1.00000
4537.25201 1.00000
4537.25347 1.00000
4537.25492 1.00000
4537.25638 1.00000
4537.25784 1.00000
4537.25930 1.00000
4537.26076 1.00000
4537.26222 1.00000
4537.26367 0.99999
4537.26513 0.99999
4537.26659 0.99999
4537.26805 0.99998
4537.26951 0.99998
4537.27097 0.99997
4537.27242 0.99997
4537.27388 0.99996
4537.27534 0.99995
4537.27680 0.99994
4537.27826 0.99992
4537.27972 0.99991
4537.28118 0.99989
4537.28263 0.99988
4537.28409 0.99986
4537.28555 0.99984
4537.28701 0.99982
4537.28847 0.99980
