Detected Counts (Dicroic1 Arm Blue, CD#2)
94	2.5	207	163	1.3e+02	9.1	649.67	0.0052	5.1	357	293	2.3e+02	13	2.6	155	131	1e+02	7.5
95	2.6	218	158	1.4e+02	9.6	642.83	0.0052	5.2	366	286	2.4e+02	13	2.6	159	129	1e+02	7.7
96	2.7	256	156	1.6e+02	11	636.14	0.0051	5.4	403	282	2.6e+02	14	2.7	168	127	1.1e+02	8
97	2.8	459	158	2.8e+02	17	629.58	0.0051	5.6	524	283	3.3e+02	17	2.8	200	127	1.3e+02	9.2
98	2.8	271	158	1.7e+02	11	623.16	0.005	5.7	739	282	4.5e+02	22	2.9	357	126	2.2e+02	14
99	2.9	209	156	1.3e+02	9.3	616.87	0.005	5.8	405	276	2.6e+02	14	2.9	207	123	1.3e+02	9.5
100	2.9	195	151	1.3e+02	8.8	610.70	0.0049	5.7	345	266	2.2e+02	13	2.9	158	118	1e+02	7.7
101	2.8	187	145	1.2e+02	8.6	604.66	0.0049	5.7	331	254	2.1e+02	12	2.8	147	113	95	7.3
102	2.8	173	138	1.1e+02	8.1	598.73	0.0048	5.6	311	241	2e+02	12	2.8	141	107	91	7.1
103	2.7	169	131	1.1e+02	8	592.92	0.0048	5.4	291	229	1.9e+02	11	2.7	130	102	84	6.7
104	2.7	169	124	1.1e+02	8.1	587.22	0.0047	5.4	292	219	1.9e+02	11	2.7	128	97.6	82	6.7
106	2.8	168	122	1.1e+02	8.3	576.14	0.0047	5.6	284	214	1.8e+02	11	2.8	128	95.3	82	6.9
107	2.7	194	114	1.2e+02	9.4	570.76	0.0046	5.4	303	202	1.9e+02	12	2.7	127	90.1	81	6.9
108	2.7	190	109	1.2e+02	9.3	565.48	0.0046	5.4	352	195	2.2e+02	14	2.7	151	88.2	95	8
109	2.7	150	106	96	7.8	560.29	0.0045	5.5	298	190	1.9e+02	12	2.7	148	85.9	93	7.9
110	2.7	155	104	99	8	555.20	0.0045	5.5	259	184	1.7e+02	11	2.7	117	83.4	75	6.6
111	2.7	161	100	1e+02	8.3	550.20	0.0045	5.5	277	178	1.8e+02	12	2.7	121	80.8	77	6.8
112	2.7	157	98.2	99	8.1	545.29	0.0044	5.5	280	174	1.8e+02	12	2.7	126	78.8	80	7
113	2.7	149	95	95	7.8	540.46	0.0044	5.4	267	168	1.7e+02	11	2.7	122	75.7	77	6.9
114	2.7	148	91.4	93	7.8	535.72	0.0043	5.3	256	161	1.6e+02	11	2.7	116	72.9	73	6.6
115	2.6	150	87.2	94	7.9	531.07	0.0043	5.2	258	154	1.6e+02	11	2.6	115	69.8	72	6.6
116	2.6	148	84	93	7.9	526.49	0.0043	5.2	261	149	1.6e+02	11	2.6	117	67.9	74	6.7
117	2.6	144	81.4	90	7.8	521.99	0.0042	5.2	258	146	1.6e+02	11	2.6	117	66.6	73	6.8
118	2.6	139	79.8	87	7.6	517.57	0.0042	5.2	251	143	1.6e+02	11	2.6	115	65.6	72	6.7
119	2.6	139	78.6	87	7.6	513.22	0.0042	5.2	242	141	1.5e+02	11	2.6	111	64.4	70	6.5
120	2.6	168	77.2	1e+02	8.8	508.95	0.0041	5.2	254	137	1.6e+02	11	2.6	110	62.6	69	6.5
121	2.6	237	75.1	1.4e+02	11	504.74	0.0041	5.2	334	133	2e+02	14	2.6	133	60.6	82	7.5
122	2.5	252	72	1.5e+02	12	500.60	0.0041	5.1	439	127	2.6e+02	17	2.5	186	58	1.1e+02	9.8
123	2.5	379	68.5	2.2e+02	16	496.54	0.004	5	467	122	2.8e+02	18	2.5	198	55.8	1.2e+02	10
124	2.5	405	66	2.4e+02	17	492.53	0.004	4.9	779	119	4.6e+02	24	2.5	304	55.1	1.8e+02	14
125	2.5	234	65.7	1.4e+02	11	488.59	0.004	5	599	119	3.5e+02	21	2.5	331	55.1	1.9e+02	15
126	2.5	156	65.5	95	8.5	484.72	0.004	5	349	118	2.1e+02	14	2.5	191	54.5	1.1e+02	10
127	2.5	135	65.2	83	7.6	480.90	0.0039	5	255	115	1.6e+02	12	2.5	126	53.3	77	7.3
128	2.4	125	62.7	77	7.2	477.14	0.0039	4.9	228	110	1.4e+02	11	2.4	106	50.1	65	6.4
