# H2 B ^1\Sigma^+_u - X ^1\Sigma^+_g Lyman Transitions
#
# Catalogue of the most accurate and precise laboratory parameters for fitting molecular hydrogen (H_2) absorptions lines.
# Represented are all allowed Lyman H_2 transitions between the lowest 8 rotational levels in the ground and excited states with excited state vibrational quantum numbers up to v'=19.
#
# The first column provides a short-hand notation for the transition: letters denote a Lyman (L) line and the branch, where P, Q and R represent J' - J = -1, 0 and 1, respectively, for J and J' the ground state and excited state levels, respectively; the first integer is the excited state vibrational quantum number and the second is J.
# The second column gives the most precise reported laboratory wavelength and its 1-sigma uncertainty is given in the third column (both are in Angstroms)
#
# The fourth column provides the reference:
# 1 = Bailly, Salumbides, Vervloet, Ubachs (2009, Mol. Phys. 108, 827–846) for the excited state energy levels;
# with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 2 = Ubachs, Buning, Eikema, Reinhold (2007, J. Molecular Spectrosc., 241, 155); (a suffix "a" refers to directly measured wavelengths while "b" refers to wavelengths calculated from directly measured
# lines via combination differences); with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 3 = Abgrall, Roueff, Launay, Roncin, Subtil (1993, J. Mol. Spectrosc., 157, 512) for the excited state energy levels;
# with ground states from  Dabrowski (1984, Can. J. Phys. 62, 1639-1664)
#
# Note that wavelengths with reference 3 are much less precise than those from references 1 and 2.
#
# The fifth column gives the oscillator strengths which were calculated from the Einstein A coefficients given by Abgrall, Roueff, Launay, Roncin (1994, Canadian J. Phys., 72, 856).
# The sixth column gives the (natural) damping coefficients in seconds^{-1} which were calculated from the total transition probabilities (A_t) in Abgrall, Roueff, Drira (2000, Astron. Astrophys. Suppl., 141, 297).
#
# The final column gives the sensitivity coefficients calculated in Salumbides, Bagdonaite, Abgrall, Roueff, Ubachs (2015, MNRAS 450, 1237) which have estimated uncertainties of typically <5x10^{-4}.
#
#Trans  lambda_lab  	sig_lambda  	Ref  	f    		Gamma   	K
L17R4	931.537057	0.000868	3	2.530e-03	8.072e+08	 0.04679
L17R5	935.323765	0.000875	3	4.555e-04	8.573e+08	 0.03944
L17R6	940.490377	0.000885	3	9.935e-03	8.294e+08	 0.03459
L17R7	945.867439	0.000895	3	7.400e-03	7.902e+08	 0.03185
L18P1	918.413305	0.000093	1	1.610e-03	7.757e+08	 0.05574
L18P2	920.243230	0.000094	2b	1.683e-03	7.755e+08	 0.05378
L18P3	922.894900	0.000094	2b	1.619e-03	7.749e+08	 0.05095
L18P4	926.354667	0.000095	2b	1.575e-03	7.737e+08	 0.04731
L18P5	930.605406	0.000866	3	1.584e-03	7.715e+08	 0.04292
L18P6	935.629793	0.000875	3	1.655e-03	7.691e+08	 0.03782
L18P7	941.415258	0.000886	3	1.801e-03	7.661e+08	 0.03206
L18R0	917.251984	0.000093	1	6.175e-03	7.755e+08	 0.05680
L18R1	917.921885	0.000093	1	4.430e-03	7.749e+08	 0.05594
L18R2	919.418156	0.000093	1	4.168e-03	7.737e+08	 0.05420
L18R3	921.730346	0.000850	3	4.069e-03	7.715e+08	 0.05162
L18R4	924.848135	0.000855	3	4.001e-03	7.691e+08	 0.04823
L18R5	928.760279	0.000863	3	3.916e-03	7.661e+08	 0.04406
L18R6	933.443430	0.000871	3	3.759e-03	7.636e+08	 0.03914
L18R7	938.872279	0.000881	3	3.391e-03	7.632e+08	 0.03346
L19P1	911.967200	0.000170	1	1.316e-03	7.491e+08	 0.05660
L19P2	913.770125	0.000171	1	1.614e-03	7.490e+08	 0.05469
L19P3	916.382849	0.000172	1	1.825e-03	7.492e+08	 0.05188
L19P4	919.789980	0.000173	2b	2.135e-03	7.510e+08	 0.04815
L19P5	923.961653	0.000174	2b	2.867e-03	7.603e+08	 0.04323
L19P6	928.776755	0.000863	3	5.626e-03	8.365e+08	 0.03395
L19P7	934.958316	0.000874	3	4.715e-06	7.853e+08	 0.02965
L19R0	910.820745	0.000170	1	3.865e-03	7.490e+08	 0.05769
L19R1	911.479580	0.000170	1	2.485e-03	7.492e+08	 0.05683
L19R2	912.951070	0.000171	1	2.015e-03	7.510e+08	 0.05498
L19R3	915.212260	0.000171	1	1.349e-03	7.603e+08	 0.05187
L19R4	918.151563	0.000843	3	4.527e-05	8.365e+08	 0.04433
L19R5	922.475185	0.000851	3	6.667e-03	7.853e+08	 0.04160
L19R6	927.050404	0.000859	3	4.989e-03	7.457e+08	 0.03915
L19R7	932.441273	0.000869	3	4.435e-03	7.352e+08	 0.03406
W0P2	1012.169452	0.000021	1	5.510e-03	1.180e+09	-0.00773
W0P3	1014.504257	0.000005	1	8.277e-03	1.179e+09	-0.00993
W0P4	1017.385580	0.000006	1	9.946e-03	1.178e+09	-0.01260
W0P5	1020.799175	0.000006	1	1.085e-02	1.175e+09	-0.01569
W0P6	1024.734558	0.000032	1	1.051e-02	1.172e+09	-0.01896
W0P7	1029.353349	0.001081	3	5.698e-04	1.158e+09	-0.01006
W0Q1	1009.770899	0.000006	1	2.380e-02	1.180e+09	-0.00536
W0Q2	1010.938506	0.000008	1	2.381e-02	1.179e+09	-0.00650
W0Q3	1012.679613	0.000006	1	2.383e-02	1.177e+09	-0.00818
W0Q4	1014.982436	0.000031	1	2.386e-02	1.174e+09	-0.01038
W0Q5	1017.831477	0.000031	1	2.389e-02	1.171e+09	-0.01306
W0Q6	1021.209007	0.000073	3	2.390e-02	1.168e+09	-0.01618
W0Q7	1025.092838	0.001072	3	2.395e-02	1.164e+09	-0.01969
W0R0	1008.551920	0.000021	1	4.395e-02	1.180e+09	-0.00419
W0R1	1008.498182	0.000005	1	2.052e-02	1.179e+09	-0.00409
W0R2	1009.024965	0.000005	1	1.565e-02	1.178e+09	-0.00455
W0R3	1010.130270	0.000006	1	1.380e-02	1.175e+09	-0.00554
W0R4	1011.814484	0.000031	1	1.396e-02	1.172e+09	-0.00685
W0R5	1014.242706	0.001049	3	2.608e-02	1.158e+09	 0.00367
W0R6	1016.741875	0.001054	3	6.343e-03	1.168e+09	-0.01125
W0R7	1020.061342	0.001061	3	7.763e-03	1.163e+09	-0.01469
W1P2	989.088418	0.000009	1	8.108e-03	1.159e+09	 0.00315
W1P3	991.380492	0.000005	1	1.192e-02	1.157e+09	 0.00098
W1P4	994.229927	0.000007	1	1.377e-02	1.155e+09	-0.00160
W1P5	997.641421	0.000070	1	1.293e-02	1.149e+09	-0.00396
W1P6	1001.208723	0.000040	1	2.683e-02	1.122e+09	 0.00413
W1P7	1005.802921	0.000051	3	2.433e-02	1.148e+09	-0.01145
W1Q1	986.798050	0.000009	1	3.647e-02	1.158e+09	 0.00544
W1Q2	987.974474	0.000009	1	3.650e-02	1.157e+09	 0.00424
W1Q3	989.729359	0.000004	1	3.652e-02	1.156e+09	 0.00248
W1Q4	992.051233	0.000030	1	3.656e-02	1.153e+09	 0.00017
W1Q5	994.925429	0.000020	1	3.661e-02	1.151e+09	-0.00264
W1Q6	998.335678	0.000040	1	3.667e-02	1.147e+09	-0.00593
W1Q7	1002.258342	0.000040	3	3.671e-02	1.143e+09	-0.00963
W1R0	985.633709	0.000009	1	6.890e-02	1.159e+09	 0.00657
W1R1	985.644317	0.000005	1	3.301e-02	1.157e+09	 0.00662
W1R2	986.244063	0.000007	1	2.619e-02	1.155e+09	 0.00618
W1R3	987.448676	0.000068	1	2.565e-02	1.149e+09	 0.00584
W1R4	988.871506	0.000039	1	8.708e-04	1.122e+09	 0.01568
W1R5	991.371727	0.000049	1	1.075e-02	1.148e+09	 0.00199
W1R6	994.259148	0.001008	3	1.283e-02	1.145e+09	-0.00152
W1R7	997.682583	0.001015	3	1.470e-02	1.138e+09	-0.00473
W2P2	968.295189	0.000056	1	7.228e-03	1.138e+09	 0.01235
W2P3	970.563358	0.000007	1	9.744e-03	1.134e+09	 0.01048
W2P4	973.452379	0.000019	1	6.929e-03	1.111e+09	 0.01110
W2P5	976.548791	0.000029	1	2.189e-02	1.113e+09	 0.00913
W2P6	980.502056	0.000077	1	2.087e-02	1.128e+09	 0.00144
W2P7	984.918497	0.000058	3	2.046e-02	1.127e+09	-0.00327
W2Q1	966.096120	0.000007	1	3.498e-02	1.139e+09	 0.01450
W2Q2	967.281070	0.000028	1	3.501e-02	1.137e+09	 0.01326
W2Q3	969.049315	0.000010	1	3.504e-02	1.136e+09	 0.01141
W2Q4	971.389672	0.000019	1	3.510e-02	1.134e+09	 0.00900
W2Q5	974.288186	0.000019	1	3.516e-02	1.131e+09	 0.00606
W2Q6	977.727250	0.000029	1	3.524e-02	1.128e+09	 0.00262
W2Q7	981.688960	0.000096	3	3.531e-02	1.125e+09	-0.00126
W2R0	964.983964	0.000056	1	6.860e-02	1.138e+09	 0.01566
W2R1	965.064884	0.000007	1	3.495e-02	1.134e+09	 0.01595
W2R2	965.795521	0.000019	1	3.226e-02	1.111e+09	 0.01861
W2R3	966.780380	0.000028	1	7.588e-03	1.113e+09	 0.01859
W2R4	968.666854	0.000075	1	1.260e-02	1.128e+09	 0.01278
W2R5	971.076254	0.000057	1	1.379e-02	1.127e+09	 0.00978
W2R6	974.050800	0.000968	3	1.521e-02	1.120e+09	 0.00687
W2R7	977.704046	0.000975	3	2.064e-02	1.074e+09	 0.00692
W3P2	949.610442	0.000027	1	8.914e-04	1.052e+09	 0.02752
W3P3	951.671835	0.000010	1	1.267e-02	1.093e+09	 0.02158
W3P4	954.473989	0.000046	1	1.354e-02	1.110e+09	 0.01614
W3P5	957.818873	0.000028	1	1.421e-02	1.112e+09	 0.01217
W3P6	961.703553	0.000074	1	1.450e-02	1.110e+09	 0.00815
W3P7	966.128221	0.000952	3	1.389e-02	1.102e+09	 0.00407
W3Q1	947.421918	0.000004	1	2.744e-02	1.121e+09	 0.02200
W3Q2	948.615818	0.000018	1	2.747e-02	1.120e+09	 0.02071
W3Q3	950.397768	0.000018	1	2.750e-02	1.118e+09	 0.01879
W3Q4	952.757390	0.000064	1	2.756e-02	1.116e+09	 0.01628
W3Q5	955.680782	0.000931	3	2.763e-02	1.114e+09	 0.01321
W3Q6	959.151098	0.000938	3	2.771e-02	1.111e+09	 0.00962
W3Q7	963.154524	0.000946	3	2.780e-02	1.108e+09	 0.00555
W3R0	946.425564	0.000027	1	6.192e-02	1.052e+09	 0.03072
W3R1	946.384745	0.000009	1	1.287e-02	1.093e+09	 0.02688
W3R2	947.111647	0.000045	1	1.333e-02	1.110e+09	 0.02347
W3R3	948.419776	0.000027	1	1.280e-02	1.112e+09	 0.02142
W3R4	950.315182	0.000072	1	1.262e-02	1.110e+09	 0.01920
W3R5	952.804814	0.000926	3	1.327e-02	1.102e+09	 0.01676
W3R6	955.976242	0.000932	3	1.642e-02	1.054e+09	 0.01655
W3R7	959.110161	0.000938	3	4.187e-03	1.076e+09	 0.01241
W4P2	932.604706	0.000097	2a	4.773e-03	1.103e+09	 0.02612
W4P3	934.790049	0.000104	2a	7.090e-03	1.101e+09	 0.02397
W4P4	937.551752	0.000098	2b	8.366e-03	1.099e+09	 0.02115
W4P5	940.882924	0.000113	2b	8.975e-03	1.095e+09	 0.01779
W4P6	944.782026	0.000910	3	8.740e-03	1.085e+09	 0.01421
W4P7	949.333772	0.000919	3	5.529e-03	1.028e+09	 0.01297
W4Q1	930.577079	0.000096	2a	1.942e-02	1.105e+09	 0.02806
W4Q2	931.780857	0.000096	2a	1.945e-02	1.104e+09	 0.02672
W4Q3	933.577940	0.000111	2a	1.948e-02	1.102e+09	 0.02473
W4Q4	935.959236	0.000893	3	1.954e-02	1.100e+09	 0.02211
W4Q5	938.909303	0.000899	3	1.960e-02	1.098e+09	 0.01891
W4Q6	942.413893	0.000906	3	1.968e-02	1.096e+09	 0.01516
W4Q7	946.459631	0.000914	3	1.977e-02	1.093e+09	 0.01091
W4R0	929.532692	0.000096	2a	3.419e-02	1.103e+09	 0.02927
W4R1	929.688369	0.000103	2a	1.569e-02	1.101e+09	 0.02917
W4R2	930.447184	0.000096	2a	1.205e-02	1.099e+09	 0.02832
W4R3	931.811700	0.000111	2a	1.079e-02	1.095e+09	 0.02683
W4R4	933.789645	0.000889	3	1.077e-02	1.085e+09	 0.02500
W4R5	936.466463	0.000894	3	1.250e-02	1.028e+09	 0.02533
W4R6	939.112985	0.000899	3	3.004e-03	1.048e+09	 0.02187
W4R7	942.898625	0.000907	3	5.918e-03	1.075e+09	 0.01519
W5P2	917.369586	0.000858	3	2.948e-03	1.090e+09	 0.03075
W5P3	919.544627	0.000862	3	4.336e-03	1.087e+09	 0.02853
W5P4	922.305875	0.000867	3	5.016e-03	1.082e+09	 0.02576
W5P5	925.658771	0.000874	3	4.951e-03	1.068e+09	 0.02279
W5P6	929.696188	0.000881	3	2.653e-03	9.868e+08	 0.02290
W5P7	933.668545	0.000889	3	8.558e-03	1.031e+09	 0.01687
W5Q1	915.401186	0.000855	3	1.301e-02	1.090e+09	 0.03277
W5Q2	916.616749	0.000857	3	1.304e-02	1.090e+09	 0.03137
W5Q3	918.431103	0.000860	3	1.306e-02	1.088e+09	 0.02930
W5Q4	920.833885	0.000865	3	1.312e-02	1.087e+09	 0.02658
W5Q5	923.816716	0.000870	3	1.318e-02	1.085e+09	 0.02324
W5Q6	927.361447	0.000877	3	1.324e-02	1.082e+09	 0.01933
W5Q7	931.454887	0.000885	3	1.332e-02	1.080e+09	 0.01488
W5R0	914.397156	0.000853	3	2.424e-02	1.090e+09	 0.03383
W5R1	914.607489	0.000853	3	1.152e-02	1.087e+09	 0.03361
W5R2	915.429593	0.000855	3	9.093e-03	1.082e+09	 0.03277
W5R3	916.877365	0.000857	3	8.559e-03	1.068e+09	 0.03164
W5R4	919.050070	0.000861	3	9.297e-03	9.868e+08	 0.03342
W5R5	921.219603	0.000865	3	2.469e-03	1.031e+09	 0.02898
W5R6	924.496466	0.000872	3	4.262e-03	1.060e+09	 0.02298
W5R7	928.320649	0.000879	3	5.473e-03	1.047e+09	 0.01877
