# H2 B ^1\Sigma^+_u - X ^1\Sigma^+_g Lyman Transitions
#
# Catalogue of the most accurate and precise laboratory parameters for fitting molecular hydrogen (H_2) absorptions lines.
# Represented are all allowed Lyman H_2 transitions between the lowest 8 rotational levels in the ground and excited states with excited state vibrational quantum numbers up to v'=19.
#
# The first column provides a short-hand notation for the transition: letters denote a Lyman (L) line and the branch, where P, Q and R represent J' - J = -1, 0 and 1, respectively, for J and J' the ground state and excited state levels, respectively; the first integer is the excited state vibrational quantum number and the second is J.
# The second column gives the most precise reported laboratory wavelength and its 1-sigma uncertainty is given in the third column (both are in Angstroms)
#
# The fourth column provides the reference:
# 1 = Bailly, Salumbides, Vervloet, Ubachs (2009, Mol. Phys. 108, 827–846) for the excited state energy levels;
# with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 2 = Ubachs, Buning, Eikema, Reinhold (2007, J. Molecular Spectrosc., 241, 155); (a suffix "a" refers to directly measured wavelengths while "b" refers to wavelengths calculated from directly measured
# lines via combination differences); with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 3 = Abgrall, Roueff, Launay, Roncin, Subtil (1993, J. Mol. Spectrosc., 157, 512) for the excited state energy levels;
# with ground states from  Dabrowski (1984, Can. J. Phys. 62, 1639-1664)
#
# Note that wavelengths with reference 3 are much less precise than those from references 1 and 2.
#
# The fifth column gives the oscillator strengths which were calculated from the Einstein A coefficients given by Abgrall, Roueff, Launay, Roncin (1994, Canadian J. Phys., 72, 856).
# The sixth column gives the (natural) damping coefficients in seconds^{-1} which were calculated from the total transition probabilities (A_t) in Abgrall, Roueff, Drira (2000, Astron. Astrophys. Suppl., 141, 297).
#
# The final column gives the sensitivity coefficients calculated in Salumbides, Bagdonaite, Abgrall, Roueff, Ubachs (2015, MNRAS 450, 1237) which have estimated uncertainties of typically <5x10^{-4}.
#
#Trans  lambda_lab  	sig_lambda  	Ref  	f    		Gamma   	K
L3R5	1075.244950	0.000006	1	9.281e-03	1.500e+09	 0.00064
L3R6	1080.494754	0.000047	1	8.954e-03	1.488e+09	-0.00409
L3R7	1086.629417	0.000036	1	8.631e-03	1.475e+09	-0.00951
L4P1	1051.032452	0.000006	1	7.601e-03	1.450e+09	 0.01620
L4P2	1053.284206	0.000005	1	9.022e-03	1.448e+09	 0.01410
L4P3	1056.471371	0.000004	1	9.556e-03	1.445e+09	 0.01115
L4P4	1060.580962	0.000005	1	9.793e-03	1.440e+09	 0.00737
L4P5	1065.596573	0.000004	1	9.900e-03	1.434e+09	 0.00281
L4P6	1071.498782	0.000008	1	9.938e-03	1.426e+09	-0.00245
L4P7	1078.265772	0.000006	1	9.941e-03	1.417e+09	-0.00837
L4R0	1049.367383	0.000005	1	2.319e-02	1.448e+09	 0.01770
L4R1	1049.959704	0.000004	1	1.555e-02	1.445e+09	 0.01709
L4R2	1051.498508	0.000005	1	1.403e-02	1.440e+09	 0.01558
L4R3	1053.976049	0.000004	1	1.336e-02	1.434e+09	 0.01320
L4R4	1057.380697	0.000008	1	1.294e-02	1.426e+09	 0.00998
L4R5	1061.697417	0.000006	1	1.261e-02	1.417e+09	 0.00597
L4R6	1066.907947	0.000046	1	1.230e-02	1.407e+09	 0.00121
L4R7	1072.992113	0.001151	3	1.200e-02	1.395e+09	-0.00422
L5P1	1038.157045	0.000005	1	8.660e-03	1.372e+09	 0.02125
L5P2	1040.367198	0.000004	1	1.022e-02	1.371e+09	 0.01918
L5P3	1043.503088	0.000004	1	1.077e-02	1.368e+09	 0.01623
L5P4	1047.551777	0.000004	1	1.099e-02	1.364e+09	 0.01247
L5P5	1052.496922	0.000004	1	1.108e-02	1.358e+09	 0.00793
L5P6	1058.319111	0.000006	1	1.111e-02	1.351e+09	 0.00268
L5P7	1064.996510	0.000006	1	1.112e-02	1.342e+09	-0.00322
L5R0	1036.545680	0.000004	1	2.683e-02	1.371e+09	 0.02271
L5R1	1037.149822	0.000004	1	1.813e-02	1.368e+09	 0.02208
L5R2	1038.690175	0.000004	1	1.650e-02	1.364e+09	 0.02055
L5R3	1041.158830	0.000004	1	1.585e-02	1.358e+09	 0.01814
L5R4	1044.543969	0.000006	1	1.548e-02	1.351e+09	 0.01490
L5R5	1048.830372	0.000006	1	1.523e-02	1.342e+09	 0.01086
L5R6	1053.997227	0.001111	3	1.500e-02	1.333e+09	 0.00609
L5R7	1060.032840	0.001124	3	1.478e-02	1.321e+09	 0.00064
L6P1	1025.935182	0.000006	1	9.094e-03	1.302e+09	 0.02587
L6P2	1028.105872	0.000007	1	1.063e-02	1.301e+09	 0.02381
L6P3	1031.192671	0.000004	1	1.111e-02	1.298e+09	 0.02089
L6P4	1035.182754	0.000006	1	1.127e-02	1.294e+09	 0.01714
L6P5	1040.059729	0.000005	1	1.130e-02	1.288e+09	 0.01262
L6P6	1045.804317	0.000009	1	1.130e-02	1.282e+09	 0.00738
L6P7	1052.393356	0.000022	1	1.131e-02	1.274e+09	 0.00149
L6R0	1024.373738	0.000007	1	2.871e-02	1.301e+09	 0.02729
L6R1	1024.987977	0.000004	1	1.957e-02	1.298e+09	 0.02664
L6R2	1026.528319	0.000006	1	1.797e-02	1.294e+09	 0.02508
L6R3	1028.986606	0.000005	1	1.739e-02	1.288e+09	 0.02265
L6R4	1032.350964	0.000008	1	1.712e-02	1.282e+09	 0.01939
L6R5	1036.604738	0.000022	1	1.696e-02	1.274e+09	 0.01534
L6R6	1041.734746	0.000022	1	1.684e-02	1.265e+09	 0.01055
L6R7	1047.712623	0.001098	3	1.673e-02	1.255e+09	 0.00509
L7P1	1014.327129	0.000006	1	8.982e-03	1.237e+09	 0.03009
L7P2	1016.461133	0.000005	1	1.023e-02	1.236e+09	 0.02804
L7P3	1019.502138	0.000003	1	1.048e-02	1.233e+09	 0.02511
L7P4	1023.436791	0.000006	1	1.049e-02	1.230e+09	 0.02137
L7P5	1028.248573	0.000005	1	1.047e-02	1.224e+09	 0.01686
L7P6	1033.918232	0.000011	1	1.046e-02	1.218e+09	 0.01164
L7P7	1040.424334	0.000011	1	1.049e-02	1.211e+09	 0.00577
L7R0	1012.812914	0.000005	1	2.970e-02	1.236e+09	 0.03146
L7R1	1013.436916	0.000003	1	2.050e-02	1.233e+09	 0.03077
L7R2	1014.976840	0.000005	1	1.894e-02	1.230e+09	 0.02919
L7R3	1017.424211	0.000005	1	1.838e-02	1.224e+09	 0.02674
L7R4	1020.767027	0.000011	1	1.814e-02	1.218e+09	 0.02346
L7R5	1024.990173	0.000011	1	1.801e-02	1.211e+09	 0.01940
L7R6	1030.072132	0.001061	3	1.793e-02	1.203e+09	 0.01460
L7R7	1036.002109	0.001073	3	1.787e-02	1.193e+09	 0.00914
L8P1	1003.296509	0.000005	1	8.466e-03	1.178e+09	 0.03393
L8P2	1005.393083	0.000005	1	9.911e-03	1.177e+09	 0.03190
L8P3	1008.386073	0.000004	1	1.043e-02	1.174e+09	 0.02900
L8P4	1012.262340	0.000005	1	1.075e-02	1.171e+09	 0.02527
L8P5	1017.004189	0.000005	1	1.122e-02	1.167e+09	 0.02073
L8P6	1022.585975	0.000021	1	1.256e-02	1.162e+09	 0.01524
L8P7	1028.801292	0.001058	3	2.325e-02	1.166e+09	-0.00342
L8R0	1001.823741	0.000005	1	2.677e-02	1.177e+09	 0.03527
L8R1	1002.452009	0.000004	1	1.823e-02	1.174e+09	 0.03457
L8R2	1003.985374	0.000005	1	1.662e-02	1.171e+09	 0.03297
L8R3	1006.414052	0.000005	1	1.571e-02	1.167e+09	 0.03046
L8R4	1009.719684	0.000021	1	1.411e-02	1.162e+09	 0.02689
L8R5	1013.706734	0.001028	3	1.160e-03	1.166e+09	 0.01020
L8R6	1019.017516	0.001038	3	2.049e-02	1.145e+09	 0.01772
L8R7	1024.878516	0.001050	3	1.908e-02	1.136e+09	 0.01268
L9P1	992.809625	0.000004	1	7.699e-03	1.123e+09	 0.03740
L9P2	994.874023	0.000006	1	8.659e-03	1.122e+09	 0.03538
L9P3	997.827120	0.000003	1	8.761e-03	1.120e+09	 0.03248
L9P4	1001.655674	0.000005	1	8.691e-03	1.117e+09	 0.02877
L9P5	1006.343187	0.000004	1	8.633e-03	1.112e+09	 0.02428
L9P6	1011.870518	0.000005	1	8.645e-03	1.107e+09	 0.01909
L9P7	1018.216401	0.001037	3	8.758e-03	1.101e+09	 0.01324
L9R0	991.378851	0.000006	1	2.612e-02	1.122e+09	 0.03871
L9R1	992.016320	0.000003	1	1.826e-02	1.120e+09	 0.03798
L9R2	993.550560	0.000005	1	1.704e-02	1.117e+09	 0.03636
L9R3	995.972782	0.000004	1	1.669e-02	1.112e+09	 0.03388
L9R4	999.270799	0.000005	1	1.656e-02	1.107e+09	 0.03057
L9R5	1003.428615	0.001007	3	1.650e-02	1.101e+09	 0.02648
L9R6	1008.427530	0.001017	3	1.641e-02	1.093e+09	 0.02165
L9R7	1014.251244	0.001029	3	1.615e-02	1.086e+09	 0.01614
L10P1	982.835297	0.000006	1	6.811e-03	1.073e+09	 0.04054
L10P2	984.864022	0.000008	1	8.171e-03	1.072e+09	 0.03854
L10P3	987.768822	0.000004	1	8.928e-03	1.070e+09	 0.03564
L10P4	991.533845	0.000006	1	9.919e-03	1.068e+09	 0.03182
L10P5	996.124699	0.000006	1	1.274e-02	1.068e+09	 0.02652
L10P6	1001.910342	0.001004	3	2.628e-04	1.088e+09	 0.00962
L10P7	1007.986377	0.001016	3	3.740e-03	1.052e+09	 0.01535
L10R0	981.438709	0.000008	1	2.069e-02	1.072e+09	 0.04182
L10R1	982.074246	0.000004	1	1.364e-02	1.070e+09	 0.04106
L10R2	983.591060	0.000006	1	1.157e-02	1.068e+09	 0.03931
L10R3	985.962765	0.000006	1	8.276e-03	1.068e+09	 0.03600
L10R4	989.557105	0.000979	3	3.108e-02	1.088e+09	 0.02111
L10R5	993.492130	0.000987	3	2.016e-02	1.052e+09	 0.02843
L10R6	998.426978	0.000997	3	1.788e-02	1.044e+09	 0.02436
L10R7	1004.195630	0.001008	3	1.712e-02	1.036e+09	 0.01904
L11P1	973.344572	0.000006	1	5.899e-03	1.025e+09	 0.04337
L11P2	975.345768	0.000008	1	6.644e-03	1.025e+09	 0.04138
L11P3	978.218029	0.000004	1	6.735e-03	1.023e+09	 0.03851
L11P4	981.948433	0.000003	1	6.708e-03	1.020e+09	 0.03482
L11P5	986.520720	0.000004	1	6.715e-03	1.016e+09	 0.03036
L11P6	991.915722	0.000020	1	6.831e-03	1.012e+09	 0.02519
L11P7	998.111851	0.000071	2b	7.129e-03	1.006e+09	 0.01935
L11R0	971.986229	0.000008	1	2.004e-02	1.025e+09	 0.04462
L11R1	972.632731	0.000004	1	1.405e-02	1.023e+09	 0.04387
L11R2	974.157872	0.000003	1	1.315e-02	1.020e+09	 0.04222
L11R3	976.552810	0.000004	1	1.290e-02	1.016e+09	 0.03971
L11R4	979.805079	0.000019	1	1.278e-02	1.012e+09	 0.03637
L11R5	983.898956	0.000069	1	1.262e-02	1.006e+09	 0.03225
L11R6	988.812183	0.000978	3	1.221e-02	1.001e+09	 0.02736
L11R7	994.517721	0.000989	3	1.086e-02	9.967e+08	 0.02161
L12P1	964.310524	0.000006	1	5.028e-03	9.817e+08	 0.04590
L12P2	966.275431	0.000009	1	6.496e-03	9.815e+08	 0.04385
L12P3	969.089766	0.000004	1	8.160e-03	9.826e+08	 0.04066
L12P4	972.690633	0.000029	1	1.356e-02	1.002e+09	 0.03363
L12P5	977.463604	0.000005	1	3.640e-04	9.943e+08	 0.02791
L12P6	982.726680	0.000010	1	2.574e-03	9.716e+08	 0.02673
L12P7	988.838347	0.000090	2b	3.580e-03	9.640e+08	 0.02154
L12R0	962.977981	0.000009	1	1.316e-02	9.815e+08	 0.04706
L12R1	963.607929	0.000004	1	7.074e-03	9.826e+08	 0.04595
L12R2	965.045706	0.000028	1	1.583e-03	1.002e+09	 0.04096
L12R3	967.676975	0.000005	1	2.276e-02	9.943e+08	 0.03719
L12R4	970.838038	0.000010	1	1.604e-02	9.716e+08	 0.03780
L12R5	974.886485	0.000088	1	1.423e-02	9.640e+08	 0.03429
L12R6	979.760020	0.000960	3	1.352e-02	9.575e+08	 0.02964
L12R7	985.441870	0.000971	3	1.317e-02	9.508e+08	 0.02422
L13P1	955.708153	0.000010	1	4.228e-03	9.410e+08	 0.04814
L13P2	957.652225	0.000010	1	4.808e-03	9.402e+08	 0.04618
L13P3	960.450565	0.000005	1	4.932e-03	9.386e+08	 0.04335
L13P4	964.090778	0.000019	1	4.985e-03	9.365e+08	 0.03968
L13P5	968.556582	0.000007	1	5.096e-03	9.332e+08	 0.03524
L13P6	973.828319	0.000057	1	5.363e-03	9.301e+08	 0.03007
