 Malec Catalogue 2010 see vizier.
   63  L      4 P       7  1089.706500  0.001200 3    0.0099414900   1.4e+09  -0.00891760
   64  L      4 R       0  1049.367383  0.000004 1    0.0231929000   1.4e+09   0.01706801
   65  L      4 R       1  1049.959704  0.000003 1    0.0155494000   1.4e+09   0.01646751
   66  L      4 R       2  1051.498512  0.000004 1    0.0140303000   1.4e+09   0.01497399
   67  L      4 R       3  1053.976051  0.000004 1    0.0133569000   1.4e+09   0.01261209
   68  L      4 R       4  1057.380706  0.000007 1    0.0129372000   1.4e+09   0.00941815
   69  L      4 R       5  1061.697413  0.000005 1    0.0126059000   1.4e+09   0.00543822
   70  L      4 R       6  1066.907971  0.000034 1    0.0123026000   1.4e+09   0.00072530
   71  L      5 P       1  1038.157044  0.000004 1    0.0086605700   1.4e+09   0.02064400
   72  L      5 P       2  1040.367202  0.000003 1    0.0102228000   1.4e+09   0.01856997
   73  L      5 P       3  1043.503090  0.000004 1    0.0107672000   1.4e+09   0.01563663
   74  L      5 P       4  1047.551786  0.000004 1    0.0109902000   1.4e+09   0.01188511
   75  L      5 P       5  1052.496918  0.000004 1    0.0110794000   1.4e+09   0.00736695
   76  L      5 P       6  1058.319102  0.000009 1    0.0111122000   1.4e+09   0.00214153
   77  L      5 P       7  1076.155600  0.001200 3    0.0111219000   1.3e+09  -0.00372739
   78  L      5 R       0  1036.545680  0.000002 1    0.0268337000   1.4e+09   0.02211196
   79  L      5 R       1  1037.149822  0.000003 1    0.0181342000   1.4e+09   0.02148875
   80  L      5 R       2  1038.690179  0.000003 1    0.0165030000   1.4e+09   0.01997239
   81  L      5 R       3  1041.158832  0.000004 1    0.0158464000   1.4e+09   0.01758824
   82  L      5 R       4  1044.543977  0.000005 1    0.0154839000   1.4e+09   0.01437358
   83  L      5 R       5  1048.830369  0.000005 1    0.0152277000   1.3e+09   0.01037564
   84  L      5 R       6  1053.998700  0.001200 3    0.0150045000   1.3e+09   0.00564897
   85  L      6 P       1  1025.935181  0.000006 1    0.0090943000   1.3e+09   0.02529614
   86  L      6 P       2  1028.105875  0.000007 1    0.0106298000   1.3e+09   0.02324105
   87  L      6 P       3  1031.192672  0.000004 1    0.0111102000   1.3e+09   0.02032577
   88  L      6 P       4  1035.182762  0.000005 1    0.0112657000   1.3e+09   0.01659124
