H2j1 L18-0P1    918.41364 1.610e-03 3.02e+08 
H2j1 L18-0R1    917.92131 4.421e-03 3.06e+08 
H2j1 W5-0Q1     915.39917 1.307e-02 1.09e+09 
H2j1 W5-0R1     914.60456 1.152e-02 1.08e+09 
H2j1 L19-0P1    911.96775 1.318e-03 2.73e+08 
H2j1 L19-0R1    911.47898 2.491e-03 2.77e+08 
H2j1 L20-0P1    905.82254 1.078e-03 2.62e+08 
H2j1 L20-0R1    905.37148 2.745e-03 2.65e+08 
H2j1 W6-0Q1     901.76635 8.497e-03 1.08e+09 
H2j1 W6-0R1     901.06252 8.196e-03 1.06e+09 
H2j1 L21-0P1    899.96445 8.783e-04 2.50e+08 
H2j1 L21-0R1    899.50869 1.233e-03 2.65e+08 
H2j1 L22-0P1    894.38238 7.195e-04 2.36e+08 
H2j1 L22-0R1    893.97062 1.737e-03 2.37e+08 
H2j1 W7-0Q1     889.58007 5.481e-03 1.07e+09 
H2j1 L23-0P1    889.06591 5.886e-04 2.25e+08 
H2j1 W7-0R1     889.01746 6.260e-03 8.91e+08 
H2j1 L23-0R1    888.58243 2.525e-06 3.98e+08 
H2j1 L24-0P1    884.00525 4.842e-04 2.07e+08 
H2j1 L24-0R1    883.62875 1.108e-03 2.06e+08 
H2j1 L25-0P1    879.19431 3.979e-04 1.92e+08 
H2j1 L25-0R1    878.87518 1.816e-03 2.37e+08 
H2j1 W8-0Q1     878.77370 3.543e-03 1.02e+09 
H2j1 W8-0R1     878.15487 2.331e-03 9.73e+08 
H2j1 L26-0P1    874.62741 3.280e-04 1.75e+08 
H2j1 L26-0R1    874.28560 7.124e-04 1.75e+08 
H2j1 L27-0P1    870.30308 2.703e-04 1.62e+08 
H2j1 L27-0R1    869.99870 9.135e-04 1.73e+08 
H2j1 W9-0Q1     869.31168 2.130e-03 1.00e+09 
H2j1 W9-0R1     868.78294 1.824e-03 9.80e+08 
H2j1 L28-0P1    866.22160 2.216e-04 1.49e+08 
H2j1 L28-0R1    865.91407 4.590e-04 1.51e+08 
H2j1 L29-0P1    862.38939 1.840e-04 1.38e+08 
H2j1 L29-0R1    862.11579 5.646e-04 1.43e+08 
H2j1 W10-0Q1    861.19626 1.490e-03 6.56e+08 
H2j1 W10-0R1    860.74268 1.251e-03 6.33e+08 
H2j1 L30-0P1    858.81878 1.511e-04 1.27e+08 
H2j1 L30-0R1    858.54891 3.002e-04 1.29e+08 
H2j1 L31-0P1    855.53372 1.240e-04 1.16e+08 
H2j1 L31-0R1    855.29883 3.747e-04 1.21e+08 
H2j1 W11-0Q1    854.47424 9.501e-04 6.27e+08 
H2j1 W11-0R1    854.09525 8.075e-04 6.00e+08 
H2j1 L32-0P1    852.57161 9.880e-05 1.03e+08 
H2j1 L32-0R1    852.34779 1.942e-04 1.04e+08 
H2j1 L33-0P1    849.99465 7.618e-05 8.73e+07 
H2j1 L33-0R1    849.81262 2.328e-04 8.98e+07 
H2j1 W12-0Q1    849.26137 5.828e-04 4.12e+08 
H2j1 W12-0R1    848.96605 5.277e-04 4.29e+08 
H2j1 L34-0P1    847.91104 5.389e-05 6.64e+07 
H2j1 L34-0R1    847.76009 1.047e-04 6.66e+07 
H2j1 L35-0P1    846.49205 3.087e-05 3.77e+07 
H2j1 L35-0R1    846.40106 7.643e-05 3.67e+07 
H2j1 L36-0P1    845.87770 1.545e-05 1.15e+07 
H2j1 L36-0R1    845.85337 5.309e-05 1.25e+07 
H2j1 W13-0Q1    845.80315 2.831e-04 2.20e+08 
H2j1 L37-0P1    845.70101 3.753e-07 4.65e+06 
H2j1 L37-0R1    845.68313 2.019e-05 1.82e+07 
H2j1 W13-0R1    845.61812 1.787e-04 2.23e+08 
H2j2 L0-0P2     1112.49505 6.913e-04 1.86e+09 
H2j2 L0-0R2     1110.11916 9.312e-04 1.85e+09 
H2j2 L1-0P2     1096.43641 2.368e-03 1.74e+09 
H2j2 L1-0R2     1094.24179 3.317e-03 1.73e+09 
H2j2 L2-0P2     1081.26308 4.701e-03 1.63e+09 
H2j2 L2-0R2     1079.22237 6.820e-03 1.62e+09 
H2j2 L3-0P2     1066.89734 7.096e-03 1.53e+09 
H2j2 L3-0R2     1064.99142 1.064e-02 1.53e+09 
H2j2 L4-0P2     1053.28084 9.021e-03 1.45e+09 
H2j2 L4-0R2     1051.49508 1.404e-02 1.44e+09 
H2j2 L5-0P2     1040.36383 1.022e-02 1.35e+09 
H2j2 L5-0R2     1038.68661 1.651e-02 1.33e+09 
H2j2 L6-0P2     1028.10236 1.065e-02 1.26e+09 
H2j2 L6-0R2     1026.52468 1.796e-02 1.23e+09 
H2j2 L7-0P2     1016.45777 1.022e-02 9.82e+08 
H2j2 L7-0R2     1014.97329 1.894e-02 9.94e+08 
H2j2 W0-0P2     1012.16716 5.511e-03 1.18e+09 
H2j2 W0-0Q2     1010.93631 2.375e-02 1.18e+09 
H2j2 W0-0R2     1009.02217 1.564e-02 1.18e+09 
H2j2 L8-0P2     1005.39000 9.911e-03 8.09e+08 
H2j2 L8-0R2     1003.98209 1.661e-02 7.46e+08 
H2j2 L9-0P2     994.87094 8.663e-03 6.59e+08 
H2j2 L9-0R2     993.54741 1.705e-02 6.53e+08 
H2j2 W1-0P2     989.08427 8.105e-03 1.16e+09 
H2j2 W1-0Q2     987.97067 3.644e-02 1.16e+09 
H2j2 W1-0R2     986.23949 2.613e-02 1.15e+09 
H2j2 L10-0P2    984.86121 8.175e-03 6.32e+08 
H2j2 L10-0R2    983.58834 1.157e-02 6.30e+08 
H2j2 L11-0P2    975.34380 6.640e-03 6.07e+08 
H2j2 L11-0R2    974.15518 1.315e-02 5.85e+08 
H2j2 W2-0P2     968.29033 7.228e-03 1.14e+09 
H2j2 W2-0Q2     967.27674 3.507e-02 1.14e+09 
H2j2 L12-0P2    966.27367 6.501e-03 4.71e+08 
H2j2 W2-0R2     965.78979 3.230e-02 1.04e+09 
H2j2 L12-0R2    965.04464 1.583e-03 5.70e+08 
H2j2 L13-0P2    957.65031 4.809e-03 4.61e+08 
H2j2 L13-0R2    956.57851 9.219e-03 4.63e+08 
H2j2 W3-0P2     949.60656 8.923e-04 9.03e+08 
H2j2 L14-0P2    949.35162 9.323e-03 6.37e+08 
H2j2 W3-0Q2     948.61261 2.752e-02 1.12e+09 
H2j2 L14-0R2    948.46919 1.295e-02 4.55e+08 
H2j2 W3-0R2     947.10889 1.333e-02 1.09e+09 
H2j2 L15-0P2    941.59786 3.366e-03 3.82e+08 
H2j2 L15-0R2    940.62537 6.035e-03 3.85e+08 
H2j2 L16-0P2    934.14336 2.237e-03 3.76e+08 
H2j2 L16-0R2    933.23845 6.891e-03 3.80e+08 
H2j2 W4-0P2     932.60171 4.772e-03 1.10e+09 
H2j2 W4-0Q2     931.77836 1.939e-02 1.10e+09 
H2j2 W4-0R2     930.44427 1.205e-02 1.09e+09 
H2j2 L17-0P2    927.01904 2.327e-03 3.16e+08 
