obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
2666.80651	5.9e+07	8.4e-02	D	12147.7713	49645.8058		
2672.60107	1.0e+08	7.1e-02	D	12147.7713	49564.5038		
2740.90602	1.1e+07	1.7e-02	D	12147.7713	48632.0590		
2850.67204	9.2e+07	1.5e-01	D	12147.7713	47227.2186		
