obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
994.224	5.9e+07	1.3e-02	D+	3117.4877	103698.515		
1108.511	1.9e+07	3.5e-03	D	3117.4877	93328.553		
1119.370	5.e+07	4.6e-03	D	3117.4877	92453.365		
1120.559	2.9e+07	5.e-03	D	3117.4877	92358.625		
1135.303	4.6e+07	4.4e-03	D	3117.4877	91199.776		
1139.199	1.2e+07	2.3e-03	D	3117.4877	90898.878		
1200.889	2.3e+07	2.5e-03	D	3117.4877	86388.786		
1442.746	1.8e+07	2.8e-03	D	3117.4877	72429.675		
1558.6927	4.6e+07	1.7e-02	D+	3117.4877	67273.833		
1565.357	5.e+06	3.0e-03	D	3117.4877	67000.530		
1574.9229	1.2e+08	4.5e-02	D+	3117.4877	66612.659		
1577.1667	1.7e+07	9.e-03	D+	3117.4877	66522.310		
1588.2904	4.8e+07	2.7e-02	D+	3117.4877	66078.272		
1640.1530	5.9e+07	3.6e-02	D+	3117.4877	64087.408		
1654.4785	7.1e+07	1.5e-02	D+	3117.4877	63559.498		
1670.9908	1.4e+07	6.e-03	D	3117.4877	62962.215		
1674.7169	9.e+07	1.9e-02	D+	3117.4877	62829.071		
1691.2737	2.6e+07	1.1e-02	D+	3117.4877	62244.515		
1693.9372	8.e+06	5.e-03	D	3117.4877	62151.554		
1724.8539	2.5e+07	1.6e-02	D+	3117.4877	61093.406		
1726.39268	3.2e+07	2.2e-02	D+	3117.4877	61041.734		
2371.22264	1.73e+07	1.46e-02	B	3117.4877	45289.8248		
2375.91871	9.8e+07	4.2e-02	B	3117.4877	45206.4704		
2383.08462	3.2e+06	4.1e-03	C+	3117.4877	45079.9019		
2385.11478	3.2e+07	2.75e-02	B	3117.4877	45044.1916		
2543.079	4.e+05	1.9e-04	E	3117.4877	42439.8511		
