obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
929.612	2.8e+07	5.e-03	D	667.6829	108239.375		
930.023	1.3e+08	1.1e-02	E	667.6829	108191.894		
930.554	5.e+07	6.e-03	D	667.6829	108130.542		
932.670	3.8e+07	7.e-03	D	667.6829	107886.868		
945.086	4.1e+07	7.e-03	D	667.6829	106478.067		
1062.747	3.1e+07	7.0e-03	D+	667.6829	94763.218		
1063.020	1.2e+08	1.4e-02	D+	667.6829	94739.136		
1063.626	1.6e+07	2.8e-03	D	667.6829	94685.083		
1069.017	1.5e+07	2.5e-03	D	667.6829	94211.383		
1071.582	1.1e+08	2.6e-02	D+	667.6829	93987.454		
1073.277	4.1e+07	5.e-03	D	667.6829	93840.405		
1073.383	5.8e+07	1.0e-02	D+	667.6829	93830.961		
1093.056	3.9e+07	9.e-03	D+	667.6829	92154.154		
1094.677	4.8e+07	9.e-03	D+	667.6829	92018.727		
1096.783	8.e+07	1.0e-02	D+	667.6829	91843.485		
1100.017	7.4e+07	1.3e-02	D+	667.6829	91575.149		
1104.968	7.e+06	1.8e-03	D	667.6829	91167.936		
1124.120	1.1e+08	1.4e-02	D+	667.6829	89625.951		
1126.417	1.3e+08	2.5e-02	D+	667.6829	89444.455		
1127.859	2.8e+07	3.5e-03	D	667.6829	89331.199		
1130.442	3.1e+07	8.e-03	D+	667.6829	89128.569		
1130.560	1.4e+07	2.7e-03	D	667.6829	89119.452		
1142.311	4.7e+07	1.2e-02	D+	667.6829	88209.461		
1144.268	1.0e+08	1.9e-02	D+	667.6829	88059.304		
1145.508	2.0e+07	2.6e-03	D	667.6829	87965.137		
1150.278	4.3e+07	6.e-03	D	667.6829	87602.335		
1150.677	1.1e+08	2.1e-02	D+	667.6829	87572.959		
1151.136	2.2e+08	5.9e-02	D+	667.6829	87537.646		
1271.234	5.e+06	1.7e-03	D	667.6829	79331.361		
1271.974	5.7e+07	1.4e-02	D+	667.6829	79284.919		
1272.617	2.7e+07	4.4e-03	D+	667.6829	79245.926		
1272.656	1.8e+07	2.9e-03	D+	667.6829	79243.462		
1625.9120	1.02e+07	5.39e-03	C+	667.6829	62171.624		
1629.15914	8.66e+07	3.45e-02	A	667.6829	62049.042		
1631.12855	6.93e+07	1.84e-02	A	667.6829	61974.931		
2251.63283	3.19e+06	2.43e-03	C+	667.6829	45079.9019		
2266.6951	1.0e+06	8.e-04	D	667.6829	44784.7859		
2268.28692	3.69e+06	3.80e-03	C+	667.6829	44753.8179		
2328.10986	6.6e+07	3.55e-02	B+	667.6829	43620.9842		
2349.02121	1.15e+08	9.5e-02	C+	667.6829	43238.6066		
2381.48759	3.10e+07	3.51e-02	B	667.6829	42658.2444		
2396.14868	2.67e+07	1.53e-02	B+	667.6829	42401.3198		
2399.97148	1.39e+08	1.20e-01	B+	667.6829	42334.8444		
2405.61724	1.96e+08	2.27e-01	B+	667.6829	42237.0575		
2607.86564	1.73e+08	1.17e-01	B	667.6829	39013.2160		
2618.39841	4.88e+07	5.01e-02	B	667.6829	38858.9696		
2632.10746	6.29e+07	8.70e-02	B+	667.6829	38660.0537		
513009.58	7.19e-04		B	667.6829	862.6118	M1	
