obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
515.12	4.66e+08	1.85e-02	B+	71287.54	265417.95		
815.05	1.18e+09	1.18e-01	A	71287.54	193978.89		
1122.49	2.14e+09	8.07e-01	A	71287.54	160375.60		
1402.77	8.63e+08	2.55e-01	A+	0.00	71287.54		
