obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
2082.563	2.0e+06	1.6e-03	D	58631.623	106649.452		
2428.545	9.e+06	6.2e-03	D+	58631.623	99808.549		
2431.5762	3.9e+07	3.5e-02	D+	58631.623	99757.211		
2437.73527	2.20e+08	1.96e-01	B+	58631.623	99653.257		
2438.795	1.3e+07	9.e-03	D+	58631.623	99635.420		
2483.4250	2.23e+08	1.65e-01	B+	58631.623	98898.591		
2522.2450	2.67e+08	3.05e-01	B+	58631.623	98278.852		
2549.7373	1.5e+07	1.5e-02	D+	58631.623	97851.332		
2650.762	1.8e+06	1.5e-03	D	58631.623	96356.551		
2958.981	1.5e+06	1.9e-03	D+	58631.623	92426.967		
2981.517	1.6e+06	2.1e-03	D+	58631.623	92171.690		
6519.69	3.4e+04	2.6e-04	D	58631.623	73969.761		
9111.685	2.2e+04	2.2e-04	D	58631.623	69606.567		
