obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
945.33418	1.14e+09	1.5e-01	C+	16.4167130	105799.119		
1106.446	5.e+05	9.e-05	E	16.4167130	90395.9		
1106.446	4.e+06	2.6e-04	E	16.4167130	90395.9		
1106.516	2.0e+06	6.e-04	E	16.4167130	90391.2		
1107.252	1.5e+06	4.e-04	E	16.4167130	90332.9		
1107.320	9.e+05	1.6e-04	E	16.4167130	90325		
1107.320	2.7e+06	1.7e-04	E	16.4167130	90325		
1108.170	5.e+06	1.4e-03	E	16.4167130	90255.1		
1108.483	4.e+06	8.e-04	E	16.4167130	90230.		
1108.483	1.2e+07	7.e-04	E	16.4167130	90230.		
1109.262	1.0e+07	3.2e-03	E	16.4167130	90166.4		
1109.858	2.4e+06	5.e-04	E	16.4167130	90118.5		
1109.858	7.e+06	4.e-04	E	16.4167130	90118.0		
1110.677	7.e+06	2.0e-03	E	16.4167130	90051.6		
1111.612	9.e+06	5.e-04	E	16.4167130	89975.9		
1111.612	2.8e+06	5.e-04	E	16.4167130	89975.9		
1111.727	2.2e+06	7.e-04	E	16.4167130	89966.69		
1112.484	8.e+06	2.3e-03	E	16.4167130	89905.4		
1113.967	1.1e+07	7.e-04	E	16.4167130	89785.7		
1113.967	3.4e+06	6.e-04	E	16.4167130	89783.4		
1114.130	3.3e+06	1.0e-03	E	16.4167130	89772.89		
1114.882	9.e+06	2.9e-03	E	16.4167130	89713.2		
1117.158	1.4e+07	9.e-04	E	16.4167130	89529.3		
1117.158	4.e+06	8.e-04	E	16.4167130	89527.1		
1117.346	5.e+06	1.7e-03	E	16.4167130	89510.46		
1118.166	1.2e+07	3.6e-03	E	16.4167130	89448.6		
1121.670	3.5e+06	6.6e-04	C+	16.4167130	89170.01		
1121.670	1.10e+07	6.9e-04	C+	16.4167130	89169.2		
1121.70	4.3e+05	1.3e-04	C	16.4167130	89162.6		
1121.931	3.6e+06	6.8e-04	C+	16.4167130	89149.35		
1122.015	8.5e+06	2.7e-03	C+	16.4167130	89142.68		
1122.652	2.7e+06	5.2e-04	C+	16.4167130	89091.25		
1122.777	4.0e+05	7.5e-05	C	16.4167130	89085.39		
1122.777	3.8e+06	2.4e-04	C+	16.4167130	89081.64		
1122.777	7.3e+06	2.3e-03	C+	16.4167130	89081.3		
1123.101	3.8e+05	1.2e-04	C	16.4167130	89054.17		
1128.261	1.55e+07	9.9e-04	B	16.4167130	88648.4		
1128.261	5.0e+06	9.5e-04	C+	16.4167130	88646.9		
1128.376	7.e+04	2.3e-05	D	16.4167130	88639.1		
1128.376	9.6e+05	1.8e-04	C	16.4167130	88638.99		
1128.689	4.8e+06	9.1e-04	C+	16.4167130	88615.02		
1128.824	1.61e+07	5.1e-03	B	16.4167130	88604.76		
1129.080	9.9e+05	3.2e-04	C	16.4167130	88584.28		
1129.404	4.9e+06	9.3e-04	C+	16.4167130	88558.62		
1129.598	6.4e+06	4.1e-04	C+	16.4167130	88543.78		
1129.598	7.3e+06	2.3e-03	C+	16.4167130	88543.5		
1130.162	4.8e+05	1.5e-04	C	16.4167130	88498.63		
1138.580	2.31e+07	1.50e-03	B	16.4167130	87845.1		
1138.580	7.3e+06	1.4e-03	C+	16.4167130	87843.93		
1138.768	1.9e+05	6.0e-05	C	16.4167130	87832.568		
1138.768	9.9e+05	1.9e-04	C	16.4167130	87830.18		
1139.301	6.2e+06	1.21e-03	C+	16.4167130	87789.646		
1139.525	2.7e+07	8.8e-03	B	16.4167130	87773.113		
1139.792	4.6e+06	1.5e-03	C+	16.4167130	87753.763		
1140.011	9.5e+06	1.8e-03	C+	16.4167130	87735.33		
1140.241	1.5e+06	2.9e-04	C+	16.4167130	87718.583		
1140.350	1.15e+07	7.5e-04	B	16.4167130	87711.39		
1140.350	6.4e+06	2.1e-03	C+	16.4167130	87708.22		
1141.322	4.5e+05	1.5e-04	C	16.4167130	87633.77		
1155.993	3.7e+07	2.50e-03	B	16.4167130	86523.19		
1155.993	1.14e+07	2.28e-03	B	16.4167130	86519.506		
1156.186	2.4e+06	8.0e-04	C+	16.4167130	86506.7138		
1157.397	7.5e+06	1.5e-03	C+	16.4167130	86416.575		
1157.771	2.62e+07	8.8e-03	B+	16.4167130	86389.425		
1158.030	3.1e+07	1.04e-02	B	16.4167130	86369.622		
1158.108	1.98e+07	4.0e-03	B+	16.4167130	86362.54		
1158.536	3.4e+06	6.8e-04	C+	16.4167130	86331.651		
1158.698	2.19e+07	1.47e-03	B	16.4167130	86321.97		
1158.698	5.1e+06	1.7e-03	C+	16.4167130	86317.69		
1160.505	3.3e+05	1.1e-04	C	16.4167130	86185.2332		
1188.995	7.2e+07	5.1e-03	B	16.4167130	84121.2260		
1189.060	2.01e+07	4.3e-03	B	16.4167130	84116.1152		
1189.248	1.09e+07	3.9e-03	B	16.4167130	84103.1238		
1190.244	4.8e+05	1.02e-04	C+	16.4167130	84032.1471		
1192.449	7.6e+06	1.6e-03	C	16.4167130	83877.305		
1193.020	7.9e+07	2.81e-02	B+	16.4167130	83838.0728		
1193.249	4.3e+07	9.2e-03	B+	16.4167130	83820.1576		
1193.668	2.54e+07	9.0e-03	A	16.4167130	83791.0880		
1194.220	8.3e+06	1.78e-03	A	16.4167130	83752.4388		
1194.300	4.1e+06	1.46e-03	B+	16.4167130	83747.43248		
1194.404	4.40e+07	3.14e-03	A	16.4167130	83740.0964		
1197.870	2.0e+05	7.3e-05	C	16.4167130	83497.58690		
1260.927	1.76e+08	1.40e-02	B	16.4167130	79323.1883		
1260.996	4.6e+07	1.08e-02	B	16.4167130	79318.8093		
1261.121	3.9e+07	1.53e-02	B	16.4167130	79310.86822		
1270.408	2.1e+05	5.2e-05	C	16.4167130	78731.2956		
1276.754	9.4e+06	2.3e-03	C+	16.4167130	78340.29782		
1277.285	1.70e+08	6.93e-02	A	16.4167130	78307.64625		
1277.517	9.2e+07	2.26e-02	A	16.4167130	78293.51263		
1279.057	4.0e+06	1.6e-03	D	16.4167130	78199.09144		
1279.890	3.43e+07	1.40e-02	B+	16.4167130	78148.10824		
1280.410	1.87e+07	4.6e-03	B+	16.4167130	78116.77336		
1280.595	8.8e+07	7.2e-03	B+	16.4167130	78105.00058		
1287.609	1.49e+05	6.2e-05	B	16.4167130	77679.83311		
1329.0861	2.22e+08	1.96e-02	B	16.4167130	75256.1696		
1329.0999	5.4e+07	2.38e-02	B	16.4167130	75255.29373		
1329.1233	5.6e+07	1.47e-02	B	16.4167130	75254.0017		
1560.68148	8.8e+07	5.37e-02	A	16.4167130	64090.99351		
1560.70782	4.89e+07	1.79e-02	A	16.4167130	64089.8990		
1613.809	2.8e+04	1.09e-05	B	16.4167130	61981.83211		
1656.26674	8.7e+07	5.98e-02	A	16.4167130	60393.1693		
1657.37863	8.7e+07	3.57e-02	A	16.4167130	60352.6584		
1657.90661	3.47e+08	4.77e-02	A	16.4167130	60333.4476		
2965.7119	9.e+00	1.9e-08	D	16.4167130	33735.121		
4622.8639	2.3e-03	2.5e-12	C+	16.4167130	21648.030	M1	
9827.00	7.3e-05	1.8e-12	C+	16.4167130	10192.657	M1	
3704150.44	2.65e-07	9.09e-10	A	16.4167130	43.4134567	M1	
6091353.36	7.93e-08	1.32e-09	A	0.0000000	16.4167130	M1	
