obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
1162.340	3.3e+07	7.e-03	D	8846.7837	94880.585		
1173.920	2.5e+07	5.e-03	D	8846.7837	94031.370		
1183.688	3.8e+07	1.6e-02	D	8846.7837	93328.553		
1197.434	1.4e+07	6.e-03	D	8846.7837	92358.625		
1214.150	2.0e+07	9.e-03	D	8846.7837	91208.892		
1578.133	1.0e+07	3.6e-03	D	8846.7837	72212.989		
1650.7035	1.4e+08	5.6e-02	D+	8846.7837	69427.014		
1654.1133	1.4e+07	1.1e-02	D	8846.7837	69302.086		
1830.885	3.4e+06	3.4e-03	D	8846.7837	63465.134		
2578.69349	1.2e+08	1.2e-01	D+	8846.7837	47626.110		
2594.50339	1.63e+07	3.3e-02	B	8846.7837	47389.809		
2744.00802	1.97e+08	4.5e-01	B+	8846.7837	45289.8248		
2750.29874	1.16e+08	1.32e-01	B	8846.7837	45206.4704		
2762.62867	1.38e+07	3.2e-02	B	8846.7837	45044.1916		
2976.802	9.e+05	1.2e-03	E	8846.7837	42439.8511		
2980.2227	1.6e+06	4.3e-03	C	8846.7837	42401.3198		
3304.417	6.5e+04	1.1e-04	C	8846.7837	39109.3161		
3314.950	1.4e+04	5.e-05	E	8846.7837	39013.2160		
