obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
1243.140	2.0e+06	6.e-04	E	10192.657	90634.5		
1243.518	2.3e+06	7.e-04	E	10192.657	90609.6		
1243.997	2.8e+06	9.e-04	E	10192.657	90578.67		
1244.127	9.e+05	2.9e-04	E	10192.657	90570.30		
1244.510	5.e+05	1.8e-04	E	10192.657	90545.6		
1244.540	3.7e+06	1.2e-03	E	10192.657	90543.9		
1244.996	2.0e+06	6.e-04	E	10192.657	90514.2		
1245.174	3.3e+06	1.1e-03	E	10192.657	90502.72		
1245.532	1.7e+06	6.e-04	E	10192.657	90479.63		
1245.943	5.e+06	1.7e-03	E	10192.657	90453.15		
1246.173	1.8e+06	6.e-04	E	10192.657	90438.32		
1246.863	9.e+06	2.8e-03	E	10192.657	90393.93		
1246.940	1.6e+06	5.e-04	E	10192.657	90389.0		
1247.862	1.5e+07	5.e-03	E	10192.657	90329.68		
1248.003	4.e+06	1.4e-03	E	10192.657	90320.66		
1249.002	1.3e+07	4.e-03	E	10192.657	90256.58		
1249.404	1.0e+08	3.3e-02	E	10192.657	90230.83		
1250.423	5.e+07	1.6e-02	E	10192.657	90165.6		
1251.176	1.4e+07	5.e-03	E	10192.657	90117.5		
1252.209	8.e+06	2.6e-03	E	10192.657	90051.53		
1253.467	1.3e+07	4.e-03	E	10192.657	89971.39		
1254.510	6.e+06	2.0e-03	E	10192.657	89905.05		
1256.493	1.5e+07	5.e-03	E	10192.657	89779.1		
1257.565	6.e+06	2.0e-03	E	10192.657	89711.40		
1260.612	1.8e+07	6.e-03	E	10192.657	89519.15		
1261.720	6.e+06	2.1e-03	E	10192.657	89449.54		
1266.417	1.52e+07	5.1e-03	B	10192.657	89155.71		
1267.599	7.e+06	2.3e-03	E	10192.657	89081.96		
1274.983	2.25e+07	7.7e-03	B	10192.657	88625.02		
1276.286	7.e+06	2.4e-03	E	10192.657	88545.02		
1288.422	3.5e+07	1.22e-02	B	10192.657	87806.95		
1288.918	2.1e+05	7.e-05	E	10192.657	87777.18		
1289.975	7.e+06	2.5e-03	E	10192.657	87713.42		
1310.150	3.5e+05	5.e-05	E	10192.657	86519.506		
1310.636	3.5e+07	5.e-03	E	10192.657	86491.441		
1311.362	5.9e+07	2.13e-02	B	10192.657	86449.208		
1312.246	2.4e+05	9.e-05	E	10192.657	86397.83		
1313.462	6.e+06	2.2e-03	E	10192.657	86327.1863		
1352.745	2.1e+05	3.4e-05	E	10192.657	84116.1152		
1354.284	3.0e+07	4.9e-03	C	10192.657	84032.1471		
1355.843	1.04e+08	4.0e-02	B	10192.657	83947.2231		
1357.134	1.4e+07	2.2e-03	C	10192.657	83877.305		
1357.658	1.1e+06	4.2e-04	C	10192.657	83848.8700		
1359.276	2.2e+06	8.4e-04	C	10192.657	83761.27417		
1359.440	9.7e+05	1.6e-04	C	10192.657	83752.4388		
1364.164	1.6e+07	4.4e-03	C	10192.657	83497.58690		
1459.0311	5.5e+07	1.04e-02	B	10192.657	78731.2956		
1463.3370	1.79e+08	8.0e-02	B+	10192.657	78529.64651		
1467.406	5.49e+07	1.06e-02	A	10192.657	78340.29782		
1467.877	5.e+05	2.2e-04	D	10192.657	78318.26602		
1468.410	2.4e+06	5.e-04	D	10192.657	78293.51263		
1470.094	1.41e+06	6.40e-04	A	10192.657	78215.54012		
1470.450	5.4e+04	1.7e-05	C+	10192.657	78199.09144		
1472.231	7.79e+05	1.52e-04	A	10192.657	78116.77336		
1481.7629	3.5e+07	1.14e-02	B	10192.657	77679.83311		
1930.90540	3.39e+08	1.14e-01	A	10192.657	61981.83211		
1993.627	8.2e+04	2.9e-05	B	10192.657	60352.6584		
8729.523	6.0e-01	1.4e-09	B	10192.657	21648.030
9827.00	7.3e-05	1.8e-12	C+	16.4167130	10192.657
9853.04	2.2e-04	3.2e-12	C+	43.4134567	10192.657
