obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
932.244	8.e+07	1.5e-02	E	862.6118	108130.542		
1063.626	1.4e+08	1.2e-02	D+	862.6118	94880.585		
1065.841	6.7e+07	1.7e-02	D+	862.6118	94685.083		
1071.248	2.3e+07	6.e-03	D	862.6118	94211.383		
1073.321	1.7e+08	1.4e-02	D+	862.6118	94031.370		
1075.526	2.2e+07	3.8e-03	D	862.6118	93840.405		
1075.633	9.e+07	2.4e-02	D+	862.6118	93830.961		
1097.019	3.0e+07	8.e-03	D	862.6118	92018.727		
1098.254	7.0e+07	1.3e-02	D+	862.6118	91915.570		
1099.132	7.3e+07	1.3e-02	D+	862.6118	91843.485		
1102.383	2.3e+07	6.e-03	D	862.6118	91575.149		
1126.589	1.7e+08	3.3e-02	D+	862.6118	89625.951		
1128.898	6.3e+07	1.8e-02	D+	862.6118	89444.455		
1130.351	1.2e+07	2.4e-03	D	862.6118	89331.199		
1146.830	5.6e+07	1.7e-02	D+	862.6118	88059.304		
1148.067	1.9e+08	3.8e-02	D+	862.6118	87965.137		
1148.947	8.e+07	8.e-03	D	862.6118	87898.178		
1152.422	2.3e+07	2.3e-03	D	862.6118	87636.30		
1152.867	6.6e+07	1.3e-02	D+	862.6118	87602.335		
1153.265	1.2e+08	3.7e-02	D+	862.6118	87572.959		
1275.143	1.9e+07	7.e-03	D	862.6118	79284.919		
1275.792	4.1e+07	1.0e-02	D+	862.6118	79245.926		
1275.824	2.7e+07	6.7e-03	D+	862.6118	79243.462		
1634.34925	3.21e+07	1.93e-02	A	862.6118	62049.042		
1636.33123	9.63e+07	3.86e-02	A	862.6118	61974.931		
2250.8729	1.67e+06	1.27e-03	C+	862.6118	45289.8248		
2255.1043	6.e+05	2.1e-04	E	862.6118	45206.4704		
2261.5588	2.16e+06	2.49e-03	C+	862.6118	45079.9019		
2263.3864	1.98e+06	1.52e-03	B	862.6118	45044.1916		
2338.72295	1.13e+08	9.3e-02	B+	862.6118	43620.9842		
2359.82833	5.0e+07	6.3e-02	C+	862.6118	43238.6066		
2405.16235	6.44e+07	2.79e-02	B+	862.6118	42439.8511		
2407.39311	1.61e+08	1.40e-01	B+	862.6118	42401.3198		
2411.25193	1.55e+08	2.03e-01	B+	862.6118	42334.8444		
2614.60440	2.12e+08	1.09e-01	B+	862.6118	39109.3161		
2621.19026	4.3e+06	4.4e-03	B	862.6118	39013.2160		
2631.83127	8.16e+07	1.27e-01	B+	862.6118	38858.9696		
513009.58	7.19e-04		B	667.6829	862.6118	M1	
873832.7	1.89e-04		B	862.6118	977.0498	M1	
