obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
1110.005	3.6e+07	7.e-03	D	8680.4706	98770.295		
1113.281	2.8e+07	8.e-03	D	8680.4706	98505.022		
1160.087	3.6e+07	3.6e-03	D	8680.4706	94880.585		
1180.426	3.4e+07	1.1e-02	D+	8680.4706	93395.407		
1181.359	1.5e+07	3.2e-03	D	8680.4706	93328.553		
1195.464	1.8e+07	6.e-03	D	8680.4706	92329.905		
1196.263	1.2e+07	3.8e-03	D	8680.4706	92274.123		
1213.749	1.7e+07	6.e-03	D	8680.4706	91070.566		
1578.221	7.e+06	2.6e-03	D	8680.4706	72043.060		
1646.1848	1.4e+08	2.8e-02	D+	8680.4706	69427.014		
1649.5768	9.e+07	3.6e-02	D+	8680.4706	69302.086		
1655.025	5.e+06	3.4e-03	D	8680.4706	69102.427		
1822.196	6.e+06	1.6e-03	D	8680.4706	63559.498		
1825.329	3.7e+06	1.9e-03	D	8680.4706	63465.134		
1831.7545	3.1e+06	2.3e-03	D	8680.4706	63272.981		
1842.238	3.0e+06	1.5e-03	D	8680.4706	62962.215		
1851.520	3.1e+06	2.4e-03	D	8680.4706	62689.874		
2567.68162	1.1e+08	5.7e-02	D+	8680.4706	47626.110		
2583.35594	8.8e+07	8.8e-02	B+	8680.4706	47389.809		
2611.85228	7.3e+06	1.12e-02	C+	8680.4706	46967.4751		
2731.54242	2.79e+07	3.13e-02	B	8680.4706	45289.8248		
2737.77570	1.22e+08	6.9e-02	B	8680.4706	45206.4704		
2747.29571	2.05e+08	3.48e-01	B+	8680.4706	45079.9019		
2749.99360	1.21e+08	1.37e-01	B+	8680.4706	45044.1916		
2769.7520	4.8e+06	8.2e-03	B	8680.4706	44784.7859		
2862.008	1.7e+05	2.0e-04	E	8680.4706	43620.9842		
2893.680	1.8e+05	3.4e-04	E	8680.4706	43238.6066		
2962.138	9.e+05	6.e-04	E	8680.4706	42439.8511		
2971.3818	2.70e+06	5.4e-03	B	8680.4706	42334.8444		
3296.7679	2.04e+05	3.3e-04	B	8680.4706	39013.2160		
