obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
932.707	8.e+07	2.1e-02	D	977.0498	108191.894		
1064.922	4.1e+07	7.e-03	D	977.0498	94880.585		
1066.528	6.2e+07	2.1e-02	D+	977.0498	94739.136		
1074.641	5.e+07	9.e-03	D	977.0498	94031.370		
1076.852	1.1e+08	3.9e-02	D+	977.0498	93840.405		
1099.641	1.5e+07	5.e-03	D	977.0498	91915.570		
1100.430	7.e+07	1.3e-02	D	977.0498	91850.584		
1100.517	6.4e+07	2.3e-02	D+	977.0498	91843.485		
1128.041	1.4e+08	5.4e-02	D+	977.0498	89625.951		
1149.581	8.e+07	3.3e-02	D+	977.0498	87965.137		
1150.463	3.1e+08	6.2e-02	D+	977.0498	87898.178		
1153.945	2.7e+07	5.e-03	D	977.0498	87636.30		
1154.396	4.6e+07	1.8e-02	D	977.0498	87602.335		
1277.658	2.9e+07	1.4e-02	D+	977.0498	79245.926		
1277.686	2.0e+07	1.0e-02	D+	977.0498	79243.462		
1639.40120	6.85e+07	5.52e-02	B+	977.0498	61974.931		
2260.9387	3.4e+06	2.6e-03	D	977.0498	45206.4704		
2269.2653	6.1e+05	9.3e-04	C	977.0498	45044.1916		
2344.99945	9.27e+07	1.53e-01	B+	977.0498	43620.9842		
2411.80003	2.37e+08	2.07e-01	B+	977.0498	42439.8511		
2414.04375	1.02e+08	1.79e-01	B+	977.0498	42401.3198		
2622.45105	5.60e+07	5.77e-02	B+	977.0498	39109.3161		
2629.07661	8.74e+07	1.81e-01	B	977.0498	39013.2160		
873832.7	1.89e-04		B	862.6118	977.0498	M1	
