obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
981.370	4.6e+07	7.e-03	D	8391.9554	110290.739		
1109.715	6.0e+07	1.1e-02	D+	8391.9554	98505.022		
1111.122	1.1e+07	2.7e-03	D	8391.9554	98391.320		
1158.115	2.2e+07	3.0e-03	D	8391.9554	94739.136		
1165.235	1.2e+07	2.5e-03	D	8391.9554	94211.383		
1175.143	2.6e+07	7.3e-03	D+	8391.9554	93487.653		
1176.421	1.1e+07	2.3e-03	D	8391.9554	93395.407		
1180.107	1.2e+07	3.3e-03	D	8391.9554	93129.879		
1187.498	9.e+06	2.6e-03	D	8391.9554	92602.711		
1192.026	3.7e+07	1.0e-02	D+	8391.9554	92282.470		
1211.986	7.e+06	1.4e-03	D	8391.9554	90901.130		
1213.749	1.7e+07	5.e-03	D	8391.9554	90780.623		
1571.060	1.1e+07	2.8e-03	D	8391.9554	72043.060		
1572.996	5.e+06	1.8e-03	D	8391.9554	71964.750		
1641.76298	1.8e+08	4.7e-02	D+	8391.9554	69302.086		
1647.1626	5.0e+07	2.0e-02	D+	8391.9554	69102.427		
1724.572	3.9e+06	2.3e-03	D	8391.9554	66377.315		
1815.766	3.3e+06	1.1e-03	D	8391.9554	63465.134		
1822.135	4.3e+06	2.1e-03	D	8391.9554	63272.981		
1833.075	5.e+05	3.4e-04	D	8391.9554	62945.045		
1841.6898	5.e+06	2.4e-03	D	8391.9554	62689.874		
1863.112	2.4e+05	1.7e-04	E	8391.9554	62065.528		
1874.9711	2.1e+06	1.5e-03	D	8391.9554	61726.069		
2564.24369	1.51e+08	9.9e-02	B+	8391.9554	47389.809		
2592.31767	5.7e+07	5.8e-02	C+	8391.9554	46967.4751		
2710.1817	2.8e+05	2.04e-04	C+	8391.9554	45289.8248		
2725.69087	9.6e+06	1.07e-02	B	8391.9554	45079.9019		
2728.34651	9.38e+07	6.98e-02	B+	8391.9554	45044.1916		
2747.79399	1.69e+08	1.91e-01	B+	8391.9554	44784.7859		
2750.13420	2.16e+08	3.27e-01	B+	8391.9554	44753.8179		
2773.542	1.1e+05	1.6e-04	E	8391.9554	44446.9051		
2869.717	7.e+05	9.e-04	D	8391.9554	43238.6066		
2918.316	1.4e+05	2.3e-04	E	8391.9554	42658.2444		
2940.367	4.e+05	3.4e-04	E	8391.9554	42401.3198		
2946.125	6.e+04	7.e-05	E	8391.9554	42334.8444		
2954.63715	5.2e+06	9.1e-03	C	8391.9554	42237.0575		
3282.2365	2.31e+05	3.7e-04	B	8391.9554	38858.9696		
3303.812	2.8e+04	6.1e-05	C+	8391.9554	38660.0537		
