obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
1162.02	6.9e+07	1.8e-02	C	0.000	86057.625		
1163.32	6.2e+07	1.3e-02	C	0.000	85960.622		
1164.21	5.7e+07	8.3e-03	C	0.000	85895.477		
1197.17	5.4e+08	1.48e-01	C+	0.000	83529.52		
1199.38	5.4e+08	1.16e-01	C+	0.000	83375.80		
1201.124	5.4e+08	8.3e-02	C+	0.000	83255.99		
2299.661	8.6e+05	4.9e-04	C	0.000	43484.664		
2305.712	1.46e+06	1.16e-03	C+	0.000	43370.537		
2576.87524	2.80e+08	3.58e-01	A+	0.000	38806.691		
2594.49659	2.76e+08	2.79e-01	A+	0.000	38543.122		
2606.45873	2.69e+08	1.96e-01	A+	0.000	38366.232		
