obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
1108.192	3.2e+07	8.e-03	D+	13474.4474	103711.610		
1112.207	2.1e+07	5.e-03	D	13474.4474	103385.785		
1249.794	1.1e+07	3.4e-03	D	13474.4474	93487.653		
1255.404	3.4e+07	1.1e-02	D+	13474.4474	93129.879		
1259.055	2.6e+07	6.1e-03	D+	13474.4474	92899.306		
1268.143	2.9e+07	6.9e-03	D+	13474.4474	92329.905		
1269.041	2.2e+07	5.e-03	D	13474.4474	92274.123		
1269.823	2.4e+07	3.8e-03	D	13474.4474	92225.549		
1289.095	1.8e+07	3.0e-03	D	13474.4474	91048.225		
1291.579	1.4e+07	2.3e-03	D	13474.4474	90898.878		
1296.080	1.7e+08	2.9e-02	D+	13474.4474	90629.811		
1299.995	7.e+06	2.5e-03	D	13474.4474	90397.873		
1364.377	3.5e+07	1.0e-02	D+	13474.4474	86767.614		
1369.699	1.5e+07	5.6e-03	D+	13474.4474	86482.560		
1679.4951	1.0e+07	5.5e-03	D+	13474.4474	73016.184		
1689.8317	2.0e+07	1.1e-02	D+	13474.4474	72651.914		
1690.7583	2.9e+07	1.2e-02	D+	13474.4474	72619.499		
1693.4778	2.0e+07	5.7e-03	D+	13474.4474	72524.561		
1698.438	4.6e+06	2.6e-03	D	13474.4474	72352.046		
1703.733	6.e+06	1.6e-03	D	13474.4474	72169.004		
1707.3993	3.9e+07	1.1e-02	D+	13474.4474	72043.060		
1709.6852	8.e+07	3.4e-02	D+	13474.4474	71964.750		
1968.0427	1.8e+06	1.4e-03	D	13474.4474	64286.354		
2008.0910	8.e+06	4.7e-03	D+	13474.4474	63272.981		
2021.40272	1.83e+07	1.49e-02	C+	13474.4474	62945.045		
2057.9909	2.8e+06	2.4e-03	C+	13474.4474	62065.528		
2130.9290	3.9e+06	2.6e-03	D	13474.4474	60402.333		
2165.01796	1.1e+07	5.4e-03	D+	13474.4474	59663.440		
2948.51654	2.01e+07	1.75e-02	B	13474.4474	47389.809		
2985.69601	4.3e+07	5.7e-02	C	13474.4474	46967.4751		
3164.011	1.9e+05	2.9e-04	C+	13474.4474	45079.9019		
3167.583	1.4e+05	1.4e-04	E	13474.4474	45044.1916		
3193.8334	1.3e+06	1.9e-03	C	13474.4474	44784.7859		
3196.9951	1.6e+06	3.3e-03	C	13474.4474	44753.8179		
3228.67511	8.9e+06	1.8e-02	C	13474.4474	44446.9051		
3426.564	2.1e+04	5.e-05	E	13474.4474	42658.2444		
3464.966	8.e+03	1.4e-05	E	13474.4474	42334.8444		
3915.589	5.e+03	7.e-06	E	13474.4474	39013.2160		
3939.404	6.e+03	1.4e-05	E	13474.4474	38858.9696		
