obs_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)		
989.661	2.1e+07	4.1e-03	D	2837.9807	103882.740		
991.340	1.1e+07	2.2e-03	D	2837.9807	103711.610		
991.690	1.8e+07	3.5e-03	D	2837.9807	103676.848		
994.348	2.4e+07	3.6e-03	D	2837.9807	103406.327		
994.552	5.0e+07	1.0e-02	D+	2837.9807	103385.785		
1104.271	1.5e+07	2.8e-03	D	2837.9807	93395.407		
1113.471	3.4e+07	4.2e-03	D	2837.9807	92647.591		
1117.412	9.e+06	1.7e-03	D	2837.9807	92329.905		
1118.113	1.9e+07	3.5e-03	D	2837.9807	92274.123		
1131.595	1.6e+07	2.1e-03	D	2837.9807	91208.892		
1135.578	2.2e+07	2.9e-03	D	2837.9807	90898.878		
1138.941	1.3e+07	2.4e-03	D	2837.9807	90638.823		
1194.656	1.9e+07	2.7e-03	D	2837.9807	86543.902		
1434.995	1.9e+07	3.9e-03	D	2837.9807	72524.561		
1551.928	6.e+06	1.5e-03	D	2837.9807	67273.833		
1558.5416	3.1e+07	1.1e-02	D+	2837.9807	67000.530		
1568.0195	2.6e+07	6.3e-03	D+	2837.9807	66612.659		
1570.24481	1.1e+08	4.0e-02	D+	2837.9807	66522.310		
1573.8280	1.5e+07	8.e-03	D+	2837.9807	66377.315		
1584.95241	5.8e+07	2.9e-02	D+	2837.9807	65931.358		
1632.6692	1.9e+07	8.e-03	D+	2837.9807	64087.408		
1633.9093	3.9e+07	2.1e-02	C+	2837.9807	64040.891		
1649.4261	5.1e+07	1.4e-02	D+	2837.9807	63465.134		
1663.2231	6.7e+07	1.9e-02	D+	2837.9807	62962.215		
1663.697	1.0e+06	5.e-04	E	2837.9807	62945.045		
1670.7912	9.e+06	3.9e-03	D	2837.9807	62689.874		
1681.1118	6.e+06	3.7e-03	D	2837.9807	62322.445		
1685.9546	2.1e+07	9.e-03	D+	2837.9807	62151.554		
1686.6925	1.5e+07	4.2e-03	D	2837.9807	62125.604		
1688.4027	2.5e+06	1.4e-03	C	2837.9807	62065.528		
1709.5543	9.e+06	2.6e-03	D	2837.9807	61332.753		
1716.5781	3.1e+06	1.4e-03	D	2837.9807	61093.406		
1718.1030	1.4e+07	6.2e-03	D+	2837.9807	61041.734		
1720.61363	5.9e+07	3.5e-02	D+	2837.9807	60956.781		
2355.61013	2.67e+07	1.48e-02	B	2837.9807	45289.8248		
2367.31658	1.01e+07	8.5e-03	B	2837.9807	45079.9019		
2369.31961	6.06e+07	3.40e-02	B+	2837.9807	45044.1916		
2383.97179	3.59e+07	3.06e-02	B+	2837.9807	44784.7859		
2385.73310	3.60e+06	4.09e-03	C+	2837.9807	44753.8179		
2403.3307	2.17e+06	2.5e-03	B	2837.9807	44446.9051		
2776.169	1.5e+04	1.7e-05	E	2837.9807	38858.9696		
